Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,28.16748280604415,30.613566501248712,33.31858088951299,28.212881755228892,30.851733661448534,33.810205806212295
6,2,21.581878634416913,23.471513892004857,25.404432605412893,23.230630601318204,25.322150358717266,27.452325735953508
9,2,17.485420794155225,19.27954050811961,21.06757516100008,19.074673926939212,21.10304349825991,23.116802409444944
12,2,15.104700750198536,16.735606188663503,18.355017088074405,16.877105189998804,18.639575128380088,20.33107481624841
18,2,12.586766721742293,13.895582082185735,15.17463050272665,14.727943740973803,15.975812283679032,17.102901014484065
24,2,10.886560327750832,12.008259817493315,13.122422310404108,12.472030681455124,13.534596101659016,14.657691255795744
48,2,7.521882635235293,8.2099385140249,9.100994373469142,8.335573140757633,9.21408085481907,10.094598898767778
72,2,5.923687629172359,6.489490884594965,7.221363778884653,5.78256214558767,6.404471423564946,7.115134681150532
96,2,4.936991554052442,5.4862668087804884,6.041538342184472,4.880519866474035,5.272116644155984,5.757004875393514
120,2,4.345046620860542,4.797735284076846,5.311201434326698,4.304566851185861,4.6780740206254325,5.068833204030226
144,2,3.8390813120398484,4.22526171842719,4.696956817343086,4.478806988797075,4.823612416731008,5.222819140228514
168,2,3.4622732726585337,3.8292664041824933,4.195227574843518,4.062558759047091,4.393236838881441,4.722449958644133
3,5,34.70969100608521,38.57368001080885,42.76215373477012,35.14040753180774,38.68963283607247,42.25329902576501
6,5,26.828917534673444,29.51505000303589,32.11355824591375,28.454239304860224,31.112816618517854,33.340214137565745
9,5,22.028075055836485,24.577321905192147,27.065916188641012,24.59771449964314,26.714239088280216,28.843813044138546
12,5,19.24595465431394,21.65132324657888,24.03719807267293,21.309156280588077,23.259378792576015,25.064495472207177
18,5,15.856718995820179,17.88207290726134,19.8228566890582,17.955147366943788,19.17300376034404,20.31933040629556
24,5,13.803715628932537,15.538657102992417,17.332853615714757,15.459240083527476,16.590515621195813,17.752762677528743
48,5,9.4486806074753,10.684559471167441,12.060846638893373,11.35992675778946,12.786208372356334,14.162159936850788
72,5,7.525109980817916,8.518332130075482,9.582336665007087,7.99501049419678,8.963221358408617,10.147936622226325
96,5,6.3475175823890115,7.12320359756851,7.909865086891006,6.1095187314020105,6.728592151544282,7.403949557085905
120,5,5.53790965365498,6.17777752333086,6.80219502537266,5.427173216184473,5.918388743213207,6.442671576985747
144,5,4.842002302065252,5.386344219277242,6.004381800343017,5.634535741624934,6.043183359259642,6.498667482608605
168,5,4.378218561042479,4.85660844130385,5.318852920789864,5.05176401552687,5.447448221179215,5.815944082653745
3,10,38.550860464326654,43.76389944789184,49.70561312565275,39.177898615845095,43.539914281795916,48.26058971684495
6,10,29.716457198826568,33.28333834776535,36.821205444423406,31.268658354569073,34.408726887570126,37.1868178637066
9,10,24.635446736294814,28.095985830752195,31.446624876758875,27.474192629877187,29.762996737129672,32.08938557866677
12,10,21.760512614768,25.02100469856635,28.038210371256426,23.717073690838937,25.799228069263442,27.747761422886583
18,10,17.945438514431107,20.63955563162147,23.57974202138177,19.310431215402062,20.68646366911935,21.91732711061078
24,10,15.523261409724764,18.001050595038883,20.580856684633158,16.764192716430248,18.125556116570515,19.330093617582527
48,10,10.692424300257974,12.523952338551961,14.530649704314829,13.544387368882187,15.53256779121028,17.47402524135498
72,10,8.499463817560791,9.919595249248363,11.360832266627211,9.425918045940245,10.796924045525977,12.383465909636058
96,10,7.134514770321916,8.172203313861285,9.285361880220558,6.902255006845429,7.714405245133646,8.640410235444932
120,10,6.216217109627871,7.058916371488494,7.897345371192978,6.046162830905804,6.721923237482402,7.410493740833189
144,10,5.38743529535485,6.126260125390928,6.869470365180303,6.2634092620301605,6.803564583427923,7.360398991098039
168,10,4.912414623381933,5.502447983994291,6.111519367279225,5.699820656576675,6.111587160058162,6.554000791756151
3,25,42.35598663135581,50.23192621403703,59.703414163163,42.76182595966499,49.36931728629804,56.613118775629765
6,25,32.47626373902618,37.79455148726126,43.06413630122998,34.050108307999444,38.08131867897589,42.03849639269842
9,25,27.383936891068146,32.554480311414146,37.93240504881398,29.94288516807992,33.01839807764214,35.98090650914168
12,25,24.44479670883426,29.41432210481593,35.21133251055997,26.126956355059136,28.54093123069189,30.87676977998253
18,25,19.926651565762587,24.264200029090283,29.36961693952468,20.450938507226137,22.123965020185015,23.68632788343828
24,25,17.349329155598085,21.26229108405711,25.77323720727525,17.84309842694421,19.665719595563765,21.37703828621846
48,25,12.1994682604143,15.105208575638676,18.805168931663168,16.48755452062578,19.526834838473864,22.511955174871318
72,25,9.640285285606804,11.759025184994602,14.044053427346245,10.952244377877946,13.306046354952722,15.9615183443028
96,25,7.987235365464523,9.459251912430213,11.201495527063724,7.656145054051183,8.998710793573862,10.58039189217166
120,25,6.879676287740033,8.136457871937294,9.379951642491342,6.656952684689499,7.727191291904413,8.742116284656198
144,25,5.967256152779485,7.029543640285533,8.300917638105208,6.8901258657706475,7.721314115860281,8.44775747925595
168,25,5.448718665048904,6.28131326126662,7.261496048953272,6.302663739649722,6.920155683390195,7.56021360442486
3,50,44.803552176742386,54.966319678159806,68.70584817251142,44.62512925389622,53.52395188447586,63.75480987335433
6,50,33.991989797625635,40.96982953402174,48.11933624101319,35.41283424112534,40.5097057411732,46.3270528508718
9,50,28.771275283058486,35.87119776300356,43.68100881907558,31.124122546490334,35.080232404160995,38.845098458808856
12,50,25.882172289403258,32.77436747357555,41.06951991335879,27.15093429907924,30.296955131920278,33.606346650777695
18,50,21.441195148859727,27.058403248167558,35.13492431739772,20.87065693762208,22.937269886944975,24.96759965266819
24,50,18.37893235241112,23.794768804310074,30.319436879686478,18.214820188299022,20.588067522871974,22.923620721580047
48,50,13.20700691875309,17.22488187223813,23.088012122005804,18.499499624332785,22.934821683756276,27.148121219313225
72,50,10.20640521279316,13.1751613757191,16.671773613592322,11.931671692564562,15.329757319916578,19.140956558165033
96,50,8.471597434162842,10.38714074152361,12.772068815657104,8.162382003778111,9.988537663920035,12.257969484914348
120,50,7.226234413244519,8.910814322288713,10.685333512199593,7.039429875906182,8.471463767130262,9.969073530086163
144,50,6.2492036812237455,7.677583392948177,9.452219929541359,7.29410085563286,8.376763235426555,9.437931695520478
168,50,5.77816940330968,6.833472766395246,8.24033765177365,6.673753064358564,7.502298711374285,8.376280966201858
3,100,46.60040768045303,59.612558771790006,79.13226438091229,46.06488157017706,57.53807734581174,72.60309752430172
6,100,35.58085939626436,43.98430172983814,54.5014284927845,36.39578566104885,42.710314569816646,50.51388411949489
9,100,29.915168539524593,39.17115449044456,50.79974050891033,32.10645284759049,36.880649764332894,41.77605984510104
12,100,27.207281235142254,36.19703266711661,49.356455238927055,28.06522787811815,31.845490808392064,36.105084582832205
18,100,22.610854477395204,29.923910629740334,41.90462253981479,21.19187147490128,23.584916678253233,26.342530360530922
24,100,19.207634059705477,26.408043662582415,35.53571080347298,18.43898558070959,21.359809453166143,24.569411583957155
48,100,14.128761579255926,19.518828208489413,28.165314996265373,20.34490896496954,26.757651318010538,33.089229410017765
72,100,10.627433662784338,14.625813426491149,19.818593074577333,12.88025272971474,17.497627830143806,23.223226202545767
96,100,8.857830295556248,11.286110080548125,14.827502950236457,8.490550041356169,11.010301280802922,14.23755549856126
120,100,7.52676227966988,9.658998430378812,12.18141675664194,7.346090062331692,9.213488442984257,11.352909927528186
144,100,6.468488367463676,8.302829811885543,10.65735676430525,7.589525133566369,9.010106683998817,10.523170990043855
168,100,6.03893480942944,7.360860929247405,9.339973663393293,6.964351849887608,8.068525313660361,9.286858465219895
