Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,16.152043113408734,18.233727748680867,20.735675824858255,13.625189482165599,15.123849845961804,16.78526838543504
6,2,12.549276914563542,14.137982284593772,15.99264343886982,10.70688763237606,12.252149509527712,13.830244271706714
9,2,10.109119125089235,11.437609031102879,13.066691382369385,8.272984512151112,9.555708092428947,10.90213007809561
12,2,8.72572154072973,9.892424250423643,11.293039291065043,7.326093193344047,8.59216408899594,9.8564553387804
18,2,6.741993743784292,7.668829288403682,8.622091786550373,5.711003542894814,6.559173994899982,7.4336372760323215
24,2,5.511987588908957,6.2064770844916595,6.982766885256897,4.598755593329951,5.147791717653311,5.79715712015412
48,2,3.376533684494266,3.7990919125075244,4.2908129789489475,2.99712031575156,3.29489448643355,3.623256962239119
72,2,2.5489635610434482,2.8879056977459707,3.287168767762291,2.43476858315619,2.64330162436507,2.891146810437404
96,2,2.152853640096911,2.397117114230765,2.690906231034047,1.8224532747947224,1.9991904807909457,2.198147188369307
120,2,1.854601525214816,2.098666453335008,2.4229866473492168,1.6714530543148964,1.8099659587545474,1.9691883986272107
144,2,1.691270136154679,1.901115018681529,2.1421188928628854,1.607189967738915,1.7509252973088225,1.9182519370099453
168,2,1.548758136451891,1.7446785534692433,1.9963977806000552,1.50276998106132,1.6432951294547014,1.795760906959261
3,5,21.983567456587636,26.011231068992053,30.158637316136307,19.18077613368342,22.308869403406565,26.161524636237424
6,5,17.22518131071517,19.917189333272525,22.93067799770685,15.5201057904384,17.92611291498015,20.490561558276596
9,5,13.918969175444918,16.010494576041012,18.471183891142132,11.925172593743133,13.829488023485279,16.130616418740033
12,5,11.98730252481085,13.859071649206019,15.991673753936002,10.71726625074213,12.809893223852654,14.869150740300952
18,5,9.144577596529512,10.690974191787555,12.254957915929316,8.123395980163858,9.484757018331633,10.914650651935094
24,5,7.3280069868642155,8.585240710549439,9.805324099271346,6.263886264168152,7.266267980678448,8.318614209115925
48,5,4.513563854771883,5.256836322202446,6.034481322832718,4.004348910884243,4.675354370630332,5.45389770737494
72,5,3.4234687702280198,3.9844770513856593,4.529429683229306,3.182196890906296,3.6579777009579573,4.25279907983973
96,5,2.8613332686069164,3.2834545696784296,3.715403961696924,2.462165092512497,2.8733501306837463,3.370131846799728
120,5,2.4849631133312844,2.9111383088876512,3.370157662880336,2.2138146853990044,2.482232088448246,2.7828588347221217
144,5,2.2919387158902507,2.6417425859819312,3.0750974624377867,2.212967584402636,2.5040157228549482,2.812222447727643
168,5,2.109922006993889,2.4510769913895345,2.8201834522483917,2.138112390209768,2.3441763938438047,2.5882859881645164
3,10,26.016675657138173,32.45229663146394,40.86590546376475,22.98208413116857,29.411102141229485,36.72380437199128
6,10,20.10324534028372,24.22830599729219,28.793473921894687,18.89970278195748,22.465026154447738,26.44705655705036
9,10,16.26801507362643,19.372328898537543,23.115222229026916,13.987279585296566,17.075972326978818,20.563902093691752
12,10,14.001097428800428,16.74103213725486,19.84602668308008,12.781585134869832,15.980766182386292,18.995678382252088
18,10,10.760349357732506,12.830830407856336,15.103769459181411,9.904704363021397,11.663847779768643,13.598190751457665
24,10,8.601868358520225,10.294176961769733,12.106749751514403,7.401009874158241,8.85872428817301,10.381861878093055
48,10,5.263678756951071,6.367429673386477,7.555683514988775,4.6894294781568995,5.911203279946948,7.4297171968579505
72,10,4.036822858273382,4.821042425530826,5.668880272460479,3.745675424840603,4.608833756746513,5.662219081943853
96,10,3.2975809259484867,3.9627407702364508,4.627804967726867,2.990167378092199,3.7468250633273215,4.729885486375519
120,10,2.885543131991195,3.525803811819702,4.187110661545721,2.625163645862997,3.061246302287159,3.5372121826225382
144,10,2.6905375340743753,3.1964520663915446,3.8361972265914703,2.66731254829142,3.128431244068244,3.6251179776664246
168,10,2.4888405814793666,2.998108209843994,3.5507783954546546,2.490661617097545,2.825595972928604,3.205312163561961
3,25,30.929041417539203,42.43389096302971,60.52264623439039,28.444911462828408,42.583927208098345,58.961624991507875
6,25,23.315331473825452,30.29799234124951,38.584860435569595,23.11338432860733,29.348064620233444,36.95380837930577
9,25,18.820271839091113,24.042941055219263,31.277567139673913,16.406907243159107,21.7930208217676,28.509828967728243
12,25,16.341353842103736,20.70217296466877,25.706973296083774,15.205176224838901,20.521973654780744,25.71953387290221
18,25,12.255233231748871,15.70385277352689,19.976413829009946,11.913623504453719,14.751471419753894,17.936515770448718
24,25,9.978985591750707,12.619103621273073,15.816547329186502,8.755657851255961,11.137620613430482,13.766209746205739
48,25,6.043478306816477,7.961454848419326,9.923394532272798,5.571351876631324,8.010133597688757,11.747237000069106
72,25,4.735109823040946,6.02324914530409,7.696921762143873,4.468812084238724,6.287041269799062,8.534663402270134
96,25,3.876844415933194,4.943029321630124,6.200533106300474,3.7895334709936677,5.380233042073618,7.628067325751319
