Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,27.624083222947064,30.72835424061087,34.40447710644992,27.848977711026045,31.193300242000916,34.48342558739688
6,2,19.84641924293124,21.888530713352544,24.348386512949176,19.960106121752553,21.93770978199517,24.293746577044693
9,2,16.145658703495897,17.950662493094793,20.009206339147802,15.794850538731344,17.680818709068802,19.888952382874503
12,2,13.84166958384007,15.262656670300252,16.875974695916035,12.684511020540874,13.981080861244052,15.3275226177375
18,2,10.406800499476264,11.723711733387464,13.296744312390455,9.748275617659163,10.883510239614807,12.22088908613932
24,2,8.449773491145908,9.57302260373781,10.883567398004331,7.990276913891336,8.960497257698146,10.037737279042648
48,2,4.99263906293891,5.6425570704197625,6.300308833465692,4.980058271772594,5.615730443858889,6.320795226592649
72,2,3.697985675743795,4.100488003621889,4.5519013063426375,3.413406430471147,3.848524671392415,4.347625472641725
96,2,3.1023459690334017,3.4083574090365305,3.744481251418584,3.0660615806269984,3.3885973217219876,3.758600028262764
120,2,2.6586809316646187,2.9208289511721226,3.1915316066817008,2.5762431901034866,2.8790240919163876,3.1845471377460557
144,2,2.34637545297914,2.5746369438375933,2.868118403225685,2.340825131219068,2.6092752981050427,2.9235833133074856
168,2,2.128161250736427,2.3418329341570328,2.586887458185333,1.9775343391353708,2.260381459363339,2.6038566777196275
3,5,35.631425749450756,41.20597265922591,46.782836605776964,38.54842788537848,43.520225767627764,49.326349402822345
6,5,25.28172003801692,29.187863942036323,33.18931296407213,26.978502831355435,30.4970827818232,34.79458879960239
9,5,20.899898167718373,23.91824012847518,27.138229879458798,22.057503941531145,25.019851508431245,28.525243150236747
12,5,18.048838235693577,20.347459871751244,23.04303343297419,16.648433721353435,18.658218090718773,20.888611391422366
18,5,13.938841355056695,15.972203742103318,18.289820943130366,13.729085830525799,16.022117565918553,18.389742332013064
24,5,11.260258663696654,13.060506926316005,15.019449618897738,11.18136891927388,12.9384040415643,14.934402423888027
48,5,6.555518455571303,7.540401814508423,8.533957631147306,7.487863725377153,8.628998978614923,9.88115704485374
72,5,4.77503394247446,5.361134268760142,6.031431137780988,4.658364868965519,5.433564486140085,6.283949934912734
96,5,3.9325748016453312,4.3460039195396645,4.795067684292626,4.0638203514284506,4.540276711871442,5.054997988500414
120,5,3.3779557853758515,3.744450071052336,4.119013653432107,3.455519918313617,3.8641957293413154,4.299385170792507
144,5,2.9856277186873648,3.343079839342491,3.7336196459664315,3.1961369940862596,3.635474920694742,4.158484730402314
168,5,2.74525836427767,3.057258755600273,3.404757605994048,2.8210862052235806,3.3624315043639377,3.9104736661666424
3,10,40.83026952062058,49.45170146066677,58.949285678700974,45.66490087996285,53.17165485882602,61.55672386441431
6,10,28.894090777922003,35.07904158715814,41.73166082498517,32.0805326671503,37.6956950778464,43.823532333454885
9,10,24.1225599611464,28.345698096609812,33.54738369566625,26.74348284733879,31.150249163630335,36.32052021510182
12,10,20.52948885641975,23.950544625161953,28.215898912016115,19.139261697826047,22.206426520055054,25.320477217279436
18,10,16.094925433872493,18.99535685383029,22.356937255528717,16.325910755127687,20.378299216213083,24.24574397350081
24,10,13.077302025327254,15.589760858192996,18.319546961837723,13.627294199862249,16.443160664967003,19.681791462537678
48,10,7.578679799651024,8.877605594419457,10.244869656717132,9.584911378308231,11.218609497043177,12.990240303403429
72,10,5.396606916849882,6.2492108843378755,7.209786090690617,5.432208381096878,6.696776007779337,8.03775328455428
96,10,4.416736237168699,4.958997386664167,5.556667265566132,4.668013812349501,5.313639619260973,6.003637084544836
120,10,3.7985552399517513,4.266545125454622,4.794736513274971,3.940109937774242,4.498540610963883,5.052106726055198
144,10,3.3998963798803006,3.877546337536608,4.44821575472257,3.7874236603624176,4.467280653409686,5.216924007066154
168,10,3.128234309490786,3.550026863532749,4.0784322139208715,3.4803003166994673,4.275276568326856,5.054615560500882
3,25,47.467859805818264,61.64394572906622,78.89170862773773,53.431072702231916,67.49693757298456,80.13519446636451
6,25,33.67341409549883,43.994089446462,58.01759253867304,38.27783446276274,49.12242980757685,60.644842140701655
9,25,27.54553122127524,34.54828018446942,44.33650763664152,32.045063754855924,40.82030408421846,49.61702545913238
12,25,23.23129946614134,28.791481770795272,36.4885796208895,22.273359331122162,27.331496297594683,32.91862538695446
18,25,18.46525131119312,23.07265587270403,29.295839420716778,19.641914368329918,27.365259957436738,34.50273251509492
24,25,15.112943208406879,19.06041083888413,24.00076188469721,16.56373603907302,22.265972940130617,29.113134018540137
48,25,8.561564797441886,10.664983791215223,13.09656234494572,12.528581658269243,15.391124858347366,18.208652816013604
72,25,6.041826304886415,7.436063939312408,9.080160381650616,6.324110857570709,8.614876132261273,11.279021950985051
96,25,4.902480786413417,5.724730760135522,6.698308639548232,5.328533160564155,6.312237763791762,7.414243831075708
120,25,4.182123133905715,4.900894750658039,5.734364262279613,4.454522584690479,5.287711481307528,6.150200004172483
144,25,3.8315789877779887,4.583596501506865,5.462976393654206,4.419375817637508,5.746458153729612,7.170161265501127
168,25,3.529617969644928,4.195272905464042,5.157184816719387,4.304004114444009,5.700723308719573,7.041346407744864
3,50,51.15529935290496,72.17185045183055,99.56730775055914,58.69030963877046,79.99496334949129,99.82180008757209
6,50,37.48038963930745,51.865059851399195,76.46231791147477,42.30133361003324,59.7632831770585,78.04675566766426
9,50,29.992409032944686,39.63337060902995,55.37918382376999,35.81395763378965,49.77002164974357,64.12792564302273
12,50,25.119083118999583,32.603201361139426,44.4586289567515,24.44468316621239,31.693607813244597,40.38126759783187
18,50,19.93081242081191,26.294962040133317,35.659840840083085,22.092275558346472,33.94942223381391,45.4743983489405
24,50,16.124243722261728,21.849462843197628,29.587765911061652,18.529059941892072,27.937901139255104,39.491683139428446
48,50,9.331403237232326,12.065360331606152,15.739369405460273,15.09309737543011,19.316798364092957,23.625922650509715
72,50,6.436904597230907,8.365790685152,10.917258543909817,6.993772351836408,10.333546473836487,14.53696286409052
96,50,5.20628816356299,6.286526173012554,7.721622961597387,5.682898660038578,7.0743107271971954,8.549138434834965
120,50,4.42051027356239,5.353890704375996,6.598010171761736,4.731852116168241,5.868794255841478,7.0770904292170815
