Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,17.43530557744497,20.05651810386346,23.245073684557795,18.656123126697175,21.29055370641276,24.660055637681964
6,2,13.652128852763916,15.688925279774201,17.85858759140768,14.204846512399723,15.945785245288238,18.06170988684039
9,2,10.901223229308316,12.34844683609892,14.14748493319178,12.09758178667536,14.018237114331818,16.19550877702659
12,2,9.116900409331652,10.331903256708832,11.976497969186243,9.653278503994937,10.952065957029484,12.608962100045991
18,2,6.832263734654458,7.740647431270502,8.810427043237716,6.741352153858987,7.5548625216097225,8.530983765832962
24,2,5.7141754931049995,6.464650009098641,7.37807998721081,5.402039789530425,6.135740604613442,6.945554561403384
48,2,3.5600112793679113,3.954097000168983,4.464074583478715,3.6771700348487313,4.159517055181564,4.7043409452036435
72,2,2.669153757453158,2.976209483549852,3.3238148480359997,2.6846850996095335,3.089002617388357,3.5400293232049176
96,2,2.1860656462615085,2.4315965532344395,2.703814780946882,2.160866493816184,2.495198690074963,2.889924116587692
120,2,1.8799283839624694,2.099371618123395,2.3487624129429947,1.7440341898053953,2.0272504726167573,2.3592842475721914
144,2,1.667718247601853,1.8810340248494124,2.118273526072492,1.5327668923455844,1.7517094727542426,2.0299062960885204
168,2,1.5240694798662278,1.702798513442412,1.9248776969251584,1.4684518503656774,1.6611179809492715,1.8797890598427944
3,5,24.750567691828046,29.387653827809196,34.86766084528131,29.14479030065975,36.017831357501116,44.03720781368374
6,5,18.877491262453297,22.40886899727935,25.712458368415472,19.643839292169105,23.020668994864042,26.683273868184443
9,5,14.95342233355227,17.559826422671687,20.468430177329065,21.604752848188234,27.24885234701892,34.08973147346015
12,5,12.429607282224357,14.626953466892559,17.196603219711996,14.432293789338194,17.21041965464301,20.829054097982258
18,5,9.283772622903214,10.859053905310041,12.799366294640475,10.092995343914984,11.789525059434432,13.832779392823113
24,5,7.797429279133068,9.004661631008918,10.594689908074773,8.037292231244212,9.342744619309851,10.909232424422068
48,5,4.695752024993364,5.437738918736779,6.3173902184109405,5.068848727999621,5.83797383773104,6.76685587128828
72,5,3.56649104130153,4.108364520945048,4.72131645055137,3.911875991569171,4.800020584070147,5.882935835404123
96,5,2.857064529687597,3.315731482686955,3.7911873630846613,3.16706271144529,3.8618379685714883,4.8161146241471116
120,5,2.493549142212536,2.901372208282033,3.3310217514942204,2.7000130680361805,3.2587921669485898,4.029650271394483
144,5,2.219987733959698,2.598376140677235,3.0041741344818513,2.311386710547106,2.7357473450275562,3.286129913785004
168,5,2.0438609931920486,2.355186595639898,2.7288081637755286,2.1199398521602877,2.5018854720506103,2.90972601960039
3,10,29.814615321831695,36.958497363164994,46.53736224191674,38.48945057804683,52.18126596255421,66.46705081579269
6,10,22.4399011020487,27.25914112246209,32.190718672542175,23.491484637339468,28.56145010327114,34.40872489388136
9,10,17.658877270640435,21.671642840904276,26.117887744569735,33.05283182258655,43.38055978492055,55.196051387566925
12,10,14.611688182329328,18.045237828071706,22.158311151979277,17.95948320796052,23.34833910014714,29.359566433566577
18,10,10.91179134777844,13.349312597023522,16.49902668280634,12.694562242022183,15.565424301764125,19.293207068815786
