Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,29.752353894742576,32.68087521212625,36.24530089774106,26.97304437742533,30.837288323874134,34.67514181508531
6,2,22.249553492963663,24.440013857444995,27.17056420975917,20.066699882896224,22.08399027971699,24.436112300188604
9,2,18.36443237376918,20.013320337192262,21.998658764984796,17.48281234587764,19.011019051793358,20.837009874043506
12,2,15.97536257320256,17.372951238495116,19.32508722382156,15.806257345727172,17.300059014325694,18.93192648239154
18,2,12.711729867923774,13.846696142581429,15.341556834339588,12.79481796024799,13.915595279712715,15.228280872153835
24,2,10.58976982252894,11.678282048850768,12.736939396531618,10.618217113012081,11.565573501743982,12.68526462899878
48,2,7.083579347943806,7.858486341417174,8.678328133994508,7.189555677215287,7.926857229328493,8.796778961066789
72,2,5.364281487277356,5.951566510611544,6.5848103739625286,5.216382684665069,5.764413715903526,6.387242882872524
96,2,4.400466359934548,4.888478109925668,5.448331201811959,3.9272006069021046,4.524268759476687,5.213186590885267
120,2,3.902224465526758,4.331242093034683,4.8084645719082495,3.3701564435566924,3.752573388681693,4.231908031632984
144,2,3.534696321270342,3.927405642838722,4.385480498403414,2.9404649737002035,3.3107199396726967,3.7283572050346443
168,2,3.285218045312425,3.672299605383664,4.057372860978257,2.71359573884932,3.0689628814072707,3.459938654267928
3,5,37.616148864981355,43.00169788803016,49.21591303673884,38.49723205189585,44.44957076459322,50.77515523892646
6,5,28.38542253142075,32.08878535049138,36.290807387457306,26.045381574069033,29.22202745493088,33.204949450456
9,5,22.954983266477857,26.02642667271862,29.39784818647281,22.2200833616453,24.887191587571532,28.255018681380754
12,5,19.833219629845537,22.51346780786131,26.011300097840987,20.278246733023884,22.86657627260453,25.68228483424381
18,5,15.754430437872923,18.09928220263291,21.15277301044184,16.817469276245223,18.77504640672063,21.03587862606628
24,5,13.232322921296241,15.190111246593283,17.06497693526707,14.007771046320546,15.51252101983356,17.349040781957235
48,5,9.199008361837414,10.494033483468899,11.895732137059078,9.308565198294668,10.42606967608965,11.64593341586341
72,5,6.884382530903991,7.933529795410123,9.034487212218796,6.6959348837259425,7.489523214915153,8.358587311391895
96,5,5.736076547890674,6.516042720636749,7.377251224977254,5.563851722862481,6.548008138643899,7.591878366400302
120,5,5.071964125010085,5.752579502737169,6.517420782955941,4.647465881029265,5.569364549256434,6.777717772603203
144,5,4.580622739152091,5.23033644877865,5.923944499696255,4.286183316970142,5.047107173436885,5.942543838906522
168,5,4.287032269863003,4.918812384545259,5.539791285333978,4.222388955731024,4.889333939756568,5.61964533131265
3,10,43.10906502768909,50.941932258234075,60.23199010720051,47.05883951768534,55.45494997493016,64.73786674847351
6,10,31.90228430667512,37.77694602123904,43.99989247103882,29.789957200720465,34.537113392633565,40.14284760764577
9,10,26.301102198163743,30.862837075931,36.4920311508688,25.435261502053066,29.923895198771234,35.5649886550796
12,10,22.622974160414888,26.73714033380125,31.51931596360611,23.40427233747014,27.368424378254495,32.41483594538789
18,10,18.012398551271303,21.65748846996705,26.639925944844443,19.326772247642623,22.677669966382915,26.211986372041274
24,10,14.951599193771461,18.07623236101437,21.164661631327746,16.00512341888978,18.390212582458517,20.952951468857407
48,10,10.441042646768178,12.499012870165341,14.78061862216996,10.651756427901349,12.171295853448708,13.634642241505695
72,10,7.844568902458034,9.358512575679065,10.919489453019324,7.582558720805439,8.589517192875253,9.636832042310727
96,10,6.514553626794424,7.693270635424335,8.989452623797755,6.693463322848126,8.08576314838607,9.48259831115383
120,10,5.759952630476254,6.8065963124257305,7.921008437229561,5.543093973775346,7.342153613425296,9.40307257886342
144,10,5.244562502963333,6.177831388275743,7.302674038496088,5.315091218946863,6.68589862383774,8.218590553755336
168,10,4.915556281695642,5.798741767443234,6.74442111761153,5.562330454921802,6.57746043329451,7.614057830985225
3,25,49.32393536036477,62.440909381873226,81.6720263151191,58.200598079484514,72.24544376863645,88.02493961101605
6,25,36.432411621544304,45.76284996142441,57.1056204786541,34.25387583788738,42.114821551064644,52.61649698236856
9,25,30.284542299187564,38.15857664627571,49.75643894426077,28.944504719038285,38.10364576751901,50.21216965193874
12,25,25.886768282752385,33.234915197378825,43.0989629319637,26.81733876896267,34.286895904948324,44.223173663113926
18,25,20.568037001587644,27.22411227317511,37.009989771851394,22.28652184231661,28.63500672329659,35.42185611330021
24,25,17.08177283178467,22.517214777880426,28.745554972834235,18.244306035888208,22.405401216138156,27.16281449850827
48,25,11.987072688535244,15.372898881451327,19.417549849267154,12.133629177610754,14.502439304592698,16.47113425914203
72,25,8.913363195322196,11.29851230677407,14.205680271843235,8.416194853086711,9.946255675120828,11.393066343278132
96,25,7.375650417176487,9.304751773811631,11.822737737381347,8.02517535452621,10.307078179487057,12.57377443844825
120,25,6.5715099884423385,8.282566750189451,10.367491404890272,6.846164675883294,10.581948273262494,14.49961040056084
144,25,5.947202862315199,7.481193921177189,9.39249032369605,6.597324105005978,9.577344896619927,12.617792409048846
168,25,5.582052042975855,6.97690530880111,8.65647760435721,7.647325687102224,9.4953542070073,11.380455996194943
3,50,53.62552894904809,72.17397442989332,103.45547608229901,66.2317050454281,87.26273555070672,111.20233390737721
6,50,39.377032573344934,52.3235526551705,70.20788355037158,36.94634684756497,48.50613938350743,65.87640350418724
9,50,33.02775759249646,44.580382108870346,63.676044140703844,31.558708146558924,45.921850779848015,66.33522039466649
12,50,27.809622898163866,39.06280793204588,56.98489031170671,29.173779832208375,40.55149522704849,55.54037211815225
18,50,22.617418639531767,32.29750833602308,48.98374276070107,24.2897344162166,33.992631721490255,44.671183796803035
24,50,18.665705318225683,26.5011480089036,37.76616901512347,19.450275830138903,25.71496889229961,33.26773796009154
48,50,13.093938723388344,17.78150862466096,23.871425876988788,13.054458618807391,16.338438695056098,19.11247531785753
72,50,9.672735018059237,12.845684368187232,17.395935401521275,8.873776693714518,10.937113289769739,12.963660009191528
96,50,7.947991992643937,10.596725504340547,14.584656991677925,8.928811551489547,12.195566462892511,15.682851343619951
120,50,7.099507811388932,9.492113599986013,12.759179676543372,7.873872573278327,14.03350558701677,20.483453725775338
144,50,6.329969656744541,8.531083994967368,11.351024176267364,7.666491758724316,12.549910386507754,17.416749234010535
168,50,6.063943500650334,7.901494562491091,10.470548745707031,9.371070915316903,12.428583907082839,15.58275781131123
3,100,58.179264215240224,82.98307361114207,134.2209403767817,73.53665472746084,104.81858728670173,140.90908704187916
6,100,41.965585851748905,59.42628449037905,86.55271504290889,39.3830650996257,55.65010646893495,82.55127202233334
9,100,35.45608835591591,51.95481633280016,82.04273827562628,34.52931485196715,55.65166787032532,91.75718968526124
12,100,29.74850129088317,45.86374093178675,74.8332742605231,31.808102173513767,47.98429026266789,71.4482808490427
18,100,24.531618281287173,38.299834856177554,66.13296409050027,26.03079375211854,40.30967839446408,57.27330954416268
24,100,20.490053522083336,31.151038801136934,49.821261500794364,20.570583272283653,29.334908714113823,40.690493902400966
48,100,14.151549093043123,20.433914844865093,30.04559542702188,13.858090443579535,18.265137792810744,22.533118255094795
