Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.335462098389012,24.88382507003964,27.928714912698837,28.909329397226074,32.769007110535654,37.22875111388727
6,2,16.71091715425944,18.67691821397998,20.97966762633915,18.76376754646325,20.901078502085404,23.243160054279393
9,2,13.587602613142788,14.973946066742382,16.854301692607685,15.174208188453562,17.080378445656272,18.858315764625342
12,2,11.714259500929241,12.884940126774556,14.12494949456583,12.797427602737002,14.214420072159221,15.66602718948814
18,2,9.078393352738685,9.9114278532248,10.76562503242775,9.466793905761847,10.512131494279858,11.543436900272187
24,2,7.499799948895779,8.16109742203297,8.880163558803321,7.780011417460862,8.573261986008081,9.458961827788876
48,2,4.8281745292397735,5.278444667439948,5.793711329840096,4.7042526246904774,5.368255042843206,6.020061469235614
72,2,3.604816038106139,3.9786311749440593,4.388468999653632,3.5415293868750055,4.010578488272678,4.533810743147024
96,2,2.8539031993573873,3.177525076376237,3.5263189281963845,2.8938025230653146,3.325573947397442,3.7650644062378538
120,2,2.4991051283244845,2.7206973745455914,3.0188501823130798,2.551348683979436,2.76441115747199,3.0565904748853665
144,2,2.170572646750483,2.4180658870224105,2.691534917619502,2.2749777964608806,2.49825696586503,2.7467985677386477
168,2,2.0185496241034544,2.214188048640211,2.4598979880139495,2.06924295609965,2.3565386640490926,2.698893957089901
3,5,28.93641814210097,33.93404780246747,39.77055327282527,43.39315054745505,49.00067873997665,55.581518041967755
6,5,21.682675055401962,24.899300934525797,28.345472135937335,26.05057022411237,28.844107549236455,31.87700431747149
9,5,17.59823135855051,19.746645312709898,22.33880614890115,21.42662786661082,23.69721576533202,26.05504159618777
12,5,14.815387134407583,16.48495866163636,18.302487390115942,17.482114960877105,19.367138551853536,21.18547244927001
18,5,11.124611995055423,12.537691614993367,13.821191022537604,12.522457484839723,14.185882903101582,15.947819277940255
24,5,9.183393461035488,10.238859222951353,11.348558109500587,10.11829227270602,11.44864921748494,12.859828151460068
48,5,6.094378853672373,6.743087390316779,7.466106433724693,6.650167971864272,7.566008598898157,8.61466859037849
72,5,4.576190196583894,5.123683853093051,5.66801028845164,4.950578130401494,5.666907772359526,6.426166291333073
96,5,3.675042146543184,4.169177876565615,4.688962571859714,4.177174535715722,4.85178219579814,5.5472658204092635
120,5,3.1886722518730677,3.5592190932112695,4.072577330672839,3.2400755119002227,3.6954768010915613,4.281406133262184
