Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.189935290258266,23.552327135999832,25.576530441037576,19.4471877404336,20.774503886822977,22.830887356377957
6,2,16.61830033948004,17.858328898180808,19.428333830290804,14.342429289608091,14.919470993734986,15.564423039124815
9,2,13.737416127871203,14.980975551325326,16.443072045473684,11.729641383081898,12.460063033925508,13.439229275905072
12,2,11.879596783351715,12.918926485405343,14.087925714868671,10.327858807312515,11.244845734245237,12.336509272516937
18,2,9.677404543377273,10.597203101436637,11.732563257743163,8.711225982467514,9.650834392943622,10.779207439493339
24,2,8.138796622118313,8.951389982195032,9.969787159135564,7.199806158660564,8.0636279647556,9.03344359145245
48,2,5.457139896642802,6.012504654691966,6.568147254173809,5.7036997281258275,6.393040689652871,7.199316768527124
72,2,4.306023321817092,4.657900363357611,5.033764033648768,4.277033913802154,4.63868405172163,5.03014507129988
96,2,3.562738524549892,3.8860914819484,4.228723355902273,3.065504940476062,3.5676702139006222,4.1307605662395375
120,2,3.140216511076285,3.381317316828585,3.6605447619813276,2.84696606473476,3.0754096889757307,3.316760550709156
144,2,2.840073738591329,3.0664374781687203,3.3353971763417922,2.4877108600927262,2.7400222666754006,3.010784271541174
168,2,2.5969475511867675,2.801402629737408,3.05859887492319,2.3992235618688573,2.6151488863247385,2.8490331819999417
3,5,26.286017331842494,29.478800200118904,33.222283958555096,24.115807922484926,29.00287922192134,38.443237421171474
6,5,20.22356808176597,22.74261504452606,25.802335233955283,17.628529744754644,18.924750920362513,20.768739672865404
9,5,16.882916395721637,19.172397328028662,21.61180010582822,15.463610868303562,17.22135084985799,19.611634630766023
12,5,14.839961967335611,16.518147999984002,18.63662336554866,13.945768771042445,15.86683600615902,18.14115681109059
18,5,12.187303227744536,13.575736605421188,14.971971983222087,12.37399612889223,14.057818591232383,15.940786722846529
24,5,10.186022287498243,11.48228224315411,12.94850532840059,10.350138950232656,11.721771646614407,13.090108859423603
48,5,6.9407824967371825,7.679150509492612,8.397978998977049,7.827398345582463,8.91840883246171,10.171369422461115
72,5,5.292812058072219,5.7666206454601046,6.299891108726607,5.383300491776704,5.9904855814388664,6.675168096828283
96,5,4.378424212529136,4.786438129309629,5.157619347724754,4.452777984445582,5.362722172338335,6.3065859742152295
120,5,3.847660085486404,4.191239650152542,4.570490263648637,3.4502039681023833,3.8194579754217384,4.178562365705059
144,5,3.481989358215534,3.780010033679697,4.108452923614801,3.1828478112871768,3.5925280478210118,4.032337093503772
168,5,3.151209628022414,3.4642009832259024,3.805971294526581,3.0201484775394065,3.3780114863609496,3.7673114742822653
3,10,29.591165297402696,35.01152044626186,42.082076028439694,29.215260082996593,40.0649252988846,61.184957786376344
6,10,22.95665172048132,27.174030989518698,32.28442177870704,20.724024759840997,23.507952673869333,27.530871581790247
9,10,19.0303119885332,22.50517120072405,26.479639751753588,18.831766337580667,22.152036766485868,26.48894018336319
12,10,16.643941507877976,19.257484685462018,22.380848388428674,16.535844061476723,20.085499726884432,24.62174216260741
18,10,13.661911777502567,15.599467200843241,17.464176152875623,14.430817029020067,17.279773531885667,20.072084309812038
24,10,11.516654337669447,13.198911633566222,15.244480882736276,12.299730066264198,14.281758707416682,16.203468442294707
48,10,7.83753368255727,8.701725156005468,9.65317222500104,9.301609472657274,10.72232404689279,12.218865082822123
72,10,5.815175236230141,6.43449436430633,7.099646466542124,6.059853789896851,6.9431643638501885,7.915628438123269
96,10,4.8416984158022505,5.327137394945652,5.780926132512603,5.632214796864501,6.877197854155586,8.11080084450586
120,10,4.260885717244132,4.690776292836583,5.157673781176675,3.8669219176554877,4.364288153086587,4.950110224284755
144,10,3.827253081200568,4.213635184783654,4.653734380622845,3.671517849138872,4.237541085603482,4.9139145292852735
168,10,3.49321402065316,3.8886765739070164,4.325066430229679,3.4500123915394134,3.9743762643210214,4.6021954789293
3,25,33.5329035100831,44.5943676370041,59.144189075535365,37.57600943181362,67.45660147717707,118.46638291864247
6,25,26.107930787408513,34.64757838793679,46.31448465913053,25.295859802495443,33.264197420173915,44.33334085217845
9,25,21.546407064036185,27.47994364638756,35.10016948713638,23.98457693996432,31.67116184661116,42.438906812212416
12,25,18.577267766489236,23.185615069910412,29.06058137190572,19.887093948608815,27.35173334143441,38.10756242848002
18,25,15.184465610991934,18.216882323085443,21.26744762743782,16.85352481824005,21.772797774978994,26.38457203856725
