Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,29.423981944155223,33.432885558890376,37.87126584250297,29.564016810596435,33.80548764512571,38.04761830791867
6,2,21.769438453976267,24.920446552657772,28.329579106000022,22.210824957493237,25.265663975055467,28.70389878209044
9,2,17.940448734603454,20.06632888319869,22.80204153301772,17.52834600334327,19.848422087543156,22.497100635685573
12,2,14.895286370434963,16.82420078245078,18.98678284206229,14.514009213512878,16.81301068312354,19.36562194859635
18,2,11.698298470563005,13.271822574186976,14.804757563347465,11.351637116069547,12.964954291962659,14.647487849172366
24,2,9.326388839641098,10.56247904999857,11.97251481703329,9.195452928492665,10.733262929517497,12.16453683394952
48,2,5.32789834000395,6.004878179869684,6.759801568421667,4.831942758462765,5.9288817824863544,7.485931061536658
72,2,3.7696133526924482,4.300163502799761,4.812691412323128,3.5436583768515426,4.259479807980691,5.04167394944962
96,2,3.069768389574862,3.468128333815572,3.9104999789582875,2.6881570304438522,3.256604497346242,3.89703287497609
120,2,2.6046776512904097,2.9604422805325274,3.3095918198467515,2.405305843749028,2.8594737959705845,3.4187853322709856
144,2,2.3847758284878413,2.7080940206310933,3.0699263114343083,2.2247364339809983,2.5520150200903076,2.9417682674911356
168,2,2.1401779501016076,2.44861904239292,2.8249082264793732,1.9578392396659505,2.339755602497351,2.7356859627702095
3,5,40.44464131732235,46.738014839089274,54.1266657686145,43.24851137564474,50.92346774699338,59.94819470169061
6,5,30.01423859998733,33.87527128690668,38.713129807090496,32.126627071316875,36.58651808780479,41.33349513430139
9,5,24.044048874020326,27.218391040325514,30.94336658172528,24.126257777022467,27.697718808325895,31.580850859182014
12,5,20.06145241546148,22.832302446567667,25.750144775945593,21.322199740955732,25.078548785207303,28.75309996845722
18,5,15.604096397144076,17.794326641280744,19.857662750308553,16.412131459520438,18.82141679190479,21.579406556831678
24,5,12.624955648955549,14.189793337857697,16.04020852744505,13.288395700503663,15.486974592908904,17.780365053392963
48,5,7.123249155544464,8.140317022182225,9.152135389281488,8.041899518439635,10.357084671841426,13.250700124942437
72,5,5.121074933852531,5.8975074349650525,6.6389590173789275,5.736007625804083,7.208798551060099,8.696447203619316
96,5,4.197463459645073,4.786848832294545,5.507441095052391,4.60280778224103,5.721487876958535,7.08975862948828
120,5,3.4916468825106834,4.0878764666896386,4.695330927748554,4.090099904341319,5.037434400602479,6.029002009306355
144,5,3.3028042028797593,3.7850387240640133,4.382925477463244,3.9524211675406127,4.6026540094646675,5.352295658940139
168,5,2.9635813609135493,3.4156669211807844,3.9203778668616103,3.207059751471107,3.7776351860010386,4.455212438010674
3,10,47.02847697051163,56.400990951477496,67.32317584382908,53.95580277658928,66.11438092297648,80.40776888682632
6,10,34.27233584208964,39.61423661753925,45.62272603941805,38.330364225457075,44.32925663377075,49.96367595885995
9,10,27.63421393930194,31.848137558753017,36.949352208894474,28.031516082776175,33.08689086651864,38.819249668693864
12,10,22.90382152311674,26.784663163830544,30.611504459004486,25.866783414916902,30.935978987128372,35.75908092501574
18,10,17.824744680943212,20.642136503089773,23.526369192976755,19.622225978339912,23.186770333978117,26.76234307719384
24,10,14.478148977227765,16.584224056709736,18.96140853951281,15.87194690783208,18.878196745839304,22.120681523638805
48,10,8.081982149958838,9.571939135625652,10.935312560282252,10.609895657240305,14.359304670789228,18.822944902995864
72,10,5.931809615265751,6.989078123239992,8.009776165553406,7.491073351364824,9.840376506461755,12.13310857571063
96,10,4.898921751573035,5.721399778287886,6.775621088856719,5.897992458485957,7.973811342399191,10.115323918358007
120,10,4.053321189249063,4.894207024806924,5.790366768364058,5.674240737591489,7.146760089653785,8.640713406148357
144,10,3.8494205096313445,4.526143126172703,5.380747154816435,5.508355502654108,6.588822397954129,7.604416214325239
168,10,3.453293065956128,4.054492726082677,4.687504570319842,4.0330268560460745,4.811280601952131,5.739270355958537
3,25,54.235058430847545,69.67756516456336,89.0960987640586,67.7059961889445,91.5506566124397,117.7988087464657
6,25,38.6267929212571,46.656023487230485,55.874998321425,44.917032770702,54.48152579055627,63.96459989236418
9,25,31.229407458464443,37.580281866602,45.67730853449219,32.00719798357008,40.20770584628782,50.0552545321317
12,25,25.957317321412738,31.749588660290343,37.80862113200297,30.691252541695093,38.87374780220734,46.77545803396371
18,25,20.035668250270138,24.081647557279044,28.69475918781675,23.274195053041446,29.390704551475437,35.4963611316238
24,25,16.140849208156464,19.601453084393704,23.59616302135663,18.585428432754814,23.506355150297207,28.872859731127292
48,25,9.014494448297594,11.401303744065913,13.742238679037317,14.123471165269901,21.131618877276573,28.174412917800787
72,25,6.8213818985026595,8.408251692522372,10.216785152927464,10.126059926756703,14.238745317866865,18.270728561555195
96,25,5.6203160748006304,6.977149967638093,8.773373338016263,7.50163869430097,11.844695964267535,16.02937142427616
120,25,4.6739912938752965,5.986706927603071,7.494692558342161,8.27515870056382,10.943689004391446,13.39707573811409
144,25,4.41807889912043,5.495775887889045,6.8162748627236684,7.9034462832477494,10.16097568370308,11.833877933394499
168,25,3.9609378359374396,4.860009426003312,5.868871064635144,4.872188633041166,6.2311774157791,7.6817526739459
3,50,59.33412043241741,80.35997556942131,109.86519491066684,77.22638208943303,116.53366993634202,157.9695614506265
6,50,41.10426606921861,51.733089707557696,64.94508525377651,49.3640719839755,62.33785128565965,76.96745108415931
9,50,33.464442177586015,41.74952896196179,53.88552226161083,34.25050074833508,45.778516813980374,61.12490370688587
12,50,27.77598345577446,35.41212681284448,43.611662101594504,34.0433573898326,45.21945743830601,57.04294832060174
18,50,21.40332962836533,26.52356796630599,33.16052888064489,25.457492553377488,34.588407612310505,43.976042868683805
24,50,17.113972906385232,21.833948906909416,28.03960905171187,20.366803990237806,27.234006789949916,34.40780860464622
48,50,9.612993606496493,12.773380488625419,16.318890799401974,16.997407358399983,27.81683266391731,37.2466311207403
72,50,7.36525095924623,9.490694224550875,12.220697100334307,11.953947464091298,18.5289888136046,24.892472549328374
96,50,6.062779307516072,7.966018527548004,10.829300425530251,8.636117658933468,15.736602896729515,22.73955365604396
120,50,5.09808013730228,6.853958162234835,9.01295888751212,10.80667258907224,14.909401898517931,18.455674053803666
144,50,4.739083943052278,6.239886582066342,8.104754138922292,10.200828295670092,13.886086591789304,16.615204296905652
168,50,4.213189596082396,5.45640602660947,6.911635419931843,5.451174171601879,7.3816756213642165,9.594828853658937
3,100,62.58026259008048,91.72147562229344,138.0033385515104,87.35708568732514,148.30302823535743,215.69682911992987
6,100,43.2449716467585,56.65219702220359,76.33516606104797,53.68587720705571,70.46240292003974,91.16355798215005
