Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,15.363579775001,17.657099095337383,19.92694765226734,14.991549838065534,16.72753294745971,18.72336412557812
6,2,12.204318246478238,13.565582011476781,15.157438348852878,12.77239855879698,14.162075475831767,15.618378902744158
9,2,10.00368801165685,11.083948112289374,12.378477195762125,10.303728479604764,11.398058210996021,12.773583620438805
12,2,8.607344701202894,9.447880893252512,10.502011538859865,9.180604781423286,9.945065446368012,10.857777106543992
18,2,6.709024078628236,7.428973934312747,8.245743506493362,7.304094063573924,7.9426765213105455,8.652320143593604
24,2,5.616258041295621,6.213047488490534,6.84220117697473,5.947051973496194,6.539504162694884,7.14083155463633
48,2,3.308669452632838,3.566799812900106,3.9259307942722925,3.5654633646472824,3.884156606441521,4.24024757754696
72,2,2.38073319882011,2.6097953605418813,2.886893827048063,2.662273249078131,2.948167430196863,3.2618255049431313
96,2,1.8856652687533524,2.1005717345354946,2.3458625747274846,2.066920781274508,2.249292311927643,2.469602383487695
120,2,1.6366517922508037,1.817987529074788,2.0529306332626165,1.9207612326787902,2.117140956375512,2.3081123464194095
144,2,1.4489709101404116,1.6106843709357461,1.7939286161256793,1.5131224892667423,1.658759011472487,1.806856534275735
168,2,1.296789233118831,1.4376716293890333,1.5922379408269975,1.310582884819112,1.4768723021989976,1.6293612335351577
3,5,20.951805481407465,24.232041047320806,27.465089179267864,20.28701912478167,22.790877249025527,25.655765116915724
6,5,16.015186124879886,18.132965972802154,20.667975586497082,17.533008801707382,19.799587221751203,22.210584136437177
9,5,13.091555293925323,14.670308918447212,16.47559452117983,13.575225860538836,15.47908929236413,17.546537313688585
12,5,10.950825542274405,12.286146971693123,13.748024269104466,11.664497537639672,13.14444936097473,14.480328160115384
18,5,8.600562919674084,9.63145306798017,10.839105115696428,9.212570013014895,10.421127014369619,11.767181624087138
