Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,23.179784100454928,26.020926481914724,29.406734496424235,22.428516289053206,25.29975148486377,28.51962578407798
6,2,18.109753483401956,20.372665748028023,23.107750031196396,17.24916598840077,19.845243256364064,22.654883285556938
9,2,15.003772864748804,16.843623487964972,19.312027687921972,14.504215426938865,16.583671209453318,18.73450158198287
12,2,12.602063917071401,14.32302078406439,16.175724548373818,11.920880615295795,13.530814749761557,15.270786824400226
18,2,9.884447653540462,11.271164963592177,12.756509485478677,9.650903005961176,11.421745752806176,13.28728304378098
24,2,8.017318513743602,9.040525191996764,10.338338867294711,7.252850487038473,8.527421924279482,9.863790351490021
48,2,4.458165663918673,5.084389085821815,5.695452087770722,3.9092344990009247,4.515048348382731,5.305920303982045
72,2,3.296685639821663,3.661954745934742,4.104637168380098,2.841964030195708,3.278619919776311,3.829748398450281
96,2,2.6401412708739844,2.9629314178480084,3.401928886969378,2.5026115646568923,2.7649411346687587,3.04313500440176
120,2,2.2317270971521603,2.4876716141876294,2.7978547501492628,2.078378264597399,2.2871458099383277,2.5105496430344747
144,2,1.94563132928893,2.174905183866869,2.421346219490723,2.051137174227596,2.2264732334752515,2.424203290513921
168,2,1.7412539949093446,1.942597570245517,2.1446478938787417,1.8315585563129764,1.980693451021473,2.1512509754971503
3,5,30.303949672392918,35.1119174262366,40.291006159447875,31.348942425869637,35.96096592984721,41.6068119158006
6,5,24.547952971754768,28.011093893328784,31.870680152585443,24.221068078918258,27.59780250409328,31.045742331173102
9,5,20.473989656875766,23.202881336959692,26.806634564505526,19.888897841424168,22.817281878517267,25.75314961596833
12,5,17.14365835089506,19.901865193981983,22.902697232531736,16.56185985198598,18.70171147933573,21.11202787092532
18,5,13.645731559733797,15.713238382879378,17.828359433033636,14.270461556919845,16.626399891877906,19.483368274304855
24,5,10.989382614848894,12.550867488504228,14.302009900815289,10.763699285497573,12.741501621694319,14.693142811852184
48,5,6.022334902661903,6.893143725649258,7.8598343988384265,5.908633038644142,6.820963951343456,7.905783982643552
72,5,4.369093866757937,4.926465366731216,5.579215624079171,4.226376291628364,5.052603092956029,5.973993031951609
96,5,3.4764832810301867,3.9950243375939323,4.623908914139255,3.2981308106667635,3.7221079113245787,4.193517421665104
120,5,2.9654087585586764,3.37501008528471,3.8233865021733755,2.7016728945815673,3.030807057704072,3.404625478192975
144,5,2.5580296939270553,2.9203673536707875,3.3186783524418457,2.610715826646519,2.8926939159593155,3.209118866409982
168,5,2.239390744294284,2.600792836036946,2.953122137242882,2.2915422772766174,2.5556874502546036,2.847401538608498
3,10,35.103760338651924,41.43964086841832,48.50845016814878,36.66223246531912,44.00851310693506,52.327907253112514
6,10,28.626146662443276,33.22447260600721,39.157994928843955,28.425449997125426,32.444643397213454,36.9439169254226
9,10,23.520448996747486,27.607711893431407,32.11231515814107,22.736025594428128,26.69861998669421,30.458699964365586
12,10,19.981432579864226,23.779558334048005,28.421930578804933,18.942536448505393,22.065672361846733,25.591626450664574
18,10,15.951584157892693,18.71622419754928,21.748369090571725,16.76963465221176,20.015613872518454,23.692143891919237
24,10,12.774627726411026,14.95027982485149,17.259161354764117,12.845096264694064,15.646186798302091,18.35494142924273
48,10,6.973069351706517,8.068375459338693,9.437982547249604,7.1287415855128184,8.485469466087038,9.962832347221866
72,10,5.015680127251913,5.787925761363519,6.615504211446632,5.261391038209739,6.528566799921409,7.874405103731142
96,10,4.033916417716164,4.702745197174415,5.5090666788238645,3.8512343039239916,4.421794032409003,5.1728026121821316
120,10,3.4189090603743386,4.014802961410327,4.661494856579544,3.093559623108548,3.5805281100572453,4.1620471065666775
144,10,2.93944002254755,3.469735997639125,4.095503740298875,2.9603177108504988,3.3787299666848285,3.91438286946346
168,10,2.5593089929217063,3.094658143872298,3.6563510553276526,2.6036593735876035,2.995805888518688,3.4284837815867557
3,25,40.47336237730755,49.80451201857639,61.29255390858711,42.12276352718226,55.59835777522673,69.75890426644949
6,25,32.385590313574355,39.99490089541305,49.70478400674659,31.889487761131598,38.322673206642754,46.10438316126932
9,25,27.121413094613615,33.40501437801195,40.80201006339637,25.515139308607697,31.393662931615566,37.27573392014382
12,25,22.885512187800447,28.89914667530192,37.27359263274197,21.48086879053681,26.294418908019313,31.55558422351813
18,25,18.488655484365452,22.582567745841487,27.519732158591957,19.52780271700979,24.278485002859256,29.23547083076687
24,25,14.753312525580771,18.070468090404184,22.12280470570184,14.96123583115277,19.491433410532686,23.95428027883353
48,25,7.85734093637587,9.528329312290587,11.54699445432593,8.510677587437133,10.78254272122534,13.211491693818253
72,25,5.700125725311125,6.904805614221969,8.237632629807287,6.727186035505258,8.844445643105116,11.273209220754984
96,25,4.622762573500194,5.625727826294701,6.920098436131767,4.445829520027997,5.399922257253283,6.715661999044361
120,25,3.9148603523339722,4.888087272382466,6.0589993093283585,3.5072118091901094,4.357554603620049,5.398422599997546
144,25,3.3750605175126784,4.234664074236579,5.326454375886411,3.3259018090890473,4.057345941250951,5.036587132543215
168,25,2.918961513110467,3.793690425286551,4.870238959495817,2.918317051513613,3.6384043280704543,4.561840148355479
3,50,43.65823334986839,56.28837969715556,73.95343762266404,45.77565802785639,65.44477073758081,87.53256182315873
6,50,35.0569298874129,45.15328076430835,58.995944816657115,34.03237050672862,42.54841296649013,53.50284232939863
9,50,29.349795220899637,37.87952751401999,48.83581415623014,27.19693635981698,34.763621008702984,42.98674674280713
12,50,25.091485691750393,32.86263024230496,44.73781060566429,22.919779362128548,29.443128879542606,37.27098502078234
18,50,20.02050748785417,25.503752530233193,33.23010900155931,20.93118922831528,27.45301764410086,34.37828948189024
24,50,15.960874143397614,20.450811512218706,26.650727057874924,16.389105162459092,22.500717346848926,29.145870131244237
48,50,8.338625837222352,10.593691694096783,13.695440020251986,9.337588130788895,12.653205525775768,15.96560883668737
72,50,6.093077397445098,7.754376511713592,9.778454603214389,7.738403330440481,10.974462495648849,14.653616461030593
96,50,5.010559019681221,6.331833998844711,8.174634807010758,4.7811236290377295,6.207619607239861,8.228105222613497
120,50,4.244244036515537,5.586285127693034,7.427064319789508,3.793720306202097,5.006582921154436,6.580312511575192
144,50,3.640039055365547,4.858085138017187,6.527047236089069,3.582410262706001,4.617275392033639,6.104548477510552
168,50,3.163251126238839,4.372491890803506,6.083642823753129,3.1320160341899177,4.192449487845145,5.610021992511989
3,100,46.199870247229896,62.96879519642272,88.20718145779921,49.66294381208499,76.49274514878775,110.85944852302373
6,100,37.356064731358764,50.39080209475433,69.58959725692345,35.4383648045094,46.66085691609001,62.024962207702984
9,100,31.12552808453154,42.472963033829856,58.2492158590897,28.57402878327398,38.041356102799526,49.46223806554184
12,100,26.84897220596747,36.94200142914326,54.43084293031505,24.086298539123398,32.6004489488858,43.59379324096432
18,100,21.43642066070688,28.448718255377727,40.52919910600852,22.180110724678364,30.635221083489512,40.41239560515554
24,100,16.98733778440839,22.870332386451356,31.96173320811289,17.55778515777859,25.647590959084003,35.67267660240498
48,100,8.803395709191108,11.63649647105281,15.965377713888646,10.138781687252603,14.675951898006282,19.386624828861766
72,100,6.416987374839801,8.615794432054308,11.701681454473444,8.676365600047845,13.527115367291117,18.817734543360725
96,100,5.325305735196423,7.05127404179693,9.686621125401315,5.082056068950336,7.092621976510754,10.133921856390767
120,100,4.522652137189521,6.324858130944931,8.961609593778661,4.046539428137142,5.725262383749387,8.242867832602606
144,100,3.9005230761899177,5.5284350549837145,8.090984795864957,3.822238999434302,5.230562050592758,7.354545635357286
168,100,3.36893662793862,5.003318810958236,7.552926763949958,3.3348088122773625,4.8231644488616485,7.166744116585875
