Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.81849763888115,25.672496482115555,29.468369597066904,21.496305941700257,24.180160469370588,27.333637479121656
6,2,17.609509492270117,19.600185884801665,21.9240857929184,16.504935731160376,18.302326642462177,20.36077446229032
9,2,14.401057339055836,15.976271800586645,17.940055322381976,13.312239638919204,14.697936320197059,16.146365357402317
12,2,12.540846822163612,13.84936466322037,15.284713473156096,11.849724759610348,13.11832752470788,14.577291031208365
18,2,10.216392401018098,11.25830892751506,12.325759440319988,9.931658217598372,10.87640685097914,11.973027246204708
24,2,8.383469054155446,9.30998691689583,10.231911649192638,7.908048231508582,8.639946002470802,9.626039903885097
48,2,5.58293004093524,6.295362523951654,7.019708776277169,4.918450579608506,5.568234099009181,6.3636591207308975
72,2,4.315599711264417,4.800076102888919,5.461972857572116,3.7691881680158588,4.264012452936382,4.947189855223462
96,2,3.628252060815492,4.013467929495343,4.556970690239301,3.3358764308297326,3.7530771165376167,4.254578834003446
120,2,3.083270166589432,3.4527038027792023,3.849603990207588,2.8258595965426587,3.243267711253578,3.6973888661264307
144,2,2.778753370377955,3.063116040120195,3.4394728213773744,2.25704606205829,2.5423588706875737,2.8710285943388456
168,2,2.51619015224532,2.8002458168830047,3.0930473180249836,2.2513942263964983,2.5358412159905575,2.869367180926011
3,5,31.334028878585453,35.91876588267952,41.775937047695564,30.309620542856806,34.52780603472787,39.87939197670458
6,5,23.115486902302543,26.561953072326595,30.118160083281808,22.14052142759224,25.17062203597129,28.68846473535114
9,5,18.455896918179622,21.237032534639027,24.497124778915094,17.206896397877504,19.687955066232558,22.410994580865907
12,5,16.188185429769597,18.444057012161938,20.9488579993987,15.447863010193931,17.435745882128316,19.598279806458535
18,5,13.036379198339201,14.739363528421457,16.28595254216867,12.867930876849266,14.38186411606404,16.161830291072604
24,5,10.665313993840858,12.304394338421002,13.81538551270912,10.325093427511906,11.651065869627173,13.23707716366238
48,5,7.306022592789525,8.554709647503925,9.82846277443347,6.835671186712114,8.18316062515705,9.96204085525152
72,5,5.639982906239664,6.4853024268075785,7.495514389498595,5.133201616358832,6.359339862059492,7.884668829268601
96,5,4.778171324817813,5.393995234117618,6.131499552839399,4.665395277992305,5.491936400274114,6.4492518791101165
120,5,4.041903306010785,4.621295118018398,5.247945493162151,4.0453391719564555,4.715381382569275,5.554437518871103
144,5,3.6360279617012283,4.065188280767744,4.616707146733316,3.229120751732398,3.8421014766149666,4.474539456742113
168,5,3.280610255283413,3.6869616981340574,4.120418035600757,3.1852921737064697,3.6820890292101325,4.28346526047898
3,10,36.47763607707326,43.7652552287685,52.45358761705632,35.582469965626416,41.902651695301834,49.61549337484841
6,10,26.461245046884763,31.711355817318065,37.184862881948135,25.487767373732396,30.119888587666225,35.221284630899575
9,10,21.12015575552597,25.21239660942203,29.713638654080523,19.759226739402294,23.401870568760284,27.491551560764158
12,10,18.671611708922754,21.935943028939377,25.87717622327103,17.722327780453632,20.619817514355073,23.901772575480976
18,10,14.781207563001114,17.219371885113148,19.54280758286251,14.660173643317016,16.767170804036418,19.250533487806855
24,10,12.35125314698043,14.636271454395057,17.18003222052583,11.760778750832788,13.909846966975834,16.261767702871694
48,10,8.547515607497314,10.38046119579063,12.274966681172245,8.237787161042064,10.445726210922691,13.321494801078472
72,10,6.469799751964594,7.796147268688822,9.18572391472206,6.421957690613844,8.425695705260702,10.840382305553552
96,10,5.477781640939281,6.375128464311299,7.485595498800265,5.563837768495377,6.888838997756814,8.449917092458746
120,10,4.578761424208079,5.442371963988329,6.291542778173763,4.8139398610755375,5.841702507752146,7.011074771083716
144,10,4.133858941846256,4.773616455588727,5.63653702636699,3.9302596888996364,4.9130290671474635,5.907769116032739
168,10,3.71029508035085,4.29830713566108,4.999630463200873,3.79627721885975,4.597575734134697,5.486802672256946
3,25,42.37572311060414,55.080438047281945,70.3390396702761,40.51059322766936,52.00814137234185,66.60073820055717
6,25,30.991504864375337,38.905377814155074,48.981096800680895,28.86280616008534,36.97440204311976,47.53833871754385
9,25,24.14081759181451,30.875767089576737,39.19498022122032,22.919750933250878,28.69922493274139,37.09685052966718
12,25,21.285512987149666,26.936534212534152,34.290466210903396,20.149144459075554,25.113285905768706,31.501721810059415
18,25,16.74862634532737,20.567755459114487,24.815246883583928,16.584313914943266,19.888657116084005,23.992358614078782
24,25,14.035319056811124,18.05107732831363,22.98612226792443,13.41942395892849,17.151163928258672,21.886463284056678
48,25,9.916517786605217,13.146511475009628,17.10960282335077,10.094295663582656,14.138008821789164,19.767067007960918
72,25,7.39255859063775,9.713719079937954,12.44002390895264,8.202869289223347,12.231176089495136,16.972507423262343
96,25,6.141539351900421,7.696873750140808,9.681772565138246,6.695540442869621,9.017471529209304,11.750471997570674
120,25,5.25941555314078,6.537083183672923,7.956410922997739,5.779850176874832,7.478833304600011,9.278639915958609
144,25,4.591521648046202,5.723432929236028,7.190116619961872,4.74352699270892,6.584074964089579,8.520640224991835
168,25,4.203978118895597,5.099530307756506,6.234715833067996,4.469403604691536,5.982835412392457,7.488638098837133
3,50,46.651837032673285,64.61902200082895,89.44254945251811,43.92589979080424,60.21335737234283,83.7889580935809
6,50,33.567039812424596,44.787558222110434,61.00823160409979,30.894523256600543,42.60213017415535,60.718833771694605
9,50,26.216362478495334,35.59434837172943,49.82344023277069,24.67929079997388,33.172738538064856,46.34208212740725
12,50,23.291821848155628,31.123844443540904,42.54470313592033,21.681291576491002,28.86171317223721,39.15816810061009
18,50,17.910866002808362,23.216764753326345,30.36356169489298,17.682185909610418,22.305073669927637,28.403348205648236
24,50,15.067844308661275,20.972535174825047,29.244376315893312,14.389363547204876,19.901496820940903,28.039574754328555
48,50,10.970439024458312,15.591294066743703,22.29448715855044,11.501299449102834,17.672208879652285,26.612666946287852
72,50,7.943498872796489,11.352585747643733,15.805917429235592,9.800194333730113,16.310302369249538,24.235270453565068
96,50,6.697822489472376,8.740309453830887,11.565620678177012,7.488497850622707,10.925818918694915,15.17977504146564
120,50,5.684244409144884,7.392662915222585,9.41621142650804,6.463556944909964,8.879060839139983,11.52689658779874
144,50,4.899026015885512,6.469795677308793,8.861498574146548,5.282182648554647,8.11647025164003,11.129621115606197
168,50,4.512576671331338,5.7154158687401875,7.356537523296453,4.945236427453505,7.214661254840266,9.51400508398607
3,100,50.26434703464439,75.17537203004413,113.56269163794894,46.84892452115134,69.09341608812322,104.2928045529278
6,100,35.521628641290874,51.130006674468156,76.89735766685462,32.87465996860145,48.75584088703198,77.55530745797934
9,100,28.02182150543734,40.76445503404284,64.27505436969419,25.828603748023454,38.18189955848972,58.723177782145
12,100,25.029902625587304,35.731517750233444,55.12760249678049,22.808977161126748,33.008074298977,48.89280018075701
18,100,18.847808416200596,25.993938421346627,36.946976124216725,18.603249223961125,24.809601159192532,33.36321521365336
24,100,16.020099769100817,24.246743907252764,37.37796385340296,15.399092154934468,22.990956558075034,35.65957291086694
48,100,11.820318341252781,18.408676327865976,29.837437855817853,12.871667274207649,22.064522096139946,36.537725172727875
72,100,8.440406409154216,13.187741707336656,20.42907871438966,11.274470214381015,21.893052714354162,34.56687746769346
96,100,7.113184349305413,9.832235618829703,14.171240964983618,8.121814818260262,13.167407835789767,19.68041090941856
120,100,6.014958838367297,8.280391516248944,11.427732099074046,7.1483172227191,10.45675934162211,14.485305737824739
144,100,5.197918708031125,7.24777627527488,10.912120508726884,5.735072396660285,9.951353841496509,14.779868155167012
168,100,4.82002026955495,6.345479183851213,8.899628045404851,5.40063273914871,8.64980664497682,12.017504921336926
