Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,16.45381752335037,18.73641021676205,21.148886260503033,17.41858867169737,20.09491543501651,23.410538099500364
6,2,12.522330741867961,14.25112234333856,16.168339954079407,12.435154587759367,13.937341849289437,15.782223600448452
9,2,10.225544320354075,11.593612399442511,12.9558448726418,9.975560596404469,11.493926272103806,13.034933146986702
12,2,8.820489301296217,9.844710761732536,11.202571218857072,8.763569909616864,9.935863981648648,11.27053565532582
18,2,6.712768796250279,7.557139201932179,8.503387546194325,6.796363602039866,7.58554802131202,8.494014350264779
24,2,5.472866073205351,6.1547975923631935,6.871093772081009,5.5336958498509885,6.180872043438116,6.95548550542283
48,2,3.531212296218844,3.9409944487500495,4.402770985839005,4.013937580105651,4.466374140414484,4.9848050724128585
72,2,2.62615351855657,2.9001504949253936,3.2860741056525713,2.732531442621724,3.089526110899704,3.435130952088437
96,2,2.153947515930663,2.3951626150600562,2.644473392694864,2.4069894011762187,2.694417834277326,3.0447436960655043
120,2,1.851895998826723,2.0592602537854505,2.310506125050579,2.14592897177824,2.3845122729170196,2.6527345376107987
144,2,1.6779171442439953,1.8374209180970207,2.0462043327494377,1.8681962793630575,2.0685332499809514,2.27694499817146
168,2,1.4995274064548458,1.6599805728868902,1.8385226205181602,1.6753435088185507,1.829993629464754,2.0044112547861355
3,5,23.100103977458815,27.248412123099776,31.67992421503179,25.964658144586345,31.456493332980465,39.441743417945084
6,5,17.295574257773563,20.29558953542581,23.559862976412077,17.188445447145362,19.91691232675472,22.80287826083173
9,5,13.864568134708392,16.06325255136674,18.085552252135486,14.50203443928904,17.07231339357942,20.047568852352217
12,5,11.819605373880611,13.603744128067056,15.677298656084837,12.895902927505269,15.169333429353788,17.635371848883885
18,5,8.896443665414258,10.31590872656633,11.840494597366028,9.377663102002165,10.806116361800969,12.459409451493883
24,5,7.254539049965521,8.399804467032281,9.741227719589821,7.975397797326188,9.238552425697938,10.722125206029052
48,5,4.649235103599564,5.344431981680492,6.056662025499206,5.603689774342184,6.383930747313077,7.4101224546827495
72,5,3.4675204520347642,3.9692962264417835,4.622996683418429,4.035552009588585,4.689938968064164,5.431402689270901
96,5,2.823405812772008,3.214930369985158,3.6608153869921365,3.685794862239658,4.442251901408778,5.321989591948215
120,5,2.3994206443547776,2.773486496498195,3.179206093231016,3.3020442830956913,3.817237677447184,4.3707087299400875
144,5,2.162147931048112,2.479615438840904,2.8170275544038135,2.7257647142635166,3.144198973111174,3.62990411149156
168,5,1.9746269603597861,2.2504282329827334,2.5586364557970596,2.3337037663514106,2.6064229705401942,2.9130212355867147
3,10,27.825204127550293,34.05482303218804,40.78650870386147,32.66285617738873,41.94511623466475,55.54443888111015
6,10,20.428244359894435,24.771446538975518,29.619138880630814,19.908003296882214,24.0931637051986,28.275209501305255
9,10,16.12996308928228,19.317673774456306,22.534124823610046,17.683443866078477,21.434060906309142,25.57349707973897
12,10,13.662415195852493,16.37106768635521,19.260384673929117,15.814736738051515,19.403412594729733,23.324120178286403
18,10,10.37175088446771,12.335092248324306,14.50597460819752,11.260683988938789,13.382039951368123,15.850514302747557
24,10,8.46990921479939,10.099961326815983,12.232972920244759,9.689484564646055,12.009420554442169,14.579195174930678
48,10,5.339218182412902,6.384099479701797,7.435444966501974,6.599558980208769,7.908833338239168,9.655396886858545
72,10,3.9907659965908495,4.794724136597378,5.806070586685557,5.065062162039524,6.1848068597155255,7.4338046836314025
96,10,3.210048767909238,3.8590711945049145,4.516238990216047,4.971397192059213,6.3521629798594175,7.863551172289519
120,10,2.7856800589274364,3.3268254450283137,3.9633076015594373,4.363428397072722,5.217720304783668,6.2324642813159805
144,10,2.471373738488341,2.959024821838432,3.4650128371755775,3.3714527728691897,4.112293357802457,4.92577132048226
168,10,2.2928466454238636,2.6944601854502497,3.174483628507421,2.8239877473861297,3.2411443380761966,3.7136210633717
3,25,33.625745978148984,44.26727887660818,57.81792841271472,41.791721144697235,60.13118193036758,86.23666238640226
6,25,24.03483302347334,31.030802502595193,39.406255926991925,23.379791360606568,29.691433462120262,37.19283661054223
9,25,18.719941519088003,23.79954023702787,29.96735920788896,21.455435359256047,27.897796213005297,35.356333945776015
12,25,15.621212928209438,20.220550053826365,25.44495324232561,19.625838239988894,25.875161121698202,32.99138902402633
18,25,11.979955613442247,15.129041961877935,19.22051394246353,13.276549539769285,17.30281884072686,22.528302854085922
24,25,9.757061923228044,12.52684567512324,16.736294543986805,11.96872413524116,16.741714145502797,22.01425727948798
48,25,6.187729660453879,7.838603829966951,9.804811188937723,7.60530215420237,10.217606247668314,13.362215374685459
72,25,4.669415060289077,5.993947928214479,7.909714906525023,6.416638706485964,8.799482111268958,11.09876347264337
96,25,3.6375733407036694,4.81014565258984,6.136518890277128,7.2049924543454384,10.204463188949875,13.305590037653165
120,25,3.2543724634648785,4.133315153595414,5.373894968517466,5.873076719511472,7.764741335383183,9.708571325498127
144,25,2.81718457110086,3.6344444457763707,4.545619696668762,4.299523587212781,5.74803911170633,7.302763817353778
168,25,2.6604987527228094,3.324252419455191,4.28283192580535,3.4601160010006335,4.221849506623419,5.231500989175556
3,50,37.497439031822495,53.21026387161659,75.57344460304222,48.18504629239882,78.56745698959276,117.06246535657962
6,50,26.213558242822387,36.15373835988309,49.579961493223436,25.556702502769937,34.12877194870485,45.74877326729198
9,50,20.21538812481169,27.413780348859234,37.752021550123594,23.92749547049409,33.52731906070022,45.03798684922652
12,50,17.00619450952701,23.355017014221524,32.35455951347131,22.643855038078925,31.679686898812097,43.07858724024795
18,50,12.848294379298036,17.392445865472858,23.787928859007735,14.864649590131114,20.82310189417885,29.781892880711318
24,50,10.705144848229715,14.552731510061584,20.552321809334558,13.800983833256982,21.47883332062627,30.666769757112107
48,50,6.765763678872913,9.029476560793713,12.205355647732755,8.207819764088097,12.279089948727531,16.82709354608443
72,50,5.044177339386713,7.012143268032513,9.94493479871305,7.381070438778193,11.467343356580837,15.194911189260395
96,50,3.9159333634783424,5.630265284676044,7.777951285595574,9.444816102335896,14.680599859243568,19.588979881121983
120,50,3.55661577011883,4.820164405957687,6.816513014808095,7.394330627273033,10.454254633514687,13.49261545533712
144,50,3.0686666903992883,4.191193278623247,5.63080958284521,5.013676761162603,7.363727283902758,10.061519547724222
168,50,2.914301431091906,3.8467577273189093,5.36875779828,3.926591309075001,5.111539034296853,6.8305208315398644
3,100,40.85249846794768,63.43474441838947,96.97702449254226,54.768906589362786,102.63455452619132,164.88476832217214
6,100,28.454941815256582,41.68211914838104,61.51063679118175,26.754293633569027,38.822306002871635,55.71696216445719
9,100,21.58061978952243,31.265139747180154,47.02772538809271,26.370793037491055,39.96718814920104,56.40295403593238
12,100,18.219973397335707,26.72279299606832,39.055646926879945,25.586154594390244,38.48765950391585,55.444530051659186
18,100,13.634385183582722,19.813759471742944,29.7283921986617,16.44418221032234,24.972917494231123,39.529441949485914
24,100,11.608767271024465,16.77609739568021,25.73561390334703,15.651105477403192,27.60365748537451,42.80488308212154
48,100,7.269014784958976,10.315005090829457,15.112773481149699,8.792606246970353,14.695983095456192,21.792983107630008
72,100,5.402732106651115,8.145889797797388,12.554986396892613,8.214845891355521,14.96430987757392,20.988684968646407
96,100,4.17407474012548,6.555634151901998,10.075067338225235,12.320832834584852,21.225437766945635,29.309175121455432
120,100,3.8178073405725153,5.586967764503593,8.770148807402535,9.117282721235693,14.078708541613294,19.22339001604819
144,100,3.287252961700543,4.795669371765376,6.965118529625116,5.785535172953688,9.423765986540733,13.990100045673046
168,100,3.0950042395961277,4.417192452828484,6.790979667194437,4.371606236659813,6.166317663983522,8.945984969358946
