Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.64582940561332,25.627185304783296,28.98330102737073,32.57044940531963,34.952108292644965,37.49987892138145
6,2,16.474081038045483,18.695923673622467,21.082877050646577,18.82221374881187,20.56033970799636,22.44267881867418
9,2,13.693224023040838,15.258126219587817,17.057699938344108,16.614871047853047,18.5883216545863,20.308157858414468
12,2,11.640224559482498,13.095736284490279,14.532545702549548,13.509718635123459,15.245705896201414,17.072994521904256
18,2,8.804147486753807,9.9818385359068,11.213394296653455,10.041817010665275,11.169446110077097,12.434065181151755
24,2,7.453221052084423,8.334743622083328,9.391970665547964,9.226398977317656,10.191212735777892,11.091645996665513
48,2,4.339206329453598,5.020151466680977,5.63756881502049,5.7139069901425135,6.429281242608829,7.076615868447837
72,2,3.1279808392938095,3.596581431678951,4.039021878958244,3.814055670732543,4.32681529479013,4.815306062741565
96,2,2.598367462407732,2.9325476360547604,3.291094525289509,3.298416458928398,3.751180436785397,4.2169211466909475
120,2,2.199849546629376,2.5020065694992804,2.8271010144611695,2.228167598504183,2.521236286350382,2.863544396740262
144,2,1.9895208411642655,2.21750760477019,2.4589293058697477,2.196346471639837,2.459809669655397,2.7541715185765434
168,2,1.7425604569384348,1.9692223989602382,2.2053002642379695,1.9137439227288073,2.203425798025801,2.4790009717023276
3,5,30.697468369277352,34.39813199213681,38.263389083724675,46.51352111591589,48.97750186490187,51.27083632449083
6,5,22.159684045903877,25.147028920736034,28.630722939376568,23.74537187829081,25.533601114776296,27.659090027331537
9,5,18.03702894193058,20.578773686548356,23.16615132777028,22.34780696845252,24.760847245139672,26.830123642607646
12,5,15.430750282980675,17.65902665155439,19.654120460180355,18.925854227259208,21.13077156757513,23.112289081075087
18,5,11.927798273870357,13.525784255948398,15.227970736712226,13.483538412460797,15.06662984698779,16.70145147626965
24,5,9.963107058291815,11.233039327113765,12.632922328929954,12.095336789170286,13.195643050872565,14.152372812011265
48,5,5.909144864535785,6.734977683566147,7.493871504358097,7.940598993187917,8.407168049433304,8.788131107729779
72,5,4.2792922901860075,4.832460571697692,5.413550066563653,5.5044443056429175,5.974553705526658,6.441205423088542
96,5,3.4547197609815417,3.893784213659853,4.300378815858298,4.840555520660386,5.324307531238731,5.741057838070825
120,5,2.9623082547707327,3.302730968571514,3.673035070721967,3.0903789148282543,3.476207390385448,3.896302572438087
144,5,2.5950042269376787,2.880686187893955,3.175222515796543,3.216415336545243,3.6041367855422357,3.9545368158884635
168,5,2.2890458386334895,2.5821812238016553,2.8698767634900424,2.944308516590903,3.384461469847345,3.841827681104493
3,10,34.72222808595164,39.465479241772755,44.1304997186444,54.94138011516216,57.03592978180712,58.77467977445057
6,10,25.32987801954497,29.234852673340015,33.91160439433253,26.079810576466578,28.111283357336404,30.433993569584025
9,10,20.56846086815716,24.141154388874657,27.902308552591812,26.036200382092872,28.699280599762602,31.350165445336167
12,10,17.57212951206767,20.64313961844381,23.619023234069054,22.263938752896458,24.7767972492994,27.51341142409899
18,10,13.741540857065534,15.822010257845903,18.167451305125674,15.267611186087095,17.540100998187484,19.581019642715717
24,10,11.394154481750718,13.051681980648652,14.83366437432694,13.630110745950311,14.746068269293374,15.86322741731039
48,10,6.746006922655733,7.717451944429129,8.635322552146315,8.860433063697672,9.169629323312778,9.417993901055219
72,10,4.875162171306004,5.5608468586002395,6.245780881724825,6.389393501375669,6.8487030001026055,7.299009892918496
