Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,56.58188702828218,65.97969317262202,76.94807597093448,54.92553890930937,67.58538346333364,80.98412569842338
6,2,45.03869117741259,52.57025833499779,62.78056934128402,39.45203967813065,47.45825463035349,57.147592265593616
9,2,39.50603670330653,45.60500307474804,53.582985019819446,31.7959909762696,38.54173661263581,45.907491127172236
12,2,34.99465860984859,41.04657358329507,48.00799134203979,28.887559216664386,34.76873023192451,41.23395690305612
18,2,29.463868198683066,34.33694917242309,39.72707223103496,24.442383432000184,29.8923162550334,36.67996199001111
24,2,25.70412452330322,29.66824577422622,34.00378495950977,20.161341482706924,25.17524177803455,30.603588696032517
48,2,16.66629543318909,18.958697133398047,21.728704495543987,13.342817954673254,18.627968680459144,24.94611631259752
72,2,12.625223474085242,14.15585247069556,15.948443964782761,12.01767413572044,13.53996826478716,15.48654580584682
96,2,10.18539734055097,11.485990081095288,12.95569624751511,10.108989417732047,11.56036120144914,13.4450926788485
120,2,8.7601086075755,9.818608338652064,10.902138595541416,7.732600104152738,8.746110200385274,9.875168232058595
144,2,7.907422567129236,8.860208964540771,9.974738216160574,5.726880544628522,6.687407896185569,7.8126769117594765
168,2,7.113331312871658,7.99287359163378,8.931646366214956,5.387271700873173,6.300374814926009,7.444204431020484
3,5,86.07964997479388,106.29099522186408,130.82643038865587,90.9181173207478,114.75847131090902,143.16132788922
6,5,67.91118670995178,82.57298909749889,100.82477453525362,60.30151593239228,74.94646097810787,91.35043208941539
9,5,58.97764718075133,70.24591650468425,83.50322184861152,50.09293238360586,61.75240812622455,74.92789954714978
12,5,52.36891227959612,61.813077112250085,71.94235605208522,46.76759440410309,56.33318403944649,66.68302681838072
18,5,42.4603576376157,49.776265420850336,57.519510393043824,39.594279122412864,47.45076301240247,56.478524052810485
24,5,36.6011961328128,41.99202316191611,47.578996711234915,33.85033771050316,40.73380620663066,48.29616479782113
48,5,22.773412619607477,26.156383882973394,29.678545927782316,27.366534056212338,35.883486925354035,44.56068349988029
72,5,17.02760644100996,19.438139240864324,21.859359998770298,17.27026858464878,20.05046956462167,23.65993220922914
