Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,4.485960835235714,5.462439082568447,6.832797686812279,7.317329208615339,9.507953182217173,12.033301273220868
6,2,2.8865243009306374,3.54209498546265,4.360184349792744,2.9548295707926755,3.614699905034993,4.357434044002256
9,2,2.1891002479221386,2.6270703598878242,3.1335129250263405,2.3336932638903054,2.873795466799979,3.566426874293696
12,2,1.763943435498787,2.0954482273417057,2.568966135440304,1.8547192383885092,2.170727571956739,2.5197485581932284
18,2,1.2497983352770334,1.5338726117189174,1.8650368178143224,1.2716166424308832,1.507104268895946,1.7958027850846736
24,2,1.0239380168388073,1.2090893441343575,1.4724509902940512,1.029308786157865,1.2486025739692839,1.501330421637748
48,2,0.586302327546163,0.6974700991885828,0.864210750618535,0.5665551675558504,0.68089247956953,0.8145038514832736
72,2,0.41353163602010623,0.4887894552156906,0.5983247409057706,0.3736764443532763,0.4542585618725712,0.5572478768247475
96,2,0.3372385635345893,0.39066435384306253,0.4793231022209513,0.2315435624632371,0.2962456568255114,0.37889428951922155
120,2,0.27529308767799937,0.3184229086845116,0.39546909682302184,0.21019701367068794,0.2830841604190678,0.36712666421216555
144,2,0.23664245091160757,0.2779787932164003,0.3490595593432416,0.20962141055389782,0.2780192907745159,0.3506360760879747
168,2,0.2122925862438485,0.24910131705626593,0.314322677577915,0.22285015896679927,0.2850551065478391,0.3468716977349253
3,5,7.318752546945085,9.459774900408764,12.130679276069653,15.230417031327558,20.870090392008144,27.180286870760696
6,5,4.671034853372694,5.9135992214375825,7.491878306163896,5.486096252042002,6.844882259015597,8.270598653608852
9,5,3.4730467249461414,4.340547759688983,5.3163374321948496,3.9495636739992683,5.018429013145651,6.35468263744724
12,5,2.7303680381310613,3.4316406813391422,4.318055548453548,3.2663119801935343,3.8279237971701496,4.418265447465673
18,5,1.961553933242326,2.524789163475754,3.1274259943529144,2.2610646799424376,2.665933442171961,3.1463401269538176
24,5,1.6007729315425707,2.014273851054896,2.4994137035200845,1.6740968720611735,2.075966091016886,2.530963145686265
48,5,0.9049600802268905,1.1971556408254256,1.5572775709586897,0.9288518862329611,1.1272559729238363,1.359250765842662
72,5,0.6399550503745879,0.8524265272067633,1.1070025262153627,0.6483554011826728,0.7912842887904035,0.9509692074371161
96,5,0.5270461852334046,0.6829439591458115,0.8854766178943638,0.4586819437287436,0.5789679914023396,0.7163086814496602
120,5,0.42675980240137545,0.5618611858143684,0.7620708756018585,0.41933682618087204,0.5370395475401859,0.6566419268570035
144,5,0.37088503593326394,0.49323659076795423,0.6852791319982892,0.3859986919634526,0.4879861908278973,0.5791472456209806
168,5,0.33131212791841047,0.44991248021419394,0.6419678064972985,0.4028754572787095,0.48176281693625006,0.5596319443137465
3,10,9.69343473356572,13.091210088316501,18.178912623810575,22.729991188629953,32.536208405982315,42.11890461329007
6,10,5.854152685807833,7.969740706978376,10.304013572940647,7.647465521021088,10.179960875400958,12.817932571746624
9,10,4.3886527884288125,5.804051582449892,7.421550664221663,5.192134357419,6.877129784931105,8.744735026320495
12,10,3.4064588567361733,4.594509055338196,5.98848527957967,4.448137633953939,5.296921159750772,6.1677752957706105
18,10,2.5133689724419845,3.4063471469470676,4.419596658962342,3.0567079988631374,3.7171426777120447,4.399864196335005
24,10,2.0434883189205113,2.756692377614165,3.6171652380038335,2.176166556817778,2.746600194883168,3.4125030578933995
48,10,1.1648095304927488,1.6975052528704833,2.3437141293223536,1.173533938058878,1.4816732374156214,1.8158511758182065
72,10,0.8216852144074455,1.2471384783541493,1.7262720214070004,0.8336349628005479,1.0637667846220369,1.29353653091841
96,10,0.6889874397301092,1.0189174229993883,1.4167361222706543,0.6119344056630234,0.8013403180969814,0.9904765637552075
120,10,0.5581904407393943,0.8520042849290174,1.2465236862786215,0.5647247256832857,0.7244225361480534,0.8732761348814508
144,10,0.4864117043788957,0.7570386798116279,1.0847212586165598,0.5004673165411391,0.6319793450133887,0.7371750466689712
168,10,0.4364335284556802,0.6989400306223981,1.0760965149441586,0.5165806067378811,0.6147842600823101,0.7004190746117026
3,25,12.435398183889607,19.22304130221606,29.388694019269032,35.98949841139412,54.73144171227626,71.74579844896613
6,25,7.433813294913433,11.294151344598623,16.41421760199885,10.665352964068815,16.585618408458846,22.06274387819513
9,25,5.489326276329102,8.137618638698429,11.747403154736299,7.078266935228065,9.906296842684046,13.39080837877329
12,25,4.325585833650583,6.4812239572182415,9.363205391816676,6.285029284968884,7.733501733624849,9.475948727809556
18,25,3.219741462084983,4.866162813586109,7.106946379998945,4.212377596070952,5.501997761499576,6.770942160297582
24,25,2.6068514956821396,4.027769219169043,6.029561119374197,2.7293456719680433,3.776735733009045,5.004502932117317
48,25,1.4443997295585176,2.6230046953270545,4.007912384684721,1.4431478965059896,2.0158530002438724,2.6213973663895187
72,25,1.0906832432723985,2.035104418298879,3.264543197313667,1.0461294378052697,1.4807806115174829,1.883206590631271
96,25,0.9072773898517479,1.727255841129205,2.8328622357543822,0.8037074817379417,1.1319952250926169,1.4272523578185976
120,25,0.7420787075307709,1.4852765290160086,2.3448626063275215,0.728286492219519,0.9870869468915281,1.1981178488450241
144,25,0.6663756594006637,1.3484266092677666,2.1711800033579873,0.6443735216858028,0.8208200652352848,0.9714025268368944
168,25,0.5968500498708385,1.263601586559096,2.1900686586481197,0.6596544099390254,0.7871057063558553,0.8871920170869758
3,50,14.561751385685135,25.232527561228963,43.05254783103764,49.871320165315,79.16009446113887,106.88858801421432
