Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,5.811783113925278,6.855154031808107,8.515198704259927,5.883641125674712,7.125960507185674,8.447018892492496
6,2,4.140113163194563,4.918275266165879,5.940777366069726,3.905614373464606,4.896560114060205,6.10265385344594
9,2,3.316241117961181,4.010360977508815,4.817559091758613,3.3622239779105705,4.077718539303325,4.933479223174186
12,2,2.8968554505089816,3.4203734665672934,4.155226085328337,2.707684662910499,3.551127836515267,4.682002470741049
18,2,2.238999624256893,2.7143152992505732,3.28340290887931,2.0930883580138726,2.6701886157721506,3.3893306123976394
24,2,1.8719292605425917,2.2709731045913233,2.7335176651176534,1.9437497979700193,2.4316569133014694,2.978485418304576
48,2,1.2041015502613681,1.4361929559918125,1.7311215614922928,0.952786387743201,1.2616251418530946,1.5947203926404971
72,2,0.8473397677389034,1.02044191639849,1.2423255976310361,0.7305794324582884,0.9470732537573234,1.1975201098928407
96,2,0.650336771643119,0.7922806503833166,0.9547320491817772,0.5400418017027395,0.6682568790233255,0.8249444176691298
120,2,0.5505146486800987,0.6589538556361485,0.7870910934417213,0.4332750715470065,0.5446135169135763,0.6695359004905456
144,2,0.4716148079590715,0.5777685942356016,0.7018760020915845,0.33598062648905347,0.42468140524259956,0.524780202507559
168,2,0.41743424704283494,0.5081506430872129,0.6092363769360405,0.26650783571442926,0.36354811320871516,0.47869947232993343
3,5,9.07396439533061,11.777194196412152,15.233071901139112,9.694354322832744,12.498477118394206,15.96198823246976
6,5,6.32782201575559,8.31084744843178,10.549689991547393,7.048212275582198,9.271922784734366,12.152069287291742
9,5,5.218350169056848,6.706344441435216,8.4371387028338,5.922046981069116,7.511431480854598,9.52909000661126
12,5,4.4830583134893445,5.682243349516254,7.267200012784704,5.535915134609384,7.554622458027959,10.300276703159183
18,5,3.5511535729228463,4.461690259284765,5.444406545720529,4.067367901939919,5.604621015634974,7.482706345511483
24,5,2.9558811248392156,3.7112298584247503,4.561173537851526,3.500821388809624,4.427841931709487,5.535575630590074
48,5,1.8512098235227388,2.25166946867372,2.7054080819898867,1.9498669640570157,2.5049617225632272,3.1572995767370298
72,5,1.3012051974804817,1.5810274067747323,1.891271973103909,1.3079551276542007,1.696348768003054,2.146827488434135
96,5,1.030823142251565,1.2475054373394974,1.5114692471246607,0.9468113909612847,1.149627393552401,1.3886022831324731
120,5,0.8762104194530188,1.049118145274299,1.2813184069937522,0.7884486151928867,0.9645648554900907,1.1713843331089955
144,5,0.7656282871059292,0.9307096477082173,1.1284445030697912,0.6477349240407602,0.7958267232290728,0.9778271649535579
168,5,0.6724549330316112,0.8293318008068276,0.9928656186464453,0.5819580162255107,0.7833053995848414,1.0133162144669017
3,10,11.728075155459571,16.642565691000122,22.389145523287574,12.691895541183776,17.572052824532218,23.50284564667189
6,10,8.115417505862201,11.586125764139878,15.3144108788725,9.432312724056018,13.662210688538138,19.43208193495444
9,10,6.708176132169903,9.198213062253522,12.135416484374996,7.956072549101724,10.848247980469877,14.833755940669683
12,10,5.579766706139792,7.739808649561542,10.478926275414974,7.827713972248393,11.788976444091942,17.019883766637236
18,10,4.546251844891399,5.990717222041482,7.796078553320763,5.647110216171185,8.661287425366831,12.503786738898254
24,10,3.7125957648468724,4.926233125044219,6.416068738356929,4.666939542706494,6.17994759906685,8.079055859239572
48,10,2.2958006800523556,2.8473163011549425,3.529181299425523,2.7073428768932173,3.6292849153789355,4.653401507609239
72,10,1.594730845415512,1.9767121305072948,2.4272479795724435,1.6676612192062668,2.313739664499363,3.0062184392790554
96,10,1.2835844313138272,1.5853511441979993,1.981179849322825,1.1986740269881024,1.5143962429129352,1.89074104789781
120,10,1.0670956864999497,1.3425983188844777,1.7131520365274675,1.0071764878313467,1.2846907274052062,1.6113184995373029
144,10,0.9406718036754098,1.1932441076688929,1.4500219437632216,0.8567954444591015,1.0927994187446095,1.3794404936397846
168,10,0.8400238323784694,1.0746366280296447,1.3108025151555986,0.8430623909469909,1.151834671507964,1.4807873809031777
3,25,15.23628325675093,25.533440984953565,37.119324237586014,17.031419520412395,26.62554429172988,41.059531518176534
6,25,10.60337365013195,17.44009432491257,26.444089167897268,12.890942253527411,21.972525015056668,36.4352948772978
9,25,8.642038719743546,13.474161524156191,19.582731911905746,10.429604661954729,16.970161235414064,26.675112403248605
12,25,6.912063867241594,11.218408619914857,18.68274574250407,11.030302526227874,20.179333284211264,32.96747727175373
18,25,5.619499087849045,8.484092812766313,12.490307149963499,8.046599057923023,14.632037843020004,23.33349850084188
24,25,4.586115211624704,6.841494375374346,9.901115905018496,6.223256887287503,9.08540055063895,12.891364327149315
48,25,2.753503375776287,3.669989348643749,4.9730251543872255,3.706618881970633,5.540473625633782,7.417997638072384
72,25,1.9319946980591614,2.506457807467405,3.213522066276437,2.1500715928168272,3.2789955085407687,4.582636971713124
96,25,1.4988251877779109,2.058786490423631,2.7241742756979397,1.4902547848949963,2.0418430036009303,2.8165609760073034
120,25,1.297932693239989,1.7589418060911055,2.4100201241078087,1.305228899174999,1.7494282683459361,2.314559949712745
144,25,1.1347154891690094,1.5619103923308744,2.087855459978583,1.109067616158613,1.5442824804796418,2.097036555981386
168,25,1.0548194755760838,1.4275243204467096,1.8628103730523844,1.2072920654477974,1.7597478460181843,2.3571405910076737
3,50,18.005584315009457,34.9225614453769,57.31718486024522,20.232789642037197,36.122149524871325,64.07777464126052
6,50,12.583536359794735,23.494266249346015,40.77061002547876,15.749162330791524,31.198783889329576,60.344410213189605
9,50,10.128682838727972,17.72925243264889,29.146217992612364,12.476212937619795,23.56393120328672,41.934883552175386
12,50,7.974551779389323,14.631616353925683,28.02250984995664,13.843974157776024,29.859902195800053,53.441865150355824
18,50,6.348623050960114,10.848143377370963,18.132801656028068,9.839308452111126,21.43073991143754,37.4031527409058
24,50,5.158734894557082,8.599718022777976,13.807434408572814,7.295472636607331,11.916130865622,18.627928763580876
48,50,3.0481771106362494,4.335254428839045,6.259329847576206,4.407158732912011,7.440914538778044,10.517900779175301
72,50,2.1315968619066767,2.922150463435084,3.984910680166595,2.49859501289425,4.167513768241595,6.246610601072367
96,50,1.6632434922150283,2.447032073031262,3.459098389748309,1.680672297242825,2.492118741411351,3.7288075329686006
120,50,1.453713906979494,2.1044288369827444,3.1286165609750913,1.484335145180084,2.14712509319188,2.997258884338902
144,50,1.2469232989772092,1.8648465485926815,2.6798522573803276,1.2713695161188838,1.9485729763564965,2.8342112166643907
168,50,1.1856616141817864,1.7243106430453912,2.4545153900499708,1.481107476406136,2.3462721886501297,3.3294609601796337
3,100,20.64356975213174,47.53167536651297,88.76643580788844,24.131796419738322,48.97232794844979,99.59329948801494
6,100,14.484577239792705,31.47938861707411,63.44421744287385,18.614506940633685,44.319974637671486,99.94552273515171
9,100,11.509938720710021,23.158256844078366,43.0092239209308,14.555575547647482,32.69139214958809,67.6084992681838
12,100,9.047617947583428,18.93399423235911,41.187271992283485,17.02952270064793,44.03110306285638,87.08948977662934
18,100,7.241578584110856,13.741511250226509,25.139107730625994,11.764346449346954,31.272228939112814,60.75684032188333
24,100,5.765521168388508,10.692800909492696,19.054012330513935,8.4039168291399,15.496214572546698,26.985135225588074
48,100,3.32883612787525,5.0458497568471685,8.025110198500759,4.99935872056137,9.879598083412109,15.179064832032633
72,100,2.2724277656789704,3.3549392815806818,5.032138349917824,2.815240661533415,5.236745832617181,8.544333735032804
96,100,1.767421018983916,2.8667098807858533,4.406349984593485,1.8316215760418135,3.000029795251635,4.889873342813569
120,100,1.5847650333624466,2.481671555240106,4.01096604681963,1.6503910819929963,2.5960686014089247,3.874052409038778
144,100,1.339366304621454,2.1928694267562587,3.358153959650993,1.4159658865256368,2.4234071057744884,3.8593724620566805
168,100,1.3072109577066557,2.0521092364620266,3.2396858997226405,1.740620786560046,3.0787673553399824,4.700013745105048
