Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,18.823584337243187,20.617336445964334,22.72081188119371,19.408791240459557,21.140864677144975,23.193470365082273
6,2,14.230440370405148,15.611058348941096,17.056107730530485,17.198523275623735,19.68511689321556,22.076061528903523
9,2,11.708684993029166,12.83507498811408,13.890415611483908,13.602977005610537,15.12882448336316,16.833156665142358
12,2,10.241319941062532,11.109104157544426,12.155978679414151,11.426719664541263,12.86364994822004,14.433090968722109
18,2,8.167355540806604,8.974314858823693,9.853942028375556,9.131522412961312,10.100077391143738,11.08712286157166
24,2,6.937335361698322,7.553959832799759,8.31206147656315,8.101178056462729,8.993141239147555,9.930537949383117
48,2,4.1912102500557324,4.627261431097487,5.122048156486832,4.613088440797213,4.995171275170002,5.413829986887446
72,2,3.2831653457193757,3.6048514640268516,3.9952842492551675,4.4895001135653505,4.867646773225211,5.2682390416466545
96,2,2.685081333907243,2.9903005949196424,3.2937648597632707,3.349672261271566,3.681215112840701,4.00538625496763
120,2,2.368514006320298,2.5992742852118016,2.8459137380391057,3.2149948883635284,3.461932197202022,3.702816663249102
144,2,2.1411622416310596,2.3404402088912315,2.5783030456598772,3.1187068131917917,3.5209102654161013,3.913930350556584
168,2,1.972818696593102,2.199828045054731,2.419245667866938,3.305339079697204,3.501095718655847,3.680801780539353
3,5,23.463615773831684,26.790987241786468,30.4099233945688,26.23781437069487,29.404930500258033,33.64277997785282
6,5,17.89848498027471,20.085839593482977,22.472979287206506,25.772320300772826,29.846656180383903,33.84510514466139
9,5,14.546481444099197,16.415995933892642,18.11360498355013,18.889702146483245,21.111587889446355,23.537951519372786
12,5,12.768779121609654,14.067410338853726,15.608663222796078,15.819692486206044,17.654487828506376,19.54970081497351
18,5,10.345204400902954,11.378952694157473,12.616855784768362,11.915335621995538,13.114484906583762,14.323166440514687
24,5,8.642552085288393,9.48615350794302,10.409114456185213,10.964302530680612,11.845847225844182,12.708670765897054
48,5,5.2800130310958675,5.893718130014583,6.581040732727773,5.8156259373936905,6.3444476928965035,6.858867204405907
72,5,4.1643318660461315,4.590341553997311,5.065888453885384,5.708554575459368,6.140951068188084,6.543349001533484
96,5,3.434447874023805,3.8145102087796126,4.203912765942471,4.364785337679555,4.682077439996473,5.004023441843341
120,5,2.9822405986262006,3.302139362012581,3.619123945263148,4.063759220880393,4.30876736824902,4.520280208245192
144,5,2.7273854275260536,2.990392105877252,3.2484302055189325,4.447084586935233,4.803998168948988,5.13378155985502
168,5,2.5293032029941873,2.7700522388440296,3.017094134596537,4.069479711409212,4.211609798965555,4.3298083922787125
3,10,26.64268251995947,31.485843775069732,37.262372483045,31.292053902278198,36.65931255278953,43.791708969752975
6,10,20.345343120777613,23.31995073701743,26.854352230175657,32.24930214408433,37.820002519277665,43.24896567170556
9,10,16.282936742868767,18.96231673156072,21.489825306454065,22.319700125256887,25.120692575006743,28.078502679570178
12,10,14.239370650288446,16.06343479582012,18.242745816982477,18.453063352067367,20.820550359938213,23.110483918725034
18,10,11.484614236373798,12.886656849416939,14.41355704732201,13.541308191579885,14.906697383741012,16.2326617467877
24,10,9.518525266992388,10.656964722913742,11.78639521258675,12.374159938142203,13.359443554092483,14.357079906442078
48,10,5.950677346905554,6.696427861975434,7.5579696580416424,6.502738832277625,7.113945966922046,7.716546614739494
72,10,4.63950627070624,5.178036370410252,5.755056393101467,6.352034168404778,6.797782669828975,7.15492633108566
96,10,3.83454756218433,4.305838325702093,4.778585812576129,4.83616707476564,5.179036644805275,5.521838549792259
120,10,3.295301179644646,3.710969690307288,4.09368318082075,4.45106543914784,4.692065946142327,4.915456220429631
144,10,3.025883354630536,3.367217381227835,3.687658149033674,5.1194491223081675,5.476082956706165,5.714741886955519
168,10,2.785498346140695,3.0691846404551417,3.3531330266156996,4.378831598160062,4.496701099570244,4.602588059628434
3,25,30.163637523580014,38.21307950971943,48.079934384262955,38.206406658975496,48.64788721089492,63.98797922705397
6,25,22.697236508190848,27.743908767153457,34.502955996020816,40.21890400347573,49.661095740449156,59.6834433502971
9,25,18.337406546094613,22.394312267672245,26.868675987231825,26.426077835179505,30.278024726601046,34.85206574404586
12,25,15.81060865713065,18.628803124578447,22.03538776871431,21.155270332586852,24.84935384642621,28.3532980381798
18,25,12.614471983288858,14.700621158787428,16.9762483426813,14.986503410282594,16.979967054093645,19.047187382957112
24,25,10.42503105306936,12.023199088413243,13.869963323539302,13.685149588589564,14.940579390575355,16.263254803380757
48,25,6.611354019861589,7.671617850504197,8.958350555533947,7.167754242548163,7.972309192284474,8.824834332079586
72,25,5.069650048921744,5.854114955374309,6.732322786200581,6.9291286726932615,7.466759835511008,7.923113265835935
96,25,4.224287019863604,4.870865274712338,5.560817112257248,5.206985542129681,5.6692171569460195,6.127795796221358
120,25,3.602083239684496,4.170951690156809,4.708484248225499,4.722886425753313,5.041087393467192,5.370076891724496
144,25,3.307003427033538,3.7899650685466213,4.310555492006687,5.80566013820454,6.169021891358871,6.454422933446284
168,25,3.0181096208164018,3.3763391021464138,3.722061943555758,4.58268968819827,4.730336975356929,4.88472726831586
3,50,32.60015804442081,43.849375568340825,60.11516781764134,43.91384848356044,60.25783966503175,85.84640229908331
