Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.797616693196026,24.19196613034277,27.334208873321884,20.01098591332768,21.912333466074795,24.1317466580066
6,2,16.606111987329257,18.44334909226658,21.05668435786249,15.606389329241933,17.174826574638363,18.830835088334368
9,2,13.53007863100457,15.106976336245676,16.878319968251734,13.789399712053523,15.29512596866169,16.839607446915224
12,2,11.245467591803417,12.762509812909908,14.311268771468704,11.712080911228236,12.990097829024464,14.264643742065925
18,2,8.555885517648706,9.729345411489321,11.192899652956108,9.329750196593896,10.43034238300712,11.704610940951818
24,2,6.98046234254787,7.895211541312598,8.919183159227156,7.971004199288409,9.112863685105397,10.494733741235603
48,2,4.103174645734047,4.671959895080735,5.334046828934069,3.886584278320047,4.427925349697068,5.0267187887280205
72,2,3.2284741557626493,3.5741903381184765,4.0056904669689235,2.8879482055319046,3.2523534787023074,3.6339786466660913
96,2,2.5933616416490777,2.884920245495165,3.2254551400811016,2.378345577352013,2.721634999922461,3.024585451643243
120,2,2.2861462642399655,2.5381810014229536,2.822857703354591,2.1269039675391657,2.421152502018261,2.7645134074480104
144,2,2.0577224830046066,2.294200279198342,2.579869809803693,1.7268892264892515,2.0007233379269445,2.291954652321443
168,2,1.8269665788818257,2.0750200543559605,2.3297755347637437,1.7146147280197175,1.9594452764612003,2.2100442913314424
3,5,28.87225026085023,32.75364317386155,38.3071112447802,28.31635862834206,31.943686034610845,36.051712271453624
6,5,21.80098742039278,24.990092252903437,28.782054290403188,21.97203405141148,24.778144051858252,27.65462091922347
9,5,18.171765138820497,20.76540893252019,23.865509136447013,20.08615952779516,22.319232107699012,24.6102894757554
12,5,15.253891857008075,17.811455470342448,20.805958315963306,16.425222417958253,18.51141852161836,20.589670221995625
18,5,11.568637511371213,13.646393579777467,15.956298495155655,14.255519314237123,16.309995720718483,18.7391687249536
24,5,9.602232267821943,11.159093418730752,12.74600159836913,12.564857662705082,14.688502760449772,17.11323155795067
48,5,5.614253283740135,6.520674487648957,7.597265491371642,5.5838040902175035,6.472564464129292,7.342673465231915
72,5,4.268408970773086,4.817018605710797,5.4744319938751875,4.224230203673281,4.749882437873789,5.290181800643028
96,5,3.4114906514703494,3.8530815835621084,4.348756880830933,3.4860743677880937,3.966391801246962,4.432910816732742
120,5,3.006960014410984,3.3980724957742314,3.827370147827756,3.0683284397246693,3.534751336828626,4.046742360290621
144,5,2.7347740702763694,3.1144170601014487,3.537035221700921,2.6610846518146993,3.1403862248172265,3.640435662669355
168,5,2.4513013825586185,2.8423353572496675,3.234155312634708,2.54955302244306,2.9112567015950512,3.3072632946552085
3,10,33.11249125276033,39.239842407402016,47.20719636782535,34.702172049963075,40.687918122202646,47.767286507052354
6,10,25.408887130355183,29.981214492486842,36.05098478953027,26.961075230737016,31.776446079769972,36.180514018657604
9,10,21.14649716341455,25.006244371098944,29.993631059082105,24.607434317358866,28.13095209509037,31.22776710020649
12,10,17.769507858339637,21.664103206468944,26.15797860688575,19.479670322299572,22.734948148799727,25.99690846490512
