Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,11.087499164701658,12.684004233738353,14.553449423333468,14.155621359866636,16.14753887907227,18.86465881078047
6,2,8.186573650181268,9.297360287850008,10.536029202838977,9.777645835647984,11.22411821845241,12.963075049823763
9,2,6.792515698233773,7.737031778716949,8.84787595370915,8.218606961125076,9.388093619746112,10.660461837768638
12,2,5.797994803890822,6.618653844220741,7.488936937611969,7.3483194074254925,8.364191666225869,9.508550893356787
18,2,4.5097390006902955,5.136249317252624,5.842684880081308,5.576372630589797,6.388051255092368,7.247828626219717
24,2,3.617043659292273,4.171722371758522,4.769638090648179,4.153760433696347,4.801091166872816,5.526154172753314
48,2,2.142820653186175,2.427184831636398,2.8013105086499888,2.485194968322612,2.805427751073898,3.1374344622049595
72,2,1.6203757915215236,1.8336857120791934,2.1071634017410266,1.867798748222687,2.0686100210082827,2.287926433043962
96,2,1.3347018127198584,1.5023899565391368,1.69606785727033,1.4956146255134735,1.6562080785704913,1.8281815356993107
120,2,1.1493848317725062,1.2948909810589897,1.4533357386340677,1.2253035110462278,1.3668118869763026,1.5219700934111908
144,2,1.0277755730959413,1.14254727312434,1.2808543900559535,1.033639670323638,1.132524223260267,1.230210645859685
168,2,0.9146240183659502,1.0178291092303842,1.1420896352714305,0.9250102075947202,1.04221193804481,1.1964976972370125
3,5,15.658949576710704,19.123955502226558,23.615051210340333,20.40221076195861,25.243632154582514,31.56545287846889
6,5,11.485234132384823,13.497435927865592,16.116202929774037,14.22316116047929,17.409330950234942,21.4062851811355
9,5,9.293901413974282,11.042636982099765,12.910323262444518,12.542218068597364,14.789295331281757,17.247204860921553
12,5,8.11690653061178,9.331239788305252,10.66998414403116,10.930966791591977,12.564863619854734,14.290926406195009
18,5,6.334297736913257,7.258272339453548,8.337376202214266,8.185544185408707,9.366719495494195,10.605729688328594
24,5,5.031917421482916,5.866094891093935,6.636991321530223,5.83630528253942,6.691381937156319,7.645901256394545
48,5,2.9367517247805743,3.4245761345105947,3.978650888611755,3.3873731407555034,3.8281299644570206,4.285380989633412
72,5,2.2073687614472437,2.5457555396984297,2.943946267644411,2.5090284641328755,2.736197547898835,2.982281838837016
96,5,1.767393400286417,2.036138835705245,2.3652302202494893,1.9222477502143551,2.124405967153904,2.323189497194038
120,5,1.5348753580678696,1.762309328001027,2.024447667974357,1.6238770943776075,1.796225555881609,2.001703466934496
144,5,1.3608549241079289,1.5264786484278123,1.725144891001536,1.3358892457641913,1.4676991490353555,1.5996178797267961
168,5,1.2124899106791907,1.3904881139447993,1.5839849164048772,1.3072580963349973,1.5159253608435521,1.765325012446957
3,10,18.895520350914182,25.13641448252863,33.90539407383132,25.60109264767408,34.36698034621692,45.815938486247404
6,10,13.935517982710277,17.312473325821898,21.90254456502891,17.444920743237034,23.395459581694208,30.686372963942418
9,10,11.083720994159812,13.695367143389536,16.645600215223926,15.822065773133655,19.234507290624713,23.08890069631183
12,10,9.420558959939667,11.313778542905618,13.285919850472766,13.055832683586065,15.528547805129303,18.10872193773818
18,10,7.433433629768307,8.718939330754292,10.183724466628288,9.659186701404616,11.304758971678364,12.853123065531358
24,10,5.904409353274143,7.016687472920308,8.117556293026796,6.807540630162734,7.833352493766171,9.02375259421549
48,10,3.437867915677267,4.149670999029823,4.978168663064679,3.872639651688922,4.4310006128808554,5.033418123264117
72,10,2.575712693375519,3.0370166088867245,3.5562014739241974,2.799340897887549,3.091788288544401,3.39795000882161
96,10,2.026217226184839,2.40477709128038,2.833047356787527,2.169931557662509,2.402411809098679,2.6354043319749225
120,10,1.7552138413143845,2.090691147334688,2.4722945017985145,1.812742739850127,2.053124325722767,2.323781533689548
144,10,1.5604203732817017,1.7940346159310705,2.0812409448260296,1.5087343666703805,1.6790225663686602,1.861596088891218
168,10,1.3854705042640414,1.6760694272089047,1.9553581553114938,1.5613252444776848,1.889377659346127,2.23125432086992
3,25,23.2078377550679,35.55079278422319,55.90386036672473,31.874883800236475,51.60601504674746,81.28210109866352
6,25,16.96087888030416,23.753412774140735,33.910068595526226,22.2015779282344,34.36128677807607,54.803051323562755
9,25,13.106686401642438,17.688702027394463,23.42293194750535,19.630043603237024,26.15144264796083,33.90912319356437
12,25,10.968869171097817,14.053444884436948,17.980506500595858,15.239806823214384,19.529105767215725,23.84908527755732
18,25,8.58227912058329,10.630479069086586,13.143238964551987,11.16418039954199,13.735790181430275,16.0255886063703
24,25,6.766444651686216,8.50408391029764,10.319895845712695,7.6847055577223795,9.176389774661597,10.95310818675962
48,25,4.0341568057973936,5.146838651798191,6.684776843032585,4.4050507936072885,5.123362155640326,5.985909907862741
72,25,2.941425846136647,3.6812445591043677,4.594103642429585,3.0443062625555157,3.4654686078506884,3.893311295639868
96,25,2.311961175285584,2.888678108252557,3.5652866950087017,2.4037071082168273,2.7239184501487004,3.051823142526846
120,25,2.0189794713142746,2.528466698333715,3.1835891351014842,2.0315582020707605,2.3525551694950066,2.726369589457871
144,25,1.7647689461804643,2.1481151464965924,2.649956692003799,1.6700330701607093,1.937293152275621,2.244857656259288
168,25,1.5766997004780068,2.088165434570851,2.6717130312520707,1.8392435090379209,2.4489763340066935,3.0795743360036045
3,50,26.70244125725265,46.00680722603737,83.99334338108545,37.181520182186965,70.68821295562529,129.3725135768084
6,50,19.309670270443647,30.06499248124591,48.762549257542176,25.894669644146035,46.18278367928009,87.81240597618986
9,50,14.60126395328535,21.196691961066556,30.226999832956203,22.514856195188674,32.47325187730774,45.13573226209014
12,50,11.932842417335678,16.27008062426035,22.669869846915184,16.884133697354102,22.71545705080884,29.302254264345656
18,50,9.3064048630277,12.09776458716685,16.117446041635798,12.233414155689106,15.538782917721917,18.766705317386904
24,50,7.293645005265656,9.632298146405569,12.335589700638497,8.194235720741284,10.113394288472671,12.617050387873846
48,50,4.397489682932191,5.949876105548936,8.397721807129424,4.677132905941335,5.594563951992844,6.713535208038037
72,50,3.149481444568253,4.176738622104069,5.5688449833102664,3.1467943281843853,3.698744327625545,4.244690547564214
96,50,2.4638552052575955,3.2612165639948714,4.254455529599185,2.504280947890507,2.944352110346845,3.3825343890073034
120,50,2.16895142834495,2.8705803882645737,3.834034997979698,2.1205144072322453,2.559586785905588,3.052500742876867
144,50,1.8948950232200683,2.422865066475243,3.177796135570052,1.7516903181102914,2.124397227123113,2.575299269132576
