Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,31.797764914970383,35.60762635902706,39.61363221896191,34.408769197404204,37.793095041876356,41.5172945636288
6,2,24.073274684825535,27.254366238530576,30.680309800686693,26.395382222731953,30.30918048992956,34.50142586466461
9,2,20.287698875450694,22.908281664912973,25.666078380430072,22.34668951923406,25.579690914070234,28.972042735030737
12,2,16.960222719099484,19.440099234445874,21.92517160807928,18.623748656133188,21.15379296167979,24.123308482392964
18,2,13.130463312866505,14.850122177145991,16.625301636353296,15.745105721765515,17.993559996095414,20.763661904046142
24,2,10.526229609052447,11.934494089119648,13.508429746413054,12.720529960467108,15.420322549720847,18.47944425033099
48,2,6.56640102774723,7.365680146238885,8.385625435793076,7.885761930214182,9.00038454204516,10.415326413581148
72,2,4.7502265179561505,5.378385720009751,6.138504759369141,5.970829318060479,6.967031594136804,8.113938505587695
96,2,3.813782213039838,4.276539855915412,4.806004227361663,4.680436788959652,5.466046578170707,6.467474695672408
120,2,3.2600743322944123,3.6779709653509673,4.103370807505857,3.530652517896773,3.9473685386276465,4.409730832560712
144,2,2.930597954192654,3.298270266590322,3.742064102499448,3.074218728671524,3.471548652267135,3.8687260042942198
168,2,2.6705864484791073,2.976182569714604,3.2932621948276384,2.748173689206225,3.0474593640339105,3.367579949748139
3,5,42.580378923082066,48.11509257277479,53.42649651322135,44.68578980277414,49.714044047718055,55.416908570784415
6,5,32.33573367880436,37.06306337649398,41.370547623811774,36.919160688814,42.18500002142584,47.388190331283305
9,5,27.043864083836695,30.694505346390017,34.401275413383715,32.3327258555023,35.53336386095534,38.84357977084642
12,5,22.859296778460468,26.150121638261805,29.20165924202719,26.370050155963618,29.47005486236187,32.74180016263653
18,5,17.71158236002163,20.241122261376056,22.84360182401997,22.66703020471981,26.027069802982126,29.33493020791878
24,5,14.348993010187439,16.612577838257344,19.35738906848095,20.189597184820347,24.659134265148303,29.259319413842938
48,5,9.029585179119971,10.257750682172796,11.86062817119327,11.051439025372801,12.74049923079226,14.916046300610336
72,5,6.482460673494572,7.45828576854966,8.562788557353858,8.802902380067067,10.977212842845613,13.379821841409605
96,5,5.089832806117955,5.820374698407843,6.61192302747663,7.426126181127476,9.265839087133886,11.725944061140538
120,5,4.39384140524474,5.003590590521517,5.592594239064561,4.799760797304149,5.558155234278426,6.521139904156623
144,5,3.9248771469672326,4.463653629904895,5.051237553147819,4.105712151058748,4.705584961584799,5.427862686943387
168,5,3.5029141779265354,3.9315239876936494,4.406848202514869,3.6166909156700413,4.046927527560824,4.6074819273387515
3,10,48.38922715330597,56.40344899975884,63.99056642042541,50.84250374215134,57.96727671956164,65.57424061395409
6,10,37.08866766250496,43.37675606144309,49.325445500090055,43.76554475553711,50.06772938896911,56.02116999034084
9,10,30.71293434814121,35.40989663491591,39.97337831555968,37.39147435070105,41.021294784224594,44.666910818526915
12,10,26.150140342299096,30.26497474555172,34.28693403612043,31.225649506147064,34.561155521576396,38.217936369715765
18,10,20.467444919614568,23.745689049927766,27.191896105493978,27.27147037014207,31.50012998851004,35.75715166056552
24,10,16.65495084087614,19.89601698605584,23.668331517703066,25.876477491927886,31.859723854917796,37.423013754051354
48,10,10.371641051573267,12.230093560489156,14.28200427235694,13.168733493550807,15.405383748192305,18.27497378440544
72,10,7.594031176662481,8.974097717552358,10.534789259685995,11.12366769105783,14.612104075336893,18.310281717407324
96,10,5.87851626684694,6.9531149348625565,8.11013035108788,10.093893479018316,13.26526684322331,17.031295605846754
120,10,5.028389302794912,5.922811529467469,6.803845163141182,5.754190538184782,6.991274324363896,8.505333427296227
144,10,4.508413618312733,5.245561868438232,5.988345631244838,4.775415439364617,5.619553522955979,6.692177698968651
168,10,4.025042254572885,4.5804733359702094,5.277498316278223,4.136769858640122,4.7891149327259575,5.689898495059816
3,25,54.308484297539394,66.88416226192989,81.12139618608839,57.37064822437213,68.94902048357119,83.2937637652926
6,25,42.416525202930124,51.154194530853914,61.70892133997948,50.769672070686,60.12854009763237,69.06660388050241
9,25,34.196338254972886,40.909569306721316,47.4248120819356,42.33401753033925,46.94845866700876,51.71519477024414
12,25,29.238701613340297,35.11826870805258,41.077403896859785,36.336848197651555,40.59587062322806,45.47019547148807
18,25,23.288527386531193,28.101299015448447,34.004829430270654,32.45766245235134,38.6471590911599,45.007629693812056
24,25,18.998928455282012,24.269498469600983,31.005097790253743,33.35552196918021,42.47733539190428,51.8724953954018
48,25,11.694436307570781,14.789682339088627,18.240904779120743,15.503651910764338,19.035402094440876,23.38526708287017
72,25,8.788702446191865,11.06337567490126,13.857254421348559,14.668441656087388,20.785302574763055,27.10731116366231
96,25,6.76705360267143,8.52401027953159,10.535907356509519,14.88195608220207,21.047943491246617,27.23339093907456
120,25,5.68177800504923,7.1338275283593315,8.636090398011248,7.0160325707585836,9.391160097108951,12.358110447445416
144,25,5.1106250359632375,6.245423249590582,7.544890077051895,5.433857183503186,6.917129312015875,8.98472932369727
168,25,4.493595414992691,5.419628169939754,6.6746567653693205,4.7253174041841834,5.84381585881963,7.388452701256471
3,50,57.924340738796346,74.6653837545897,97.20500077164695,61.647034248892595,77.59343543602215,99.99206156170769
6,50,45.24195971117214,56.783141744560496,71.74238209900058,54.08549583488045,67.71336706299753,81.24066183946778
