Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.711435086549322,24.19896147444188,27.190813497551527,19.930741575173023,21.456614187513274,23.033283430691657
6,2,16.46444288566049,18.355802447463272,20.466917479066595,14.831558958788612,16.19049860910295,17.556479705768954
9,2,13.302089639443993,14.8092378834185,16.41904005371583,11.864909538686044,13.137958014660128,14.669030866416367
12,2,11.393786950533793,12.718479771763437,14.245127107510404,10.062050380504793,11.211561589248086,12.526322649051245
18,2,8.73046493816561,9.783946195627838,11.019933669363516,7.794324531101683,8.857546610568042,9.967377167616164
24,2,7.024394820892823,7.901531020115462,8.84477577744569,6.309238640579144,7.179277947337017,8.219376095145755
48,2,4.184987993976178,4.7354225819377085,5.232394746215675,4.511810811766891,5.028069868302131,5.6302061720637475
72,2,3.2074300948251313,3.5119479226938184,3.886553220653951,3.3825795052005745,3.774927952670652,4.19522562325471
96,2,2.6324865146262404,2.923855392110955,3.2240699581318495,2.7842131286109284,3.101188848600639,3.4185674396650825
120,2,2.2445320628975463,2.4943203858340963,2.7469779854246457,2.3638465761846117,2.6104523746650097,2.869393966203185
144,2,1.9928342993641674,2.228090056174834,2.4747940565422075,2.121502563836508,2.353394595034959,2.602445261446478
168,2,1.8116489575412966,2.003474804197649,2.246211921876884,1.926145831404816,2.1573710589209503,2.358577505367191
3,5,28.824430402635834,32.9451901018243,38.80954780951569,25.540613289812086,27.981166622028738,30.660982134668593
6,5,21.67751775118979,24.335112488133888,27.167767291493007,19.382507188645498,21.262871001313002,23.21876293700575
9,5,17.552364560428156,19.660642192692862,22.05165435297874,15.838634431647948,17.808118143583222,20.02062840435858
12,5,14.9401905018821,16.816045406576453,18.559547027418255,13.845095185177094,15.461823544217753,17.215024648066063
18,5,11.533510131012026,13.12937478722624,14.67545397141206,11.050349671862019,12.663902635811763,14.470467651405182
24,5,9.318820284479283,10.583361847764232,11.810276590146161,9.607462265855006,11.171761352487353,12.967684624319016
48,5,5.428776938517677,6.178433600501171,6.881728117335735,6.267612317136267,7.163781024164962,8.120022248813282
72,5,4.070281198429053,4.479081565395221,4.9341095009732605,4.536618438894317,5.052569600397353,5.604335754473973
96,5,3.349457432083784,3.684980895829005,4.0659241192922115,3.6360769469083714,3.9996818405728973,4.357958813166162
120,5,2.8851514019474607,3.193581172799398,3.492625726091566,3.1269873972623303,3.446788768807301,3.795112413142732
144,5,2.614425745583859,2.9174585363747494,3.2366908784288055,2.9583239074651857,3.268840419092788,3.5851383683156905
168,5,2.3305646150326087,2.602380295877568,2.9005285549941218,2.6507448479022844,2.918168695490845,3.1596549786759116
