Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.214187362445173,24.632529795779657,27.53256994419489,22.34385393682847,24.562443150535998,27.081170955314875
6,2,17.211477046317626,19.094768268507543,21.29761743440941,17.606131807347204,19.044305700738356,20.48237560945119
9,2,14.016922841448524,15.466617010028983,17.029043391665823,14.17919835797764,15.274549157431,16.646148301211973
12,2,11.84579740596206,13.024862556583876,14.228508892641468,11.962801820341745,13.023871816986302,14.218297002497302
18,2,8.60386790794356,9.779438948684527,10.822258835496196,8.525971804549888,9.339076709598183,10.190315942700023
24,2,7.222068322718794,7.992402743763125,8.884138733035552,6.744716924249323,7.481468951441922,8.211477007738155
48,2,4.229011378855188,4.721683490941698,5.311151384483949,3.762780190783367,4.23376409223815,4.71635413650856
72,2,3.148371482189642,3.507169420234295,3.9039913722739197,2.8159466252761653,3.099952724724406,3.4242890126327934
96,2,2.5349395456287223,2.86911694657651,3.27479728396381,2.154924411071514,2.400539793358161,2.68839289990823
120,2,2.2175150766989224,2.5008173031577066,2.8141486595058063,1.9698419884699878,2.1932893637563122,2.4361445605545735
144,2,1.9458226416333964,2.1715241633774087,2.4217726869417526,1.8401421638362063,2.0314461602630005,2.2665270789692364
168,2,1.8171369694852522,2.0259576309167464,2.2680902036187702,1.692905143056666,1.850223724158755,2.022365134481232
3,5,28.169221958229056,32.381278736651005,36.783570968445865,28.56804729540829,32.23117675106551,36.65549340765649
6,5,22.143832251880504,24.5043385903711,27.005802283056425,22.34857729997308,24.45502337536835,26.650344917137378
9,5,17.763940560730727,19.741501557695365,21.718916035987238,17.65241661988365,19.057907354309496,20.691269444469366
12,5,15.037800574229237,16.70575404479797,18.240001955797904,15.474501767924925,16.93177327519358,18.45897605853243
18,5,11.266251999257141,12.784255898561817,14.271799071089077,11.011817901078372,12.07300275877395,13.218711150996889
24,5,9.455145647010703,10.528308837535874,11.76432743376361,9.164256432765796,10.112665007388527,11.090996466561645
48,5,5.578165802143895,6.370523718110949,7.16024235694128,5.086049328001867,5.764480140443224,6.509072837134202
72,5,4.146054319460548,4.7077325827592995,5.367837882158636,3.7433886537313747,4.156955525095252,4.583712196172994
96,5,3.4327759486865914,3.896412552647688,4.394380146853461,3.0035534302190197,3.400059138742453,3.8180396694470096
120,5,2.980583427785037,3.401710663047268,3.8778479606073475,2.644045435691225,2.9712193162068044,3.347697698472358
144,5,2.5690452381046156,2.9550653659274353,3.331376345937251,2.4355341015522067,2.7621512355045654,3.1560921146309524
168,5,2.3739409346023335,2.7029195147777294,3.096457134419494,2.1867781487213205,2.4339160745184762,2.7345958192629394
3,10,32.2447107327694,37.82014404051685,44.196607680451,32.65942865769909,38.12494255105895,44.90817553787768
6,10,24.748378696131688,27.769596256969535,30.841210156729943,25.108418486904647,27.926261320366322,31.2101620750581
9,10,19.600266915209325,22.339641238197228,25.009074283281706,19.382291122206592,21.329967452841263,23.447722673281397
12,10,16.800566813131745,18.97028788796341,20.96078307182449,17.149907793375395,19.179812603722237,21.197067958808784
18,10,12.89745021882911,14.73704875996409,16.68166656313126,12.268736392560196,13.708921823473364,15.291553305437628
24,10,10.702181527712126,12.132027427740109,13.651966016636532,10.27430388687997,11.714533147701845,13.10850216019783
48,10,6.391684118784864,7.496245360214315,8.557513952534954,5.855179882814653,6.799176865970358,7.815781908619467
72,10,4.743931176255592,5.523975704079414,6.441953340557838,4.30500748631885,4.877917136647418,5.502481085605306
96,10,3.9090320391674203,4.570867346231504,5.234268813712621,3.483180008756899,4.05753480128202,4.685101593601637
120,10,3.4658355268341356,4.0165163673182676,4.677263480780684,3.044439880460228,3.5045206672004685,4.001492998889302
144,10,2.963366054384617,3.5259445047571716,4.106083057772559,2.829487177832615,3.319946934080897,3.909136184214905
168,10,2.685064365087337,3.167744421361588,3.6872482282247,2.5304275381727797,2.8585118328059416,3.295094468815626
3,25,36.6514331440157,45.06485221106141,56.11776331720888,37.23568370709058,46.75099316389119,58.41526110946434
6,25,27.493970707865458,31.56670989924644,35.8504712623167,27.637570992167426,32.23704783086892,37.9990315705662
9,25,21.327588489017884,25.37957607503195,29.186531534274515,21.302077244889038,23.98806974541844,27.17630870815109
12,25,18.54489233607451,21.648898941308374,24.813262343447203,18.560401277523177,21.710959589255786,24.9162014043117
18,25,14.54648445225192,17.16341674519981,20.441342419874296,13.491852608378991,15.61745575636171,18.243873833608564
24,25,11.846229369676612,14.076426490663916,16.62855696593575,11.22005319200538,13.619504463997874,16.200923349223284
48,25,7.206720297812963,8.958597445200336,10.793106197136037,6.6635865941766745,8.145701079407605,9.862915489588149
72,25,5.335781527051383,6.58029810390733,8.154660394532009,4.852611916530043,5.823800387298107,6.9013263355744865
96,25,4.40450024234172,5.416598780496699,6.561110455707913,3.99688107391119,4.89269202827435,5.961827708010771
120,25,3.977285487625042,4.8148580999437485,5.942153559626279,3.467401166469884,4.2077534387617295,5.01949377982002
144,25,3.4422216252707907,4.312601329282243,5.445942962978693,3.269579333759815,4.132098325899181,5.210352277308144
168,25,3.004228464226839,3.7746869924522866,4.638572897597639,2.861250893032956,3.4489631042651485,4.206796467722905
3,50,39.18529683883483,50.72192298779865,67.13810800746363,40.569466635896006,54.19507386501685,72.97473469039551
6,50,28.722253562676833,34.164505070468536,39.97224968377136,29.1837195191762,35.40988119500862,43.6454547144282
9,50,22.473556868067885,27.471883509886055,33.11760601773195,22.243547135157435,25.83302398231566,30.129085425686064
12,50,19.66047556618105,23.51226272891906,27.874352064772772,19.33383731746118,23.402889213689985,27.85830932954861
18,50,15.571578691130194,18.934331013021623,23.852109852240854,13.997608767755768,16.93920637320384,20.75001367021004
24,50,12.499938343440807,15.4620701347323,18.840065342268666,11.803151661298966,14.967424956403097,18.84704454750016
48,50,7.738292499641238,10.073070233334438,12.925360739709031,7.1927315722966405,9.182707357260487,11.783533993320646
