Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,12.866404179275065,14.533205097818726,16.377320382504376,12.667415719704426,14.217562455966657,16.388880141326045
6,2,10.14124412683162,11.256096101334604,12.517040464916636,9.807379180530614,10.880542019827704,12.123742748750928
9,2,8.507916161975436,9.335134211580899,10.41540298226269,8.46734015763788,9.270166113656494,10.282036428618325
12,2,7.473877181380109,8.232559679601664,9.14609602564128,7.655597843471062,8.348841390664907,9.109879169510618
18,2,6.059829575909567,6.615374723130379,7.345583117419229,6.0653494210001195,6.582034075743573,7.1855469851171225
24,2,4.965702963504808,5.488471997554104,6.07549683877907,5.094622564774297,5.486950178053284,5.962003461096282
48,2,3.187593213486656,3.523717267807605,3.8833058087214196,3.5226389329942984,3.8006086568288833,4.069259088483564
72,2,2.5062676128304453,2.7551964094472963,3.0417867837879506,2.7806719416598513,2.973864834707667,3.1789949828245447
96,2,2.005306600606006,2.2221360964288235,2.4462600696278254,2.1677291715913745,2.321123232513066,2.4691798110900782
120,2,1.7449540120771192,1.9323372880738932,2.1424059481713997,1.8335877611314277,1.9639722336724696,2.1168298124980387
144,2,1.553696989339408,1.7290591419227477,1.9110426913933427,1.5857279601985113,1.7133306055949715,1.8696837553671237
168,2,1.3935807693351276,1.540522316826365,1.689965727000029,1.4070826590008336,1.5266860358859868,1.6734188095202396
3,5,17.358339854382542,20.319578628798848,23.40779110589463,17.58023256612713,20.970315608011976,25.943806578332264
6,5,13.263842627555606,15.164871831038699,17.503098695868914,13.029384338006793,15.236723119971622,17.851137458885944
9,5,10.887027318000873,12.26733429078449,13.95404654999544,10.885030035617099,12.372805832192528,14.372682493889187
12,5,9.503767447668892,10.774521159525406,12.064173990995588,9.50411050886375,10.724331314846621,12.080896760565942
18,5,7.6879280876001115,8.575412982382137,9.769958517143737,7.6121906863885735,8.456587524621574,9.419136121345037
24,5,6.329799328247299,7.075536332971231,7.89703634328494,6.362051107215116,7.011471164164069,7.776576507406496
48,5,4.046690658354512,4.471517566954871,4.906727673849109,4.400957892981821,4.782695772857699,5.146592932230156
72,5,3.1669360916364306,3.48971053724597,3.8669946342650054,3.4580065759546104,3.732322108696852,4.036517139192304
96,5,2.523966383683662,2.835685563929111,3.1134346040285275,2.8841640041996484,3.1113240740484898,3.334657869574822
120,5,2.2362563889974085,2.493067550248674,2.7747991085729797,2.3840339618004327,2.595125076418962,2.8091848596641844
144,5,1.9953285969819854,2.228157974511693,2.4522103002465307,2.0812764651674467,2.305297053971382,2.5550898482996818
168,5,1.7871960342331594,2.0062223510456034,2.2034185442816105,1.846374195326166,2.046511412718536,2.280045368684488
3,10,20.537871315732264,25.004897240729626,30.300369714174064,21.343762490497504,27.3660080005514,36.425743553901825
6,10,15.262078826125354,18.203589332966516,21.762951318622775,15.543553738413753,19.182743290330837,23.59002646995183
9,10,12.409253852838514,14.569731781109592,17.2420138383875,12.680608636426282,15.061489704236367,18.44031676205847
12,10,10.839463805367316,12.649353166315883,14.475367268467412,10.869110936765708,12.607887622362204,14.903410141570312
18,10,8.688288221562932,9.945152402832933,11.60752923036878,8.61988850565908,9.872412786035554,11.357054756061686
24,10,7.111825787861001,8.1463809700338,9.268807338152273,7.144329376282967,8.138187900752994,9.340786160422876
48,10,4.4749675777475435,5.026133718810663,5.55152481904344,4.8846732738711705,5.39225820715626,5.881545540013372
72,10,3.5193351035893414,3.9160417801176806,4.370924772516231,3.8617757603434284,4.264151097758365,4.710108786670092
96,10,2.8426877051012878,3.221648788726145,3.5934007029929225,3.429737930061023,3.7468613186257365,4.066555800238894
120,10,2.490071356540155,2.8373507912841656,3.2085492688307795,2.7581746749243576,3.061542913332766,3.401561890285767
144,10,2.247230596457426,2.525442832667163,2.8120524009001344,2.3792623257186793,2.753933849333913,3.17383919247312
168,10,2.0257168285956606,2.2872484250756977,2.550429329192694,2.134289689746142,2.434251116373317,2.797014186699686
3,25,24.276800845149076,32.11641103283502,43.62395642947341,26.722990912752728,38.76177631865407,57.4149610847044
6,25,17.407527935896553,22.64649867976334,28.957557763075094,18.862826892750782,25.928351559166103,34.880723491665734
9,25,14.219927020120597,17.967045467417165,23.261279314673704,14.575783675196728,19.49638862731536,27.48911688259463
12,25,12.384336362395818,15.261772446205601,18.972775725095264,12.400192064941645,15.455345422109419,19.943791024322245
18,25,9.745101939583572,11.762443275635452,14.415084504365225,9.85558891099434,11.917618985230781,14.742250434963406
24,25,7.795506281793184,9.522698509982899,11.426606274537328,7.979173700243225,9.733294365917725,12.120905840386776
48,25,4.900533600798729,5.653481718827521,6.4631456062524695,5.401229011870748,6.125600945165926,6.887104976580623
72,25,3.8406462362528195,4.394807079853609,5.0538648549849405,4.2319088629273836,4.9793903267799635,5.772679213123996
96,25,3.1677529961562763,3.687385900026616,4.309492137727501,4.18771148927643,4.710933042252364,5.251186449446013
120,25,2.7553303870292343,3.243863081044958,3.8146659333510096,3.201789406690609,3.718037456209262,4.295159981793526
144,25,2.4814409481686313,2.867076118378932,3.2761709510739054,2.717185984260494,3.402572575528338,4.201497142902674
168,25,2.250101286075061,2.6139721178567887,3.0225264173794475,2.459914959278061,2.986416799612834,3.756448024836816
3,50,26.67113280926622,38.413100011034686,57.59196596332184,30.745083213560378,50.64872874781608,81.48793866146497
6,50,18.9709645449022,26.44179007317533,36.45020858925359,21.455156443828365,32.698128033172864,49.590777749712174
9,50,15.333786511677697,20.8947774305706,29.27177882338035,16.12468547662033,23.816660561467046,38.77451336956755
12,50,13.424244039842705,17.39244113638666,23.396581307932905,13.322926251396424,17.99806864713072,25.88558621339368
18,50,10.455304387296867,13.176035765140352,17.19449399749904,10.539064616485653,13.664841020208325,18.3682050671039
24,50,8.273071560581645,10.560810709475902,13.399354795726989,8.598282201406423,11.069483870326136,14.692634716586749
48,50,5.13730962980496,6.0711905506724975,7.180965020409554,5.664107886536769,6.648084100871867,7.770523706500732
72,50,3.9997416783562096,4.711328972965508,5.603418834343863,4.476678595115908,5.547749942251315,6.753549403151242
96,50,3.331987840781765,4.017750991478822,4.9211959648180486,4.681963005078335,5.567860596489816,6.40783062746379
120,50,2.898541458490031,3.526159683516281,4.354898512207882,3.4732523813412484,4.262376860541174,5.119491297897856
144,50,2.608383211409185,3.098105082154845,3.6631791098991533,2.9823315130596195,3.955997772576838,5.217646039321388
168,50,2.365316938591519,2.837448649122144,3.4068351232621072,2.660875065371293,3.4506924393076255,4.730867993638477
3,100,29.363569911985337,45.68046339986793,78.02674229121737,34.89299370574317,66.59074062524141,116.13695119008445
6,100,20.414672467556464,30.689856995611223,45.994951665857975,23.696389069729108,41.48627853728367,70.6690867501064
9,100,16.235632504627844,24.196501046046208,37.72110479482171,17.60948245173918,29.30077030436452,54.20130119546119
12,100,14.273387885581858,19.68490319972949,29.06773202989681,14.244745926342578,20.984617502925634,33.67529262365092
18,100,11.037028664709965,14.636835013564669,20.733027937579838,11.182501086056604,15.639708571525073,23.342544698087522
24,100,8.68683562562654,11.605874913006728,15.684321453881275,9.144433661066769,12.554318849128485,18.516968715324587
48,100,5.333237942768372,6.449554591901261,7.998438090873702,5.865246449957417,7.1522450291469255,8.726690135489394
72,100,4.1234864466463454,4.996323595271277,6.176411972597198,4.652536109415972,6.149793888835227,7.832465111826359
96,100,3.478685157535706,4.333449555387153,5.568767150870651,5.181964897601305,6.563764022490966,7.975910600795544
120,100,3.031168738562554,3.7911190403393222,4.9066213114964565,3.7630389469556844,4.859724725815439,6.108091131204046
144,100,2.706603137673726,3.3101344231735275,4.109424132480424,3.2185130280316807,4.579622181613598,6.543252027023182
168,100,2.4336747391628464,3.044529801944408,3.848990365473391,2.867977595129857,3.9675210154317497,5.822937286351747
