Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,29.635193095025897,33.15453199144169,36.63711045181725,28.301745572086737,31.934122679770734,35.14579371742392
6,2,22.875572634994576,25.227427699421767,27.647846854911826,22.008351969895255,24.23442371642436,26.271573298246693
9,2,18.574411962322806,20.639548707524348,22.668195729441283,18.27944433558776,20.17438093706797,22.369886490902633
12,2,15.625440331948791,17.41153955136682,19.189692380848648,14.937844741718976,16.75896748341407,18.54978255494925
18,2,11.733032085233607,13.16869669487728,14.704005474940654,10.85883349340466,12.137844009141816,13.398451803016542
24,2,9.737832342784433,10.719687655939104,11.848060996096809,9.029552993155898,9.81309754445517,10.676626979424451
48,2,5.830246316192291,6.425014227642764,7.0465324658142094,5.785406198539947,6.362453006731564,6.936126324723636
72,2,4.240406103419355,4.631932590871325,5.1121370047449615,4.053450318846185,4.378575255539458,4.812774199272553
96,2,3.439583031436678,3.7141679480237615,4.054437471113216,3.3487168013811113,3.639466207170969,4.006930161444748
120,2,2.922856967521187,3.2164746393178,3.5098288900994987,2.9158159142515254,3.173605809116791,3.446293943277971
144,2,2.6780808184595433,2.9317401512218852,3.195653556172759,2.6740255239035506,2.8719693334406773,3.081289609708895
168,2,2.4554115636815084,2.655396337197084,2.9036674353504486,2.308361806759783,2.515150209892918,2.7378222470237423
3,5,37.75323307758177,41.74197453806165,45.49078314857246,38.40721530421793,42.716860036564356,46.35986096255974
6,5,28.919511960524446,31.795628598516025,34.53332828741441,28.894323017180877,31.61455450844334,34.09183821146294
9,5,23.685461288381628,26.238628698627576,28.430572078695253,24.33338953653225,26.63123503857522,29.02945298116564
12,5,20.19593559441453,22.23240469800576,24.40313973083032,20.18091819301528,22.413373340798948,24.46538070927975
18,5,15.148629476357502,16.92810790990169,18.621992412032114,14.815339043249201,16.54624006619151,18.2816161273734
24,5,12.409473527684877,13.688515329450365,15.079169810779558,11.892477838872894,12.997356925687843,14.221524691881577
48,5,7.374025955398362,8.150561169767002,9.036038247745946,7.596995267105736,8.440163314629316,9.308129844961705
72,5,5.235275627281661,5.857934293758606,6.561294788848869,5.160020401040989,5.727229922528861,6.427414146820343
96,5,4.260068632419479,4.6829703019550415,5.260278699016162,4.327075137477768,4.842723313628442,5.448996111041776
120,5,3.6430030551489936,4.059200327347017,4.438860549904309,3.7591630335631656,4.156785516864287,4.572958955681992
144,5,3.3388386923275393,3.6825558659338564,4.02493652137193,3.3987743052829957,3.673292978297445,3.956137120180692
168,5,3.0443704909588583,3.3061707249067953,3.611819761901824,3.0994121079138264,3.3564305864323236,3.6299661452553202
3,10,41.57322336548067,46.31138230491142,50.4641937745111,44.70084831875367,49.05540596005389,53.21390375275074
6,10,32.02225914484524,35.31794341409485,38.63583455555627,32.70804542698508,35.76577688322627,38.38228890965351
9,10,26.188566016491222,29.2987636790437,31.966585178772654,27.246194929739413,30.14420834912988,33.08686831259878
12,10,22.61346457435222,24.87168561299125,27.319871208679494,22.857993076812782,25.587072815072354,27.90592076597372
18,10,16.91246607221664,19.0316724362191,20.81530601322812,17.31124859007097,19.330582474582027,21.391509684131854
24,10,13.812087483278933,15.418473220969382,17.105452266875687,13.610947150721138,15.036127208205205,16.647113896012698
48,10,8.151415205650155,9.216066047387642,10.30235072803588,8.537635261011028,9.819581140096112,11.093591466471121
72,10,5.862777998032118,6.737920430709721,7.63254628559866,5.884051391502961,6.774687428273104,7.744680621514076
96,10,4.739478498695539,5.3467461036930075,6.1103043642446675,4.945659257251458,5.723436669781013,6.610247304964261
120,10,4.055791140672014,4.603276504945323,5.098336388199778,4.265469172818981,4.82354261539757,5.416900099686906
144,10,3.696108363851318,4.149242463119778,4.6148878390260615,3.824958396314373,4.1817252370155416,4.5621919362814065
168,10,3.3771398035156266,3.6974488751879186,4.060663879355378,3.533399908130872,3.866449990730814,4.190472744178232
3,25,45.24073959018694,51.06252280399944,57.13450681855201,50.04161102382058,56.30193128064906,62.13923615512235
6,25,34.7628971053355,39.00562181894167,43.59408123421957,36.52994874782486,40.333864790025935,44.01796227782455
9,25,28.778740193900717,32.55673040507477,36.43466863168268,29.97418736995927,33.90497702364092,38.13412481789923
12,25,24.45250550877558,27.68580929121017,31.232928527474193,25.19123118475145,29.077173715680438,32.5241407943122
18,25,18.616239158462683,21.318337829113542,23.77970767935317,19.839527984895007,22.72554392609927,25.68546278078738
24,25,15.208127262333306,17.367989453935145,19.99319339767669,15.189729453856021,17.562729898888275,20.19721608559211
48,25,8.937348052919216,10.480572258502916,12.18266070460718,9.502276628537924,11.591196349331785,14.082414503025845
72,25,6.524475817355544,7.934123156065766,9.535963180638817,6.831064889112774,8.321493109869472,9.961416647806427
96,25,5.260833327665811,6.211773644040475,7.378211539899432,5.639254345003509,6.957153901268299,8.654300560402632
120,25,4.497312457645858,5.2752977964134065,6.066802496903163,4.840512910668666,5.692004000517539,6.672357365986922
144,25,4.059605330064376,4.7063705814389944,5.409624689752313,4.294591863007268,4.804835573566949,5.401837593554301
168,25,3.685189367904294,4.1508724016287415,4.659348254265765,3.995574558478835,4.465643914850483,4.914798263318035
3,50,46.83617106044226,53.97405634122903,62.210081750185395,52.84473549673109,61.2038629950882,68.89741624166177
6,50,35.868357637369435,41.28087617908619,47.43022426901839,38.12996792150359,43.31274705960292,48.330681262953874
9,50,30.142474127835243,34.6004187100155,39.90478227001834,31.276854376008913,36.29548123740465,41.84626620950138
12,50,25.608666087397125,29.45369475571517,34.29849450387837,26.489126875100943,31.353905361620626,36.00780123054065
18,50,19.427404724546093,22.78248557116578,26.209090121013237,21.237357415580558,25.17165561107388,29.30531462768039
24,50,15.930512556988011,18.661281954837307,22.18435866780308,16.0870334012279,19.418271635024546,23.575334336505133
48,50,9.409740514645492,11.36306622754486,13.84302248546205,10.087888168521987,12.941552348215449,16.88181219748426
72,50,6.937744789819396,8.886702391405668,11.360611096765027,7.385246719863106,9.666968459139706,12.30721193494203
96,50,5.537544696868098,6.87306553404402,8.645463298528615,6.103741108566508,7.978445344690096,10.582254912117971
120,50,4.739276499772251,5.762954036345269,6.892615248104368,5.175622832841224,6.360279173787772,7.758061815340077
144,50,4.269161927253152,5.097438387294887,6.157454405365168,4.572465357361192,5.256393524539733,6.1178809598843715
168,50,3.872512682546924,4.460022067994405,5.191046757144486,4.238405842750958,4.881858570436225,5.5519436072277415
3,100,48.12284528957403,56.43323466893014,66.94184420569661,54.84482304310636,65.72359725923798,75.86397090015268
6,100,37.11360136233351,43.213653614258234,51.42552665525008,39.53719191053375,45.97753218957072,52.88776169340372
9,100,30.92329866905032,36.36084601801825,43.07156642634057,32.15009442895709,38.390903766999436,45.81233902270447
12,100,26.380477357401112,30.97844544961567,37.53632241477834,27.46330001337808,33.392869287951456,39.847565867012904
18,100,20.016546532294903,24.065692177991696,28.72990175989949,22.338419104493113,27.55087751414425,33.13052781617955
24,100,16.45003515932653,19.82912986318495,24.27388640874661,16.733086658272732,21.257416467537784,27.356032835173657
48,100,9.789369345418725,12.1948526659089,15.487145400178964,10.567298046098339,14.325694845880005,20.003564257160733
72,100,7.259404457385468,9.89096111221719,13.717744628406283,7.863851916841678,11.20709908677916,15.36507620633127
96,100,5.762560007162574,7.546432162029394,10.198968235112215,6.478830461079793,9.100186745590399,13.184566502125378
120,100,4.870700069733092,6.238028041228754,7.916987800931333,5.4204242087179635,7.048499267320232,8.945965110138776
144,100,4.436177482383224,5.46784019840767,6.95720379563685,4.762295869502225,5.6980397887631575,6.848353314941312
168,100,3.9979353049040482,4.745718886120461,5.7159409868033,4.437015931573715,5.274256017209362,6.212008617684737
