Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.886692645563215,28.44432263243195,31.965791032635323,28.807298779544823,31.782621209023525,35.31370157452329
6,2,19.990700769772452,21.966069778558854,24.023725253597277,22.03895254126866,23.734146063598864,25.667793711149912
9,2,16.500315834965598,18.101234302391248,19.789053524586297,18.76794499490772,20.23608424950961,21.888074917695967
12,2,14.34949949282359,15.748669689911704,17.239484974505572,15.355167170306988,16.672289689086483,17.963104424670213
18,2,11.744305443242046,12.855323093127357,14.086667136389476,14.011703558691522,15.235758918197693,16.571275495737346
24,2,9.948294854488047,11.020099866960138,12.119483681887829,13.080316019144448,14.195589150355662,15.454321875433148
48,2,6.9126043847718766,7.639022653667354,8.451278133081068,9.03534817987277,10.153888382523348,11.492946582088326
72,2,5.213216152480196,5.813696026193053,6.328376139449771,6.791416349093345,7.68875710077227,8.657753343992116
96,2,4.357142609021514,4.863464611154217,5.364489189659959,5.303518336420428,5.880688484399284,6.487231685894628
120,2,3.732565960091369,4.139316342591855,4.58768261641255,4.862222943490029,5.628800317692312,6.447592903478959
144,2,3.3863567752375756,3.7303158618516115,4.065079624216244,4.370955306615937,4.975628929078979,5.5754746866979605
168,2,3.163259779273909,3.450396042671107,3.747612490108395,3.973283741620311,4.470121612439764,4.928267096720241
3,5,33.66075873575492,38.19192015267081,44.41618022452391,38.85627174434294,46.14251606604715,56.49504068995404
6,5,25.24760740430426,28.498997772620342,32.148259459055254,27.14374532858524,30.32336893622006,33.35936491602404
9,5,20.450637929802514,23.192593653313175,25.76399908666795,22.88787646014894,25.122604722305145,27.929354550480458
12,5,17.903905908521722,20.09884434198508,22.37207455076938,18.91839276341527,20.659255185816846,22.685907924329026
18,5,14.881660921432733,16.45008273230299,18.209546877260593,17.79515062038558,19.45822587926987,21.17547560000561
24,5,12.542443586463847,14.091050583650102,15.554526496354129,17.45372102585577,18.789755306731436,20.219128870850362
48,5,8.741705420130607,9.677477385518632,10.765090100462533,12.936144884542653,13.977736388213248,15.131618117020825
72,5,6.605358111576505,7.32221306560527,7.920047812626587,9.42030575894441,10.404253015195629,11.36504078526908
96,5,5.597536284676345,6.1846174296742795,6.739701608060903,6.916322745629497,7.644681048489417,8.314277641929058
120,5,4.760600421632357,5.296167179039214,5.874838366823807,7.459465746976447,8.36039022793242,9.155672660214893
144,5,4.246786143977799,4.700384482322486,5.133327822430251,6.356918944074628,6.994596126794129,7.568653050565658
168,5,3.930161966113263,4.287375462798443,4.6821517516330164,5.655152670478951,6.256714481535129,6.744860550051331
3,10,38.936831124177715,45.97521978786486,55.48741064210982,46.80676367052715,60.23666869739479,78.33032465054032
6,10,28.532063439004695,33.45815966248319,39.00665017471696,30.571339408111477,35.5954701854875,40.71475706917425
9,10,23.113515191070817,26.89792429707359,30.681612714711182,25.26178302204243,28.356908005301523,32.54638842901488
12,10,20.149429541788724,23.0649608347103,25.862085125671108,21.03797735707679,23.300829422071416,26.032875784979737
18,10,16.549596691785176,18.832729083342702,20.940985546525006,20.025986777723112,22.183883512274324,24.289710535776685
24,10,14.106536384701798,16.179280483793384,18.027288355163062,20.24838051671295,21.78195875481165,23.314244840298997
48,10,9.670604260418461,10.87564903044883,12.135345534518944,14.891643202041944,16.023889841804387,16.996653824248444
72,10,7.345995249412406,8.197212309670325,8.914773755452092,11.07224239755785,12.02302120270971,12.817393565503885
96,10,6.264662309504791,6.955575946749404,7.716720522523257,7.7097024226285225,8.610434475889997,9.371763470252347
120,10,5.323829959644853,6.012653136011148,6.797126736172806,9.104918971163599,10.026612550917829,10.859817195264139
144,10,4.754724852199937,5.276916617712057,5.8396004097460565,7.395689835788808,8.149165823548252,8.704267269886515
168,10,4.329087824032367,4.763151401094557,5.23179543151568,6.774579775361848,7.382310054148656,7.859421543237158
3,25,44.47297230259697,57.63809105251107,76.8277908808291,57.7314341300048,86.26641766230567,123.12643128719768
6,25,32.44279650997488,40.552456686820875,50.66430075714257,34.5144780851036,43.643228190177155,54.41993032881139
9,25,26.141293395533992,31.998541600988677,38.8091727705175,27.613836308536996,32.49872895592066,39.12697152835504
12,25,22.409147473195926,26.913472057822226,31.427489925426414,22.99353191475225,26.675964495369108,31.15814046941523
18,25,18.206193964493,21.846177412700015,25.36574467658844,22.260309049106837,25.57791996584882,28.56438439498092
24,25,15.560044278915008,18.882114685260362,22.065396388220286,23.25700679213844,25.52827008792811,27.70533649605388
48,25,10.572646802947208,12.236356538024523,13.959971037910204,16.79028390557272,18.173987395215853,19.547610111812666
72,25,8.002429281622666,9.17924422101362,10.295064719216153,12.779607004994523,13.897073365852993,14.744796057830523
96,25,6.870101198671458,7.825498843521242,9.008650922868384,8.445353913850752,9.64993858109713,10.68622018713533
120,25,5.907555065632149,6.865240091685328,8.087468296137878,10.843972466217053,11.992041137393246,12.978561106221282
144,25,5.176421075899894,5.938142891743742,6.78110936247546,8.42213116185661,9.434178177780243,10.096560267124397
168,25,4.655506152755437,5.287629116953555,5.95533330876112,8.106422645239554,8.74802700666439,9.216865366391108
3,50,48.788046737206756,67.83835568142985,99.8412178152943,65.85079859840842,114.39423144247382,183.06420839451025
6,50,34.78256561665626,46.486906930204185,62.3731552950844,36.43373131060142,50.9018986288672,70.08999966163437
9,50,28.134070610068886,36.1100204531634,46.76886978660178,28.970134062034187,35.64666116922789,46.392312264666636
12,50,23.801801676150703,29.843079125449805,36.43421679369069,24.136809281974607,29.228429209711187,35.84237650744044
18,50,19.516982902009488,24.083868648163588,29.504760262844542,23.646317972282322,28.076945235615405,32.30692601240926
24,50,16.487587658091215,20.934714454428946,25.718930966925996,25.15426117750554,28.29564620075731,31.642719769971514
48,50,11.080044002992356,13.145908972408881,15.567758293832913,17.651308244769623,19.511528445321915,21.27086165885906
72,50,8.335043908731151,9.828108177163646,11.370955376444376,13.870476302249958,15.18055248785377,16.472647489347615
96,50,7.127149153017623,8.403327440012578,10.018846689143766,8.864340161661776,10.314193445974917,11.653216061616298
120,50,6.251006413182268,7.461820145928945,9.175724573724045,11.85388797860317,13.361032121286655,14.757736788368128
144,50,5.4259310759880774,6.384427980653504,7.531092138018498,8.982176528845441,10.279267386284321,11.216984054288437
168,50,4.8315646491550925,5.628110231226671,6.5088107238438795,8.935824187858291,9.725342989801344,10.33945685998884
3,100,52.6243065723215,79.48773475433575,132.45150651196042,74.59299150106372,153.32359972429458,268.95713148184024
6,100,37.079756930176984,53.01143580010646,77.76024784609363,38.10825502036009,59.5032145532729,91.64243197368037
9,100,30.173579696377388,40.48967011686261,56.27410914968999,30.145870578097806,38.865536519217834,54.14479226943138
12,100,24.8239303867998,32.81541910494068,42.337616084723564,25.062030471990276,31.821115844378717,40.835500491315784
18,100,20.454321319129846,26.306844104582645,34.606386456234866,24.845314683799636,30.555140697375002,36.56011056698604
24,100,17.200803106327413,23.013055156988457,30.372036116336794,26.78151112560182,31.042980490591695,36.066379730866984
48,100,11.416136429996147,13.97251290310475,17.029766856739165,18.22209159753067,20.659916161358268,22.981854437021518
72,100,8.540589807585071,10.412054605377593,12.575134330491204,14.633635805831092,16.376413448105502,18.360092115623303
96,100,7.429108890770285,8.925665236556002,11.123968203935572,9.137563610965014,10.89903178544147,12.506893911989343
120,100,6.513126322530362,8.025370700142089,10.483978231817954,12.639738041104176,14.653474065357774,16.791978786196037
144,100,5.607528987315144,6.793339062856143,8.324690033960332,9.477709582824765,11.039018555709843,12.351644617975849
168,100,4.993004162124115,5.9300002370472304,7.074660818207764,9.70733328939535,10.668966645143403,11.625005910246927
