Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.782226032453025,25.222080935980593,28.218542989759705,21.74339354604718,25.47176164237184,30.569304342607104
6,2,17.266743723359337,18.96653110110705,21.21279406643182,17.315137352708348,18.89609137148209,21.159671991411514
9,2,14.367643983726175,15.736340158598413,17.23561144059529,14.966254442498363,17.19869110586992,19.566349146092307
12,2,12.806432779325679,13.928554520405438,15.18670494669707,12.358700942894039,13.887862152599233,15.467868699619174
18,2,10.482404116500724,11.470869655226377,12.650665142693862,10.147976193385796,11.132260493881112,12.264165781264548
24,2,8.797531981694034,9.692774400844216,10.615576122652612,8.610686070742663,9.396223653696074,10.246096635593675
48,2,5.8202963415799385,6.272827980352577,6.81265443100988,5.975524978577978,6.418125987256344,6.821906886071583
72,2,4.678071507546568,4.988368156651199,5.388411450578581,4.889632766748,5.194416135701874,5.494286883742402
96,2,3.870312243055751,4.171538299411251,4.48490056780815,3.9398464259606945,4.192474600935508,4.504892157755052
120,2,3.362422804830023,3.603242170016771,3.8622732893030673,3.327121903548814,3.5664603358615046,3.7796476051383516
144,2,3.052576946040718,3.267464609989225,3.522125522343427,2.9205168729493947,3.124972988337972,3.3572404010479904
168,2,2.854938408603755,3.0721562156002333,3.275666212249553,2.7615404990675874,2.971394037136654,3.187564393917165
3,5,29.43874650696226,33.4386475243449,38.08318620553216,33.69409080069589,41.80513404126217,51.975600101186956
6,5,21.96081508624997,24.588855911644252,27.60545493275896,22.422931723353802,25.201005720609416,28.508176503026277
9,5,17.938820732886033,19.99188475640107,22.02213779035498,21.467916666204395,24.251510763236915,26.794917492579636
12,5,15.811507538429794,17.514161544139437,19.20890491705415,16.80462206112296,18.494937898181334,20.192995729379874
18,5,12.998658459052029,14.408914321445902,15.65988976500934,13.138505542573537,14.239321663296108,15.232181316850628
24,5,11.108536962263692,12.200124914223895,13.345573092636371,10.701135901890225,11.508234831746048,12.250127064807142
48,5,7.037099196690503,7.724612588841017,8.460748659301837,7.136103355211196,7.557317018199156,7.930409396625967
72,5,5.611943534489978,6.0355729609336874,6.558956027151836,5.662214295105458,5.942362233179335,6.228793076791893
96,5,4.668640575583646,5.075492020142352,5.492407640576278,4.667212356057599,5.004485350214136,5.35921603327669
120,5,3.985797476068822,4.326521188764109,4.669516183342077,3.9293768338551667,4.1861083289257905,4.424678356621797
144,5,3.663871036414945,3.9453520174391956,4.244863317806917,3.506756462574688,3.768917699089352,4.024678578756672
168,5,3.429903927819188,3.6818073761007617,3.931227516350038,3.348548696056156,3.5716824434125662,3.8038140269597216
3,10,33.15414337292561,39.46033012538386,45.95612474687867,43.78520940936152,57.06401068775946,72.04939322565542
6,10,24.604220344835213,28.501145707447776,33.108909097371225,25.567843625055446,29.88544446173138,34.73271637844373
9,10,19.86442635288099,22.855600468382903,25.898810240234546,25.82194567773864,29.021633732162574,31.723941873514498
12,10,17.47632838515637,19.783625892157062,21.915578877729736,19.166154133650146,21.10289582898682,22.781610178586888
18,10,14.473454260970744,16.081104279453744,17.54640622538009,14.438052132821834,15.691667787233849,16.78872395891334
24,10,12.347154737981597,13.688981529289912,15.103344173012964,11.557380391675263,12.49835786723875,13.344456047920943
48,10,7.76005094513214,8.650009227407653,9.598563780802156,7.650728796809563,8.092381054970575,8.469269290528986
72,10,6.143312834954472,6.687475170551691,7.330770110312416,6.000971539800849,6.2872299065587045,6.58640966805623
96,10,5.122671537723356,5.665388204341713,6.2118165348004055,5.04559420921771,5.468929239818592,5.904010463367303
120,10,4.355478596888121,4.775101850986135,5.217059621836825,4.224422500167035,4.516741721979533,4.807294261865284
144,10,3.984645937256169,4.342008272242771,4.714063360248339,3.802936135668981,4.1284497886593705,4.41242757640953
168,10,3.7119455697383934,4.0051961742232844,4.295482108407199,3.5686721859091364,3.8458089580295476,4.080434269339478
3,25,37.205816919277986,47.80246766545763,61.03646402173449,58.750987862608966,83.64921116200317,108.54268420474955
6,25,27.473268818849462,33.67165064653311,41.56851854747184,28.743612874350838,36.5530215456085,45.66055479840065
9,25,22.24007419423956,26.52738182336438,31.647579974640344,31.08882377761403,35.2022885676466,38.632904996609284
12,25,19.35396121188478,22.537276209139954,26.10691339544819,21.765070071165482,23.986792613890625,25.978406417287495
18,25,15.5597207181025,17.926498563400422,20.112379873014387,15.488972551487029,17.05320238912009,18.515932215064662
