Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.53356323188048,24.773218110337226,27.235871180879002,21.841393541207452,24.46243331374584,27.191258272791146
6,2,17.162661204496473,18.933723191550243,21.02312376210076,15.86327459554462,17.724247843743296,19.793483972604747
9,2,13.821870043043177,15.623511610600747,17.28098392434665,12.571861931651387,14.01537607821199,15.566686998779996
12,2,12.010961718056398,13.307078201952304,14.867653010497648,11.22366290789358,12.537579212872163,14.07018888772986
18,2,9.21163746961386,10.251077264903866,11.705358755575181,8.92556579942498,10.01522667092894,11.253372807344928
24,2,7.713581318575356,8.508036704035767,9.470456650470334,7.739088227838469,8.761452257977355,10.083306993681937
48,2,4.750494954943811,5.387567619276336,6.231935854030105,4.312770080617705,4.903078964845428,5.577585002835983
72,2,3.6586149629441502,4.113704976029833,4.6736575841689785,4.6167726910034155,5.776899722066852,7.395260723286077
96,2,2.977946762857327,3.3360670250650504,3.8169074447807225,3.180942809330472,3.635668340565167,4.133560524888772
120,2,2.5805478296568696,2.907168917829264,3.268947364123569,2.671491415275536,3.0467466703841524,3.4245011495318702
144,2,2.311169221783105,2.5917500189100955,2.9590141072937266,2.224381843448889,2.4998012449557447,2.8034715770629757
168,2,2.104850730145685,2.3545985460405303,2.6691279246806854,2.2050767575938353,2.439311293084118,2.7096854572853317
3,5,28.79218494768081,31.521873751151823,34.842398742375316,29.05644435774755,32.35430147476653,35.73160731516592
6,5,22.22789699784846,24.83630615373079,27.733374732851175,21.442258887016123,24.397777641851285,27.563621279752596
9,5,18.27920512493832,20.89795808884933,23.58142309986756,16.975351285997114,19.453821308515863,22.048654876898176
12,5,15.707301805064667,17.98931003662681,20.558051468975076,14.953589693882963,17.338260240954355,20.15068159491885
18,5,12.006766695587864,14.07092297412105,16.568181492761205,11.838680008911378,13.73228631810326,16.08931948455308
24,5,10.162848969064413,11.765304742276058,13.679481425519292,10.844509699267816,13.240877261760383,16.25336341022078
48,5,6.562845921968716,7.734615777445972,9.319356432143124,6.057648325606591,7.32580197838619,8.904779742751895
72,5,5.008019962560659,5.869987790380085,6.93889677292485,8.40082089333748,11.417088589592048,15.358491851655751
96,5,3.978602306018727,4.68441873057993,5.595260030396385,5.022157482408142,5.962313712484843,7.075785415639045
120,5,3.4499456902976915,4.108865570974525,4.743500084244702,4.277052203365143,5.088774087167944,5.800063045989269
144,5,3.1376670964528186,3.6385315032232404,4.286109372570094,3.1693446185895917,3.6089021221044937,4.138712008158654
168,5,2.811433472034466,3.2939273364336197,3.8988794425707525,3.0998184424118795,3.523698121987636,4.054064521069023
3,10,32.230600574439016,35.54186522533701,39.478298474388104,32.94226428224779,37.299039233857535,41.52302450062134
6,10,25.184467466403206,28.82002385093712,32.82750649106201,25.401808315492104,29.433789930034973,33.60500994890849
9,10,20.92606963787067,24.678005835070184,28.163644537067718,20.065078527490776,23.77122423013127,27.791693961046015
12,10,17.897901351976024,21.601551386581054,25.922017666369342,17.45380484751596,21.394395833921557,25.621614926376104
18,10,14.054358481344476,17.3217222567237,21.333296626061546,13.690086614093293,16.890693271268578,21.1834734721168
24,10,11.89171563121766,14.594442701458103,18.15467737637587,13.340379937457847,17.743767804074153,22.74477945469971
48,10,7.8194933069560015,9.782807273066954,12.206904912286864,7.389913866086559,9.651928040184018,12.90243982497659
72,10,5.9460758096679065,7.381996467544589,9.261829551552955,12.387688257995048,17.285075993377678,23.117131617464047
96,10,4.680513590714588,5.864615612165428,7.388815617324081,6.539762346646885,8.108649370419203,9.917143736949349
120,10,4.113300808214727,5.115525866600305,6.339627911904015,5.863369482769368,7.106441809542721,8.263734826542965
144,10,3.694021128623075,4.506199465522045,5.53239531065029,3.788601346590032,4.479368842054224,5.364062104986841
168,10,3.3086365143203254,4.076095024923874,5.088719037344954,3.7408545432544313,4.4160037021192355,5.319578021498013
3,25,35.3701249030313,40.16175710913826,45.92782165230482,37.07764082742169,43.29905274421746,50.16444732444231
6,25,28.428993961118096,33.9413707624183,40.586419704711076,29.587550426280963,36.67471416084382,44.00969222334358
9,25,24.021919153390286,29.809244940729247,35.83400458861395,23.59269515027908,30.268905142724698,37.51542937502843
12,25,20.51342917054204,26.84607651891652,35.15362928346926,20.54366071447983,27.880657886206144,35.97952759758416
18,25,16.5763223573631,22.487815482777734,30.358169008396793,15.899447855981293,21.996028629046087,30.15710189034263
24,25,13.828462485106016,19.176191734435683,27.05755271627673,16.96339325573727,26.209633789973267,36.84175200272175
48,25,9.383290333654447,13.114366769808768,18.381436378275474,8.919276682954191,13.889589434461616,21.601124815346974
72,25,7.016061691830532,9.810679951186023,13.674513919056164,20.397790555084747,28.561327321566488,37.278505672194754
96,25,5.560328964983695,7.7896588286777,10.563750025985618,8.649076029145562,11.815217692753961,15.41017703770688
120,25,4.861519664516742,6.692102009904578,9.159030519311425,8.502829172801935,10.803356640707419,12.620937377192632
144,25,4.451896940417555,5.8518939381313,8.020026613326946,4.47710464706235,5.780525363785181,7.481560955770709
168,25,3.8988019070185302,5.294312880132943,7.464346657613687,4.450821590657996,5.809099862881856,7.5645010169044795
3,50,36.91649024752523,43.28608767404968,51.598565804297536,39.321570600621676,47.60948390344118,57.218963429335545
6,50,30.5275306641949,37.80513210310326,47.96933426325562,32.55608468760673,42.811246115672226,53.93207906148962
9,50,25.82088924863067,33.889947895944836,44.22972899331348,26.065783933064523,36.01819168491435,47.094893542449654
12,50,21.94251090247002,31.29604402994052,45.15532352193226,22.935152228625768,33.978790184176155,47.49275111812504
18,50,18.22402868038797,27.267138089457717,40.05386747256726,17.383005220034303,26.86793731536278,41.22816839235419
24,50,15.446578962381242,23.491884236920416,37.565174760672086,19.966786178056637,35.478378351172914,53.980991570997766
48,50,10.553137040570679,16.265556174501974,26.247105040021495,10.278566316334409,18.434106991246665,32.777249920293606
72,50,7.700766711630756,12.080546749936985,18.96944445120177,29.409053074819944,41.06656969978894,51.92200307682218
96,50,6.157153801865016,9.615308558665792,14.839356712354782,10.412775731710497,15.549228547790232,21.14359302858549
120,50,5.400880486731656,8.130475444130518,12.233692125672638,11.012673141689099,14.726570257651149,17.752156265848768
144,50,5.024455204129903,7.068235421403923,11.132366995843476,4.936119633219445,6.9277329403093315,9.51533843881853
168,50,4.40705439818505,6.399876814595963,9.901945204195588,4.9136417732463995,7.089643396454999,10.046348199295014
3,100,38.05480177353887,46.153581491121145,57.40223666888232,40.77743139119926,51.797477649238004,65.06679744289977
6,100,32.14078652792825,41.69553235275059,56.319218055044544,35.22292174556084,49.67778797508639,66.55219787444797
9,100,27.47887876925087,38.18711779963559,55.154051021554324,28.02779519155335,42.689372490567706,58.74664659956274
12,100,23.702080948012267,36.24829163224385,58.68161377670688,25.216397377512585,41.44987543274442,63.49193032097074
18,100,20.001419765708057,32.99455477828884,53.96852324510057,18.783786827267296,32.93779753738012,58.56787310065819
24,100,16.9917414608468,28.744190853086877,54.56986215629501,23.013031421895164,48.41349538964543,79.540481243839
48,100,11.668452586692911,20.114365415166688,37.922164304698896,11.33503955522677,24.707979440649133,49.17052354842565
72,100,8.42575249198574,14.824584246221477,25.736393014921898,41.816365219777666,58.6099369921761,72.42536170440815
96,100,6.6920946395716125,11.850203120391427,21.776405853564043,12.203514445562988,20.387921259910634,29.529282949729655
120,100,5.980287019420665,9.833724262298231,16.89065968613372,14.243092515315043,20.027689255352303,24.74661617568439
144,100,5.557838594895476,8.497105865916074,15.431175185509588,5.374379177343961,8.258071701403923,12.241244979953604
168,100,4.896420782548207,7.703105835233974,13.697257753936256,5.375254094292501,8.628801751682044,13.453140879847805
