Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,18.29071967055259,20.22112709790923,22.36635868001339,18.386539989284227,20.507783667995728,22.882927412999102
6,2,13.430615915546868,15.05130816413136,16.670185888023106,13.957527488775664,15.636647136639134,17.190875167005125
9,2,11.007129440102455,12.299110148279647,13.710831560740118,11.55266760881051,12.646437729294057,13.752261137304147
12,2,9.363830365407807,10.369618133287561,11.338823600859381,9.492379252453418,10.596545432431535,11.605453857040196
18,2,7.154772533651544,7.971122761717352,8.832000563573876,7.686927849046981,8.439308792666658,9.409074973473976
24,2,6.0700583675176745,6.722166071218799,7.526202648997183,6.572432928877996,7.388829689878561,8.232839693115555
48,2,3.8321960737013683,4.250229329547962,4.738797981516039,4.349327215023667,4.820367269239216,5.3418184657492755
72,2,2.7770395934685275,3.0790812600488384,3.4019363056683027,3.0478582732828206,3.35173849726701,3.6925075975390995
96,2,2.340648665562417,2.568133264320889,2.861635357163773,2.2883182558155024,2.520848734889326,2.7584517340662202
120,2,1.9933692577977757,2.198587030298847,2.409926460003134,1.9479416353387973,2.0901211221314817,2.259618698843909
144,2,1.7566442182598792,1.9470270197753443,2.147543207209593,1.605149929782808,1.7364092402563986,1.8750773863392611
168,2,1.5919825186596075,1.7592527073991993,1.9475587313485445,1.5740006411388743,1.6712044759686682,1.770676005681674
3,5,24.048933361821778,26.94902027701565,30.095326814759666,25.8218422692942,30.104260597158877,34.40433570853993
6,5,17.645039924124955,19.838003836644294,21.937095545746054,18.21199100540741,20.249707533633085,22.42678424703253
9,5,14.257273131663752,15.905461738897685,17.64262454468431,14.459629547308944,15.879701449067436,17.239328446902004
12,5,11.91509412911325,13.22805425082404,14.535992778311265,12.080404969960583,13.33980859219037,14.75391340151473
18,5,9.218880814931127,10.356516135402961,11.50643201833719,9.990174098530662,11.14847490801063,12.603013293385011
24,5,7.903537177082882,8.80814135275764,9.891424402805999,8.84960614059051,10.106271141196713,11.460281191411527
48,5,4.939155480609415,5.588869992203145,6.243246182682894,5.915042991804535,6.723507952719599,7.641847282306198
72,5,3.5987250986268515,4.0833496835001455,4.61813503439226,4.037646047088216,4.573604325598436,5.149312366496823
96,5,3.0156609018036615,3.373540932132882,3.815346226935274,3.391247893481576,3.7729027521611505,4.185830326960872
120,5,2.567507277264114,2.86636693432917,3.1660848983167225,2.7107802808218597,3.0116066409646995,3.328718147637378
144,5,2.253890094831278,2.5388827810525316,2.850446156659845,2.231708260857599,2.4451037537868583,2.692854460534649
168,5,2.040375338497179,2.2959978525864555,2.5784808909744408,2.0835332927211665,2.249407925955707,2.430114232137707
3,10,27.428498297359454,31.547381677868415,36.06579280247806,32.49695719417788,39.45670477347633,46.40824560893631
6,10,19.87034369866757,22.870589699744293,26.01077500790292,20.548225874522583,23.108683613021764,25.910009453935814
9,10,16.150590163291646,18.12040129618012,20.320450750199043,16.014408437764835,17.799730433549964,19.507363920761506
12,10,13.349556976553796,14.941986810826958,16.73908078083747,13.478933658681104,14.920664147182823,16.527373972582925
18,10,10.397557966924012,11.92570435757931,13.5143371258679,11.259748047739938,13.041607364315928,15.271448842645452
24,10,8.925778058293547,10.204368727744193,11.67046993978288,10.293991379082303,12.101160242014632,14.170376113962295
48,10,5.547491530398997,6.457188984458448,7.263746186192788,6.9659296045478545,8.107460515654225,9.355470805456559
72,10,4.04713811742923,4.794106172666244,5.614672155906475,4.7470779163613575,5.565513969149835,6.447750470079824
96,10,3.4138901197418905,3.937550384680737,4.536037253792024,4.317052771824629,4.9857641411713685,5.668338572969267
120,10,2.9166090827186344,3.3419079612710583,3.7714019870144284,3.4409989501558167,4.00108897050896,4.532576589575072
144,10,2.541106135274269,2.9579840743489725,3.3826267157927807,2.687486917862822,3.019618970147782,3.4277279075094746
168,10,2.3097625221387217,2.672525285163715,3.076409343555156,2.4337252261921565,2.7137404867281987,3.0703309673695975
3,25,30.95304194616316,37.52668522522015,45.11949214517877,41.489482502859374,56.455536964050665,68.99360992565076
6,25,21.886163528935604,26.553341605682576,31.59080254103621,22.733806069944613,26.55059193254118,30.868815272095148
9,25,18.002489916448518,20.736401160156305,23.818055413143142,17.589593175003213,20.02229339294975,22.683030690200148
12,25,14.654179543498422,16.923285542475682,19.60857573210378,14.804212611301889,16.702528031212555,18.998751136456114
18,25,11.682750082133364,13.896889213439081,16.60249292480496,12.766061936721957,15.584790727523664,19.446546096339784
24,25,10.056386729965139,11.985932103773111,14.579640236207402,11.980016312300304,14.893011576094224,18.297138247708823
48,25,6.154327890764398,7.53424756845423,8.892500670429872,8.130362051854782,10.029691956333423,12.026709056317397
72,25,4.530532528148029,5.7479894310495965,7.155763317314542,5.689514237632189,7.089974139813192,8.790472341077644
96,25,3.8311801160144725,4.687248567436598,5.614834540555631,5.533099232475637,7.176625319150517,8.659763329198258
120,25,3.2977481693943087,3.983707738561735,4.784430340761042,4.630940189992005,5.965760912670118,7.063081992902379
144,25,2.871466206220583,3.5207193166268347,4.216263642930819,3.2350661485314856,3.9000883904581674,4.702070883719165
168,25,2.602177750410008,3.1738095421820542,3.874761622632525,2.8751948833016887,3.4211840746186066,4.256085466867764
3,50,33.10104164417237,42.087914105021596,53.630292070397786,47.71190541957441,74.41858672680056,95.31605929787393
6,50,23.1087272341735,29.181936728029818,36.484542006552296,24.059313046462727,29.008561340101615,34.98600803955594
9,50,19.108726396427272,22.55352755861723,26.902232086868867,18.18878589007753,21.548406099163124,25.119199611132757
12,50,15.388462078141167,18.270925793539146,21.710277728573683,15.46462521478229,17.89454356084758,20.76941443285875
18,50,12.414675004056914,15.35098505523402,19.22839966486192,13.624722746478525,17.607105491469568,23.283389520706972
24,50,10.685874122925373,13.320284587190287,17.25812000642925,13.090181890238945,17.195206865096665,22.013922961548218
48,50,6.507529929043644,8.319047815213324,10.334130788260339,8.890122680764463,11.604565856009472,14.612781995267742
72,50,4.86380817761281,6.498266925029225,8.748095502902853,6.169736545014537,8.46686476535917,11.119837013432218
96,50,4.0622566112101754,5.271465169929508,6.680543216538139,6.499427065767684,9.477649623908365,12.082744016585945
120,50,3.557321422372675,4.491262634520938,5.715704682242259,5.764630626545305,8.216715200907068,10.12785341593415
144,50,3.0557528413811896,3.9635468545008266,5.045699701983072,3.610243040676859,4.692240392310396,5.920920474829698
168,50,2.785126406812761,3.565043786328589,4.6097599819822035,3.1415012225499024,4.055649107035178,5.477398498866647
3,100,35.036729448823195,46.72396508124292,64.26663089112475,55.16207276023479,98.66073352973685,132.3808447982686
6,100,23.945527841139683,31.70708661351378,41.12828737743922,25.354004669987262,31.388286956720485,39.83648638253726
9,100,19.95571218204032,24.259438729115942,30.227254109615927,18.587953235329522,22.976630404367132,27.495778664232596
12,100,15.847235782095794,19.513810988404934,24.22843634397787,15.875979389977747,18.985770810762876,22.66910325660873
18,100,13.003279281890984,16.78743849155174,22.587590097907032,14.503934510092307,19.75381854100045,27.863063798197977
24,100,11.160867398331359,14.655569093294307,20.481642226750406,13.949349960942232,19.70929431512166,26.620359692998143
48,100,6.830267644299175,9.086274029920416,12.083799286229894,9.664301900736291,13.316074877134447,17.74527086118103
72,100,5.12939635185082,7.280966568492104,10.699489227740036,6.829811200631946,10.09371747309153,14.432166773760681
96,100,4.298815229934757,5.876123742812418,7.918487777398797,7.471385448958753,12.566234518748455,17.00167604067957
