Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,26.2409261043707,28.872050113964058,32.21180068721621,26.646936173584912,30.10111689139694,33.962624050101354
6,2,19.819210845682193,21.99693588647545,24.415474415531783,20.260431319851165,23.13542594150536,25.691168298887774
9,2,16.135239257973158,17.891053228000995,19.989834109821192,16.322814843692708,18.537701091362106,21.300299286624536
12,2,13.890873535319745,15.413337726374888,17.09276741516151,14.34323298362349,16.17078138373858,18.098666242532886
18,2,10.864447999464973,12.314131049386923,13.708737985079768,10.61070741567233,12.141669094130794,13.638069303426196
24,2,9.514919443286331,10.531036510433204,11.791780997182329,8.818367649075588,9.922143485498047,11.15564271328744
48,2,6.123297803373475,6.983912410710831,7.802185779186955,5.662137196599254,6.5445305424350035,7.504763921593426
72,2,4.445624067790815,5.121005309679367,5.802017796480567,4.383191944478038,4.971824967765437,5.565090104723131
96,2,3.5557935191951886,4.043911383817002,4.551707350116565,3.331408971711058,3.8565305930656124,4.414790219053387
120,2,3.068093935091997,3.5110608791506115,3.9407146232831884,2.9833716793421297,3.3990943503366795,3.8521622599841576
144,2,2.7254305240143113,3.056006236013575,3.460976435020965,2.5228701286176167,2.869413212334374,3.2627743416367556
168,2,2.436545275771654,2.7860472398713756,3.0942610892629174,2.270462681154525,2.6293562428305832,3.119734334050385
3,5,33.86488880198844,38.25771035382765,43.393752431600134,37.04755132482816,42.156616144515446,48.43976081772393
6,5,25.47589322425071,29.35343149468654,33.18841915225309,27.365807397279838,31.299592150897546,34.769413173402846
9,5,21.094747459550895,23.999371150420547,27.495214298074483,22.999214130470946,25.874811071838458,29.65453625985151
12,5,18.259567230979577,20.674179721267404,24.14321546019267,19.0255675235141,21.5859146983648,24.123776234238406
18,5,14.509536872224215,16.609761296763864,18.701678173833468,14.571505625949252,16.63975566986378,18.771500581076833
24,5,12.44983117247035,13.966359784457325,15.761668882316679,11.985797106230706,13.614968063788439,15.410790696768128
48,5,8.15261811034945,9.264199395958094,10.137436005225343,7.935697326300456,9.00883965916713,10.180141568521325
72,5,6.002202115190237,6.821648619908604,7.586828942449769,6.021515840059837,6.713821845356361,7.349129060556369
96,5,4.840231492640099,5.501053614079082,6.182091675613712,4.609037629002934,5.286138850086768,5.993739931268928
120,5,4.190947693849429,4.712882692238275,5.253358035884254,4.020549511532684,4.527093965519301,4.978961058443515
144,5,3.6368979134190837,4.169226256919672,4.747903508958157,3.473858071546951,3.933838580512324,4.413648605315988
168,5,3.313638586661539,3.8071972835105683,4.210718911665213,3.319956595825171,3.89389934625195,4.528959752642764
3,10,38.34225005240344,45.26851480718605,53.15075017311887,43.13248445822758,50.53967410217962,58.97634450662291
6,10,29.44338275184625,34.96642309208828,40.460468762194324,31.729073555460502,36.38220557046789,40.89291280152827
9,10,24.265396108888517,28.617168675892763,33.86137530813781,26.608741719581566,30.56154964051641,35.125735272166374
