Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,26.766757868475025,30.176752765643176,33.83514357069045,28.709697805345584,32.92959398490173,37.92800710167146
6,2,19.647192557549868,21.91747932049214,24.683034325465947,24.851215709848837,27.972488170117263,32.055281696569786
9,2,16.12958717941082,17.95871029791261,20.740818653965047,20.782889385679834,23.37845073167643,26.199652887892636
12,2,13.654809852897653,15.314707515475085,17.15317217119952,15.512472242496365,17.662498650359794,19.960814064573178
18,2,11.008894868432513,12.295730748287117,13.809322695736412,13.884019700710937,15.545973444266238,17.472617392423373
24,2,9.411708441223722,10.434284900480627,11.80636673764754,10.363528721592239,11.441709734028404,12.68920444715111
48,2,6.143487441909951,6.7821076012625685,7.5419593638774245,7.328113211598435,8.045593829881424,9.01139647477032
72,2,4.780870774598533,5.2472376634859295,5.803049660701719,5.578945066403353,6.206651890393795,6.900304000704151
96,2,3.936641831646119,4.3092043516472724,4.78158386570113,4.049353589815681,4.470967450848633,4.984886127427615
120,2,3.482405443874372,3.7946608048172563,4.206963696845503,3.335333598950859,3.6483803814592974,3.956145476041801
144,2,3.084515920907875,3.3640132424963918,3.7010658969481716,2.9114233332275727,3.208265664180347,3.5329872743738884
168,2,2.8005269122709953,3.06028973541441,3.378737426139417,2.7869272420321636,3.04660097281088,3.374511876582462
3,5,36.06410910537814,42.64736561551045,49.74379331249085,42.16003287726202,50.01289925194895,59.28286339690669
6,5,26.178458990285606,30.670324063960962,35.54504780761788,39.67751971264695,46.31222966103171,54.31357261496743
9,5,21.7243111826394,25.234944746780506,29.794495620279207,34.096184635602235,39.08652494479163,44.64872992478183
12,5,18.206875969376632,21.311916052616734,24.992179378319697,24.260276596771952,27.951330724225365,32.25995873341702
18,5,14.645844018472475,16.874386594598242,19.46661028014452,20.574218724078136,23.572835671532577,26.79595881316569
24,5,12.480154476857635,14.224632260406455,16.267490647291524,14.36429173782659,16.317879344090034,18.777901488691008
48,5,7.989354427392943,9.06997497690035,10.198014543769078,10.286159585674348,11.525070527893766,13.098652003497875
72,5,6.053881543012862,6.949624278132805,7.890164303465593,8.02045668587667,9.167093236694495,10.37830063102308
96,5,4.972713018644226,5.651555823979066,6.3536030396804595,5.6865389103294515,6.748311085347194,8.13326809120787
120,5,4.407228297211007,4.927606516080388,5.54601536442316,4.213026727745392,4.7387964975153185,5.3120710656720025
144,5,3.8416973881831664,4.322397221085308,4.801390186478601,3.8196050085107727,4.350166952838436,4.989620614408204
168,5,3.539832069090353,3.922670647513138,4.381044776153569,3.555405114944937,4.034625051662029,4.587279352729469
3,10,41.9307602471509,52.266418520455545,63.62595529957095,53.08562242411643,64.76171827130398,79.5332007719482
6,10,30.303455193026885,38.07695812719495,46.7409193222784,51.841543680354036,64.8246399257803,77.2292165445808
9,10,25.568448827681102,31.234497802835268,38.56365366149135,46.79139390692347,54.67592710289419,63.3778702043503
12,10,21.41377990355712,26.253361713262613,32.863195582927936,30.67233838906614,37.04908574810804,43.76938243518544
