Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.221978215283123,27.595261142427795,31.639721233129816,22.756420295924592,26.18715367068136,30.780341700972293
6,2,18.776917977753072,21.371104585448478,24.075818119905428,17.02362619726639,19.711436118294277,23.51099161730689
9,2,16.084276250640873,17.81421645101945,20.42799002711531,13.101353790068423,15.110475874745765,17.305087881642194
12,2,13.435194775460399,15.074746075466333,17.223202512440935,11.95025283954966,13.820758293523863,16.362355981524857
18,2,10.41619360996799,11.833028663624033,13.461067223085525,9.356280403748642,10.453104559123139,11.754276750021603
24,2,8.819620484215394,10.063724155493656,11.588390958727372,9.032876361703517,10.591440920737472,12.210559856081641
48,2,5.693313615412674,6.464354021797153,7.368838268662854,5.187949233198413,6.399265218704757,8.053601022130465
72,2,4.1914576693351515,4.7783632022017875,5.443493276822978,4.030368285397405,4.659936026817995,5.435973677950571
96,2,3.377910569591485,3.86044611516565,4.420688666175312,2.9380561946627113,3.370008721833152,3.8645434108511934
120,2,2.8600464616316597,3.230523383122546,3.657955847571229,2.6307500435653606,2.9397409687388496,3.284325573863439
144,2,2.504844999106322,2.8267847821430183,3.1818473280146344,2.285438789264331,2.589615073872829,2.988073106932004
168,2,2.226595611587702,2.523714248646386,2.885194094316879,2.0612845111370146,2.26260829150121,2.4999069726869205
3,5,33.3783638868531,40.00833364467737,47.12866246490161,35.17891848698244,43.62332025091424,55.10315373309771
6,5,25.39221194874931,29.987317848765983,34.87869001457808,27.19919077859668,33.71579734439249,42.58624806096357
9,5,21.595566251540788,24.84296803028007,28.772962020702508,19.482581770451667,23.952771868739166,28.885891103363548
12,5,18.181248295474166,21.17412160927223,25.031689753682677,17.671711035112395,21.537744497727218,25.93967637034227
18,5,14.364779346792087,16.71159913261454,19.627573535913385,12.832952234233094,14.782612873538572,17.006346350921874
24,5,12.182033191656512,14.221362570920167,16.499217128860202,13.510680740066693,16.330439512466185,19.296206410979636
48,5,7.979102338989158,9.256896247678911,10.721684702392027,8.80114662247063,11.381605531774873,15.137470351237683
72,5,5.769682520791939,6.783175048579368,7.918066635079187,6.148259396283346,7.370817200057707,8.792255804310255
96,5,4.640022122904158,5.476053335145905,6.4587172163936755,4.403405133690644,5.297076354558915,6.356675653998426
120,5,3.914684158396059,4.594341077339856,5.413830652549409,3.5863665470257517,4.156562363700965,4.845491413320983
144,5,3.3984166191326857,4.0046684677739846,4.784851240503817,3.41097276169564,4.08609232321891,5.00489305581827
168,5,3.0367559265595028,3.5727074534756196,4.184526693642258,2.707674360860243,3.0705044108532116,3.4823158034050254
3,10,40.33208155245673,50.70379331813868,61.64215158940786,45.255803414236254,62.488271764233005,85.74745866862189
6,10,29.702688570546403,36.623643159266294,45.173347901193125,35.370779142755794,47.98037713010991,62.65286245589908
9,10,25.087987659126405,30.002113322531535,35.897247666141176,24.356046565994497,32.02522458511519,41.398940301680284
12,10,21.191040306509244,25.748191399545426,31.117486149137207,22.0189606842388,28.33866604950577,35.733290645810854
18,10,16.923459357474126,20.364710743561353,24.868949302790234,15.006831802277873,18.245980575919287,22.228638196481228
24,10,14.332898767994077,17.28186171240327,20.400042130197534,17.09349697522176,20.99538204394483,25.389365502558093
48,10,9.297983657120414,11.40342537536825,13.961001918793787,11.676032254927422,16.009869941523416,21.623695957854068
72,10,6.8793892002202615,8.362132192065548,10.131482242260496,7.736891814650392,9.76429685248069,12.156177292790021
96,10,5.443329803462383,6.749499913189101,8.357144598708382,5.343990258781723,6.995564181146587,9.014540518145953
120,10,4.661615644255458,5.721105059305537,7.066131613194998,4.21877272368737,5.166191190222765,6.306547446045553
144,10,4.012768087443685,5.015478491551062,6.269076187406401,4.231770366079354,5.5342622385708395,7.097296848374405
168,10,3.6073659286597826,4.474851856880152,5.498799480722486,3.1439754389550565,3.7107795604254967,4.398757822340913
3,25,48.21864678831065,67.89672698792052,90.91262180558671,57.82574526514283,100.9667539615493,163.34664129409475
6,25,34.62734966310798,46.24429163145206,60.88996152467095,47.38866864920451,75.08977278905301,106.02836268170961
9,25,28.91280438636042,37.159420756174775,48.17647420885753,29.919277232888028,45.91033108828162,64.48750622037613
12,25,24.622343995612177,32.21925431387733,42.835443147821,27.218993316306594,39.64577490480065,54.333929450508094
18,25,19.476025289563303,25.525841228038985,33.74863487607189,17.720661960249107,23.51853852184318,31.972741050922206
24,25,16.741655455936595,21.538824177491506,28.00756163390613,21.573829168297337,28.161900185137554,35.52028515614861
48,25,10.820270772200555,14.509507210980942,19.03710296644165,15.669074047582606,24.04981784632037,33.49520486545997
72,25,8.165790608087764,10.69842953945392,14.200184125883023,9.764865768556795,13.749995124127516,18.38066546116573
96,25,6.455093036637852,8.63513734603685,11.54140955060019,6.448262426876285,9.842679793354991,14.175610505423077
120,25,5.524829091018832,7.463372024012427,10.160863949016123,4.942493370451235,6.759693747259808,9.329976534297003
144,25,4.744613143531121,6.634288636359072,9.15676913637759,5.321512514955423,8.163834764162255,11.57606052300777
168,25,4.375263370540553,5.92252252088471,8.007075624607923,3.614391545378986,4.6782668313353,6.082691339739419
3,50,53.36467914231978,83.97714828661269,122.64821647285908,69.17716309224507,146.8172206490583,265.25698858013305
6,50,37.39336203348619,54.39561093631107,77.39646701434711,57.712389293790324,105.0248876410804,157.3686896621083
9,50,31.45391884693396,42.972179162854154,60.26398005610406,34.43505683996302,59.90325634286157,92.21619412167267
12,50,26.90698251936795,37.57475602582966,53.83182471366737,31.665472840801648,50.67420443883823,75.3631671224829
18,50,21.066602958722317,29.791640039662802,42.10187149757526,19.411567663392674,28.25464301879425,41.579908431486935
24,50,18.35720714074569,25.004816469292457,35.48580189538352,24.467368518570236,34.62425857540262,46.767215801312574
48,50,11.80834021202958,17.13655029617043,23.883774402470603,18.90851140731384,32.18936569892181,46.1023989589185
72,50,9.02628633862342,12.71715465406573,18.131839220309235,11.123273277766902,17.642105435918896,25.276069566637435
96,50,7.3124039024654355,10.265611309133522,14.84121297545008,7.188712290115033,12.656324989056682,20.161613471448092
120,50,6.127083102932081,9.033630404180533,13.952692642246294,5.464263729790048,8.243795773201802,12.296230901291393
144,50,5.200383368189583,8.142966141365656,12.613221999512003,6.092572624533604,10.95094836092394,16.750555295836634
168,50,4.889074867021588,7.274272694437931,11.284812499149558,3.8999092008464555,5.54166259461505,7.834296124924041
3,100,57.95257397484038,103.42895809577551,169.02860145078478,80.15862380787622,216.1018447490914,436.9253469416127
6,100,39.80865718204048,63.45581012683033,99.40129236649432,69.13054345871652,147.05177389918362,232.40586466800568
9,100,33.43305230238569,49.2037790665251,75.37206910469435,38.54836444852328,78.09808726053737,130.41188311222027
12,100,29.420270227586578,43.40925306227538,69.41888944585128,35.77772358855333,64.61514536776262,104.37336758669352
18,100,22.401572098827153,34.4337794411457,53.139508439378986,21.17749838689214,33.84198964868023,54.36342205501006
24,100,19.716919311409548,28.72854880351762,45.14917822537043,27.521850021002834,42.24210110787404,61.97290220459958
