Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,29.737373342538213,32.941765848917626,36.14308680789966,26.04299443197573,29.043109707453834,32.05301571152669
6,2,21.86589532224096,24.357771081310553,26.681836461233814,24.19840890282552,26.84342821924011,29.6947659148556
9,2,17.599259563817185,19.83696646809083,22.039967309058273,17.47341828420835,19.656449340305503,22.220191385130377
12,2,15.205035826957683,16.836017858327782,18.450995220500744,15.76820579632513,17.943813628738273,20.38048929188801
18,2,12.107951831184554,13.416481788218963,14.80655118167013,11.229010509106269,12.366315047469012,13.780701257855679
24,2,10.033560158405894,11.302661797902891,12.617261196215182,9.188535799989406,10.321243940758755,11.478813942408836
48,2,6.344689661743573,7.04321448236394,7.889609666443366,5.033364518523539,5.558322182471433,6.162855473955177
72,2,4.915777304842342,5.4643935011489235,6.155521926620414,4.265456392696914,4.837939173966708,5.531069868098136
96,2,3.9842360567764077,4.458983886583242,5.02089004202065,3.86524643546408,4.339211967295331,4.923489103720183
120,2,3.493193198268723,3.9094177226902644,4.372158731582169,3.437332555610982,3.8283474751083943,4.307979398203365
144,2,3.18471061717699,3.5469290594289467,3.9411811112392208,3.014248097193044,3.3543419632793645,3.7721005718129805
168,2,2.9073581886558557,3.242577699081371,3.6369518526793407,2.6812632378435906,3.001575942620364,3.3831593604256827
3,5,37.69534006629887,41.37602091479779,44.979888390277566,35.038168050558625,38.57381765746729,42.035417781235836
6,5,28.197965625149706,31.521796649132845,35.017611927276306,34.08666534697541,37.73650442827128,41.387266623572366
9,5,22.966541159928816,26.000454186694107,28.779549810737013,24.185650988138093,28.011866131672313,32.28546025299217
12,5,19.725082764608967,22.301749962002013,24.885512032426906,23.288548823183916,27.48879986556812,31.675034565043518
18,5,15.695579248321689,17.85531587349047,19.935638294413046,15.053246923889171,17.114066871400702,19.7034310005332
24,5,13.248940168819635,15.341962700947107,17.381420103652676,12.317206594864906,14.17586422100873,16.24345702647237
48,5,8.165392929450407,9.531875150410754,11.023815299577933,6.790977388859684,7.861853079295127,9.241879124463242
72,5,6.489199131853088,7.428460672083206,8.513902613418987,5.843465239946717,6.907279744936338,8.314908884149467
96,5,5.234242400998145,6.116455001641207,6.989437401443052,5.199209544966623,6.144632419133321,7.303594132231362
120,5,4.575561321082323,5.30479142558851,6.017028490005826,4.640894715923134,5.46049208442899,6.375796424884781
144,5,4.149206266470422,4.79114213131319,5.474955445391522,4.091531397861532,4.700367848791167,5.4891705953388925
168,5,3.809938854898917,4.324601751243772,4.893651112790199,3.6656916802944015,4.282516411631663,4.944410649799161
3,10,41.52899543939574,46.032624196865214,50.269102527495136,39.52341788863828,44.17682878812337,48.82632993250801
6,10,31.886605786048897,36.00360151310658,40.7806688836454,40.80779249398857,45.25681296625279,50.12616499312975
9,10,25.99430773407797,30.04991863166481,33.79249008054086,29.556234348195787,34.738213940299566,40.448870112695275
12,10,22.260944855067578,26.108037914026184,29.774158211476102,29.973008138719532,36.22838344590462,42.00509459995211
18,10,17.916266432672703,20.98470046597369,24.171328080690785,17.427765133098465,20.958712120461325,24.867583400827076
24,10,15.359037131179921,18.320240007135922,21.50632008263377,14.303044698195563,17.235556340620168,20.89258041287931
48,10,9.384988742612055,11.460118713816627,13.51226614298464,8.006481550481231,9.864476337257429,12.35410331394278
72,10,7.419806553968402,8.915078769482463,10.431182225307008,6.9129064921587,8.574936902087702,10.479200318960554
96,10,6.13576004960421,7.40086144470011,9.03872371154889,6.113994723239816,7.672211665951753,9.56146358647463
120,10,5.248818453749148,6.37832600083313,7.589327266871264,5.519281967804349,6.94065468325001,8.649468664977638
144,10,4.759249077747372,5.712194554704136,6.692809042638885,4.840949554443236,5.823252691463187,7.06884872215049
168,10,4.344010849161952,5.126805698822265,6.000136580587712,4.377005527499838,5.363768067803691,6.481863515341775
