Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,28.020541429296053,30.58330753403034,33.872447013736775,30.527116837340472,33.6044016550444,37.33777040747677
6,2,21.999347500482365,24.474704488261942,27.045293456264446,24.918538444084987,27.488192677403276,30.03544401434077
9,2,18.56259924746864,20.270114386171585,22.65222615933995,20.446290612785788,22.639512646420545,24.957922397202275
12,2,15.623347333594438,17.380643779123258,19.272510655455015,18.08038030601915,19.782906506377515,21.612345166878733
18,2,11.819012565726592,13.236561169190715,14.838102356900464,13.222604060149404,14.736494794647392,16.40237458925924
24,2,9.801717167468635,10.995212476718436,12.236772868641626,10.912167164697784,12.07129059490811,13.452263045562063
48,2,5.88191771417132,6.562352835912437,7.463244882750914,6.699750391611881,7.471672528503894,8.300940280404767
72,2,4.228045562781588,4.747661508884609,5.328485587230954,4.4676908847496115,4.938256574666697,5.4612133279499115
96,2,3.4820907454445313,3.8483334829088327,4.268433196169896,3.771984009818868,4.133485057947561,4.517715175397726
120,2,2.9403996950908806,3.231081295638001,3.60527582906647,3.005191215790428,3.274866959118354,3.581694611674479
144,2,2.5998282673262674,2.8587804285355545,3.143927479765627,2.713964011111228,3.05936032228587,3.4791802972364705
168,2,2.337925652852624,2.566054917661993,2.8324891116765682,2.3218787556393616,2.573485780110095,2.8517568078287994
3,5,35.67331687942451,40.25214279800867,45.42999201552442,40.75131805520762,45.867581108909725,52.28381328478866
6,5,28.739351510571773,32.027115392744534,35.878394771432646,32.76567937370574,36.144807473255774,39.519001404540276
9,5,23.688047475791706,26.338308114379164,29.52252840501613,26.807985432050792,29.55679923371168,32.364137091912774
12,5,20.298376385567135,22.72167183134313,25.484299284265617,23.999280010637055,25.8721869017644,27.595487198799802
18,5,15.42321226025669,17.351301003038408,19.66241930910055,18.287947713905957,20.371145051139898,22.711703109315494
24,5,12.84464233558672,14.540380152053569,16.236031654846904,14.634975819622728,16.274119200716157,18.04327164249192
48,5,7.756748392092328,8.829995687162786,10.013377722894887,9.569599124641837,10.89637374518935,12.155171672874157
72,5,5.543042460331078,6.3579711872186735,7.247223810771617,6.327907701781099,7.182907794714401,8.008626907055252
96,5,4.508847713950219,5.045596441823526,5.685674263625312,5.071492764180137,5.712611037862319,6.4655757337917485
120,5,3.7491371369961017,4.292729361903207,4.904425136933454,3.94663445127576,4.423346006292294,5.070612584774043
144,5,3.3194763095420567,3.789485051119705,4.2784648854991065,3.887964488985701,4.662260571457763,5.557524044208837
168,5,2.973362236819074,3.3802634588101723,3.828406928719792,3.0317086756445186,3.504425938105657,4.09715797115495
3,10,40.763611110074656,47.535161602656615,55.1138515533183,47.32616868430821,55.527243970657224,65.06862310844136
6,10,32.59297607896792,37.29690788617703,42.846454735629024,37.86479007073447,42.09762887412739,46.181274588337516
9,10,26.60249931097385,30.401112270471053,34.44869330945702,30.446707258459746,33.810012820597066,37.01853689378649
12,10,23.008949985299186,26.291467750107564,30.11199601228774,27.410188736441683,29.533549982961283,31.528807024819514
18,10,17.42372523731109,20.153269322779938,23.243017043951927,21.794056367806764,24.42749508387351,27.384524805175005
24,10,14.716297038402365,16.918984285878476,19.53205015701584,16.988330238751807,19.153594057068485,21.71040158633778
48,10,8.885363028515517,10.470017727414845,12.214700137613004,11.915978119104068,13.652640167636939,15.305397094111605
72,10,6.353536807721632,7.509180758471331,8.787713826282713,7.873494122758915,9.144536884352261,10.38639759038668
96,10,5.115238630511763,5.888682370424524,6.774177704818708,6.072315656702509,7.008406113752385,8.100176387561385
120,10,4.298371375194934,5.11407529976726,6.058846818342628,4.675786984136213,5.407257279845547,6.355142085289732
144,10,3.794411892646773,4.504502742920722,5.285916681474536,4.948318311817118,6.207399852852295,7.616392319893194
168,10,3.3884223406681517,3.996379971030558,4.64666179266992,3.5999688715336133,4.3013444478414,5.254438876042387
3,25,46.724873393523495,57.880344151356404,72.01385331902591,55.12285584421572,69.99166054123647,87.96268391481621
6,25,36.49706267049753,44.2788565022078,54.58368729545373,43.80486078237027,49.93640633874166,56.26475099793018
9,25,29.445510867978857,35.586471514766146,41.82315459807337,33.90908821299498,38.876538993552934,43.22729163885757
12,25,26.030809404046835,30.84052356667256,38.139821012651105,30.82328722274743,33.80336511291286,36.528128766666114
18,25,19.627865730241655,23.78455772762671,29.236669742567425,25.628720852685824,29.991606021860285,33.76702687979728
24,25,16.600164681234105,19.960602793644686,24.60343240952369,19.62923894100173,22.934994560581547,26.924557799692863
48,25,10.032093252568298,12.714785066088506,15.478184636507045,15.249730272764907,17.83161985571806,20.5156488872769
72,25,7.174823547063335,9.068380942269869,11.296246617515024,10.324088186097347,12.356273822343123,14.465291435112366
