Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,27.11402350128987,29.511865497812643,32.28969650503485,24.376095890496472,28.501040138438967,33.98104023953091
6,2,20.08682918011519,22.183660513296182,24.29788704975288,18.520288457023725,20.94734283182178,24.037759292223207
9,2,16.49766635610469,18.422260030097327,20.487304559134856,15.276907290774673,17.126378313028365,19.502361654698213
12,2,14.463572620463253,15.967085931089384,17.75177420653098,12.513375592786641,15.101136492266502,17.81059004508413
18,2,10.956997905223913,12.530114878186925,14.001862652426702,9.817115280158376,11.432272911422558,13.165380019063866
24,2,9.576431972246475,10.68387162702929,12.10363853471302,7.8698398253833926,9.407614353877015,11.014953859552199
48,2,6.127125446877065,6.993805559353337,7.787583126461451,5.151483243204211,6.121553921905063,7.1629612234017594
72,2,4.562403699348184,5.0996220851477645,5.719911346623708,3.6383443496715238,4.227881432034085,4.957207550876487
96,2,3.5040938134758566,3.9892941133608075,4.451625536987668,2.9775830976352022,3.4832422980006363,4.021003871249805
120,2,3.0629664618801717,3.4577680745723844,3.8892559269120257,2.6509307418057926,3.181463090091187,3.7097499870744857
144,2,2.6316471389913647,2.9912187617296597,3.377986382728679,2.218578524166582,2.618478227480986,3.046160202640539
168,2,2.3917446014819053,2.714981600355186,3.088385501980484,2.0342663321698735,2.4450142678036215,2.8517078948039707
3,5,34.14759183766527,38.43708315295589,43.13353572019149,36.25531428901499,46.39826296229006,58.7415818344308
6,5,25.308008409820836,28.62058026476999,32.24080176306988,26.895340657689907,31.183744329303885,36.111152754570966
9,5,21.401375756754312,24.249442492191438,27.374343553914777,21.33113286486603,24.536987823634288,28.212180869983882
12,5,19.03324781607421,21.347971239216875,24.177462970036796,19.669242022153384,23.834421278877524,28.2104829921372
18,5,14.673539116275563,16.945921299209786,19.29602984583871,14.738767587782448,16.964650348678834,19.399607452724332
