Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,30.583987981561723,33.78426692134177,37.107205488046766,34.117374023063164,36.78980826854015,39.71919904942482
6,2,24.112053826607337,25.992860975712723,28.29506209747334,23.006563807762138,25.556319774767022,28.82623870213436
9,2,19.271581705329893,21.18974290634491,23.195113625233756,19.327106689976656,20.841927791182187,22.509611858530874
12,2,16.71060513745583,18.269471313949687,20.1607033087596,14.800756967400577,15.87604601162177,17.200914678574108
18,2,12.98522890224439,14.338627080707017,15.814293881844684,11.696912658222622,12.720128565187702,13.916760029478088
24,2,10.778456551455442,12.073223438817312,13.540115388357954,9.909692667717241,10.801616588328626,11.87793981381293
48,2,6.893463949584918,7.719886508246037,8.68066170303954,6.3162194898402095,6.974488332940382,7.799114332321379
72,2,5.2128929714751635,5.830103124436042,6.555984010494209,4.8839406829210255,5.346341846879397,5.8794267281114525
96,2,4.30822657186156,4.790543852789782,5.314174034073318,3.5537752716867255,4.060872883773147,4.601881662347317
120,2,3.660680043430024,4.08878589465916,4.540786821273516,3.1939791789769494,3.5557908269961422,3.913900677198815
144,2,3.2553824436248235,3.648979886310116,4.037204223722259,2.7369425192792747,2.9850039405347197,3.2739194230310815
168,2,3.010290520153922,3.3121177852022887,3.726791760462991,2.4969136388955233,2.7738569238074042,3.092333797380549
3,5,38.82827305149794,43.215764819070486,47.71265022937063,41.657058649069654,45.68915912183952,50.688118075556986
6,5,30.04787658451912,32.87784419435505,36.19476739266586,29.91557137609727,34.85684239956515,41.403823529774506
9,5,24.363103175285126,27.16116365443935,30.192559943743035,23.983062895831527,26.411055579899553,29.545510215402214
12,5,21.31667330973,23.62278524455351,26.734720075931676,18.696233992046743,20.708574061146933,23.021249410633068
18,5,16.872562996916503,19.10121463870031,21.362482688045763,14.902986744346112,16.561763870355286,18.53893065524729
24,5,14.210410817324941,16.19639094845273,18.319907421925915,12.906923827268084,14.321318914844465,16.217336680634023
48,5,9.1264767915087,10.403255114754057,11.747718673912217,8.698452271862793,9.921276584068352,11.271073925967677
72,5,6.809576869952796,7.839191726116978,8.924508189888467,6.5946353008047005,7.276015055759253,8.060436050164503
96,5,5.720548115586137,6.423196729021402,7.203554346275776,5.379032597374655,5.987646870611672,6.602284052832534
120,5,4.750080945479975,5.408109518720571,6.095057471102589,4.451079881697054,4.954806442634189,5.543917386437871
144,5,4.291690400595582,4.817077921241692,5.37671720414464,3.867441403615845,4.274263875160822,4.681569029682165
168,5,3.881809208018135,4.354282288002053,4.935093139208435,3.5814423983963897,3.9697730211263504,4.453414632653272
3,10,43.16186139597036,49.198860361243945,54.8021173024501,46.46193414805337,52.3802670778056,60.60838894044433
6,10,33.20591838154701,37.324065822516935,41.17964226670544,35.22007435479678,42.97401541732503,52.419491533561214
9,10,27.23331888943269,31.142027544872143,35.62170491871954,27.127899736564853,30.814473420771826,35.799254324327194
12,10,23.77607327731749,27.242369400104092,31.62047432222008,21.580329488240842,24.76100506716213,28.474929720524823
18,10,19.156951829883816,22.454970912931014,25.676804354159295,17.115740414376443,19.643700765118638,22.832900861768206
24,10,16.27282999240648,19.06807228002898,22.017079529191136,14.659695899726934,17.109922335556156,20.086248782909593
48,10,10.455381017650888,12.324721125216211,14.413944662632897,10.24926340813225,12.391893597694011,14.752782324431998
72,10,7.78207112294411,9.230541015331157,10.735582730261362,7.570048429609201,8.560546110682418,9.731708974915163
96,10,6.591618509103933,7.526208251150248,8.665963589971257,6.442724885717176,7.1805752029310455,7.955532661641295
120,10,5.334330989894188,6.308873868150105,7.306205283103628,5.226360195216246,5.880945034875959,6.686982812399087
144,10,4.879474761042637,5.609685206835675,6.469849613247032,4.580784257317293,5.137136611161183,5.731598193686357
168,10,4.375262588355788,5.060169948422825,5.875352423163329,4.144136411359019,4.704220293820648,5.38036008180752
3,25,47.485800704819376,56.47322625048277,64.94647681355065,51.9214509793933,62.00608301653966,78.03620865830658
6,25,36.75461811139954,42.81716729812497,49.506766591073124,42.28001253325894,56.29694921883366,72.06349351653719
9,25,30.198528100485184,36.20313451711117,43.80678031249971,30.762865450920053,37.4445555805733,45.809072451225894
12,25,26.457213439443457,31.90324660773188,38.8484010009804,25.4179618795148,31.19227099849487,39.09656885013956
18,25,21.67614382967181,26.935455236721328,32.93789288721163,19.595339977251548,24.347860270039845,30.881634344456266
24,25,18.486582186422766,22.866394628735243,28.14532364031139,16.710402879554746,21.3225557448807,27.53832151574177
48,25,11.742432047245662,14.931013499706765,18.41768433032908,11.992249957777874,16.320786585509858,20.833653280286157
72,25,8.874389077003821,11.061401709408358,13.357250180143206,8.613716182469215,10.207265081354864,12.300750982711909
96,25,7.387354808268633,8.945504272956118,10.919079915704597,7.444994012454467,8.609651176255559,9.764852278035212
120,25,6.03566095235898,7.479016558806239,8.979827705671028,5.965503887130736,7.060409091754597,8.235047033918674
144,25,5.480701344353963,6.633594268007575,8.0837056725053,5.327921222805702,6.245017555270616,7.21363222731749
168,25,4.906328784614278,5.970574463516268,7.144869821923101,4.648786511888247,5.578781781938909,6.5639992302920485
3,50,50.62009835368742,61.67131624065043,73.7640588052144,55.16921177351817,70.19716555771481,95.38903608919708
6,50,38.6410584058367,46.80419182891062,57.40086079845419,48.2075686531189,69.09562024811076,92.21088144637915
9,50,31.75928245007708,39.980444189072905,51.07160947156784,33.32237392241514,43.33453765174782,56.837067094995305
12,50,27.933772461314923,35.42522155847634,46.0387553293497,28.342222768230258,37.19315951542485,51.216155591817824
18,50,23.674056699562676,30.4440663843885,39.84833768150967,21.180937007709353,28.58460436943156,39.633903820645
24,50,19.922223590184018,25.812191734541152,33.78349247495875,17.887570122602142,25.08104782981431,35.824074156554666
48,50,12.465549516196777,17.00216844940385,22.488949616977305,13.15922085473456,19.998033872198107,27.394482390127457
72,50,9.466385119250807,12.474264276337838,16.086124893510046,9.202196565184082,11.45598534384259,14.721741071580192
96,50,7.898319846006947,10.017232785753437,13.068767851226823,7.9856841166592005,9.621877828556915,11.296679761084684
120,50,6.475245221395,8.370807065443158,10.613122603767467,6.406913524006873,7.94788740683307,9.657319820280975
144,50,5.802602011472452,7.40972219910242,9.6885260739389,5.774622714076251,7.08410051154442,8.530229447296525
168,50,5.196308121705837,6.659579804094948,8.446440434775237,4.931382441284624,6.1952133574004495,7.5984596082969675
3,100,52.86561335172273,66.66968875388966,82.65968573977467,58.28520550164071,79.42472044509296,119.83725447468649
6,100,40.361403419482905,50.68910768457475,65.56147662456962,54.50149935976896,85.02616040947764,120.31444833797605
9,100,33.136733320504625,43.749087344239776,59.147852201490934,35.82166676233733,50.21369308990535,72.06993841043112
12,100,29.19277227703091,38.976285176874114,53.82844749943477,30.603736590501363,44.49656676828523,66.61852697593189
18,100,25.023117145437887,34.09057827530642,48.21746658284018,22.770415893138324,33.59540838968344,51.97555203353731
24,100,21.008803184467805,28.84868960179356,40.49182776261243,19.042900122450128,29.490899826552386,46.92011319563042
48,100,13.303948403069196,19.181808930489236,27.428671938873862,14.239692847864852,24.487436984517295,36.58715480701338
72,100,10.011994607422062,13.92446396436438,18.83039526917008,9.771525689374824,12.72694527546452,17.32009777458602
96,100,8.338310185193942,11.097164706806446,15.729649359161613,8.423051276633341,10.592403569037769,13.062724939733542
120,100,6.828259132480765,9.276504450490378,12.417814023483846,6.822629531751421,8.844207373880467,11.236559322780115
144,100,6.047434385502359,8.194334514844419,11.642325208688792,6.189136149045522,7.935319187136957,9.99146412183789
168,100,5.403947270442389,7.355186177040713,9.797887609150438,5.167686611899791,6.784248779143895,8.758382701513883
