Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.558659227355914,23.46827718802327,25.3110409896896,23.621014868285446,25.60500861289765,27.61977203414809
6,2,16.75583978223271,18.041742676930955,19.62037394030482,17.058859557058998,18.626516784504638,20.52410194682059
9,2,13.605961956572045,14.73883439765914,15.844344786905136,13.756695672552533,14.779728100950424,15.965473348857003
12,2,11.729139849898486,12.679003800351058,13.778986253130977,12.175519642237724,13.079276403875706,14.048621905980102
18,2,9.30246256866184,10.161839309225659,11.136149712515657,9.926720671598593,10.734456298613162,11.72088410532326
24,2,7.996363150844875,8.64682564438765,9.402787368540523,8.373847047889937,9.087891691438914,9.862229086989736
48,2,4.953215070363837,5.403748353095741,5.904904036615656,5.004572832585615,5.505640624782455,6.04055897531229
72,2,3.5816632262923003,3.8958964179216613,4.259959877954251,3.578835858472353,4.00900566434342,4.525052003667067
96,2,2.983330918080103,3.247226423627522,3.5630255582550427,2.966141923772718,3.4371122556171843,3.9369699421794078
120,2,2.6593908006767513,2.879474234813637,3.124850911603313,2.6544126717186574,3.0389811247462326,3.4790909839947974
144,2,2.3709847306267675,2.587383921902033,2.8276474486056835,2.4277695566518203,2.763011152293879,3.1472439294919274
168,2,2.143217282599301,2.3379901148880213,2.5788468661419133,2.3120684907215843,2.517964151647226,2.7634073571660296
3,5,26.337601563297525,28.901079527666198,31.23776077050708,31.627408936738433,34.466674105467824,38.152207508235115
6,5,20.44226816261822,22.376656749630776,24.45287809446048,22.64384187946238,25.552557344363684,28.67277021122537
9,5,16.480165012020677,18.272989933503865,20.03565456504668,17.485732202535175,19.4657279102548,21.866624154155062
12,5,14.306736425551165,15.833871439234493,17.48716666085695,14.865566254578948,16.38962641804084,18.34225733540824
18,5,11.632481415875699,12.89575688617742,14.311843152665217,12.391053549398464,13.75864444344839,15.319472269623398
24,5,9.912570616743858,10.913189635241572,12.094943133414876,10.296005414946181,11.344111412302754,12.465188581467125
48,5,6.2067207736511225,6.855407793127673,7.564352157359924,6.675958607600334,7.460526925858726,8.247248602361402
72,5,4.451639744467845,4.963296407017538,5.478506392028026,5.175021860254845,6.0579533852031915,6.997215321139773
96,5,3.728558049218548,4.129863953565879,4.617918433547983,4.51763586782971,5.493714900494797,6.538168518005772
120,5,3.2741031319247766,3.6323953816509915,3.954360132042193,3.9666322333599586,4.697978771611836,5.44824267709418
144,5,2.9632487600192245,3.266543867122394,3.580688358870642,3.4759540807510136,4.113321722589041,4.756470738100518
168,5,2.67903359780625,2.9577921637626208,3.276322625381648,2.9420211438595767,3.2998047461257234,3.737458798423057
3,10,28.81597613296058,32.20713331158581,35.27176710806484,37.54023774790642,41.79895315713398,46.50047406367302
6,10,22.623443581400835,25.11829947157463,27.69816653778591,27.220668314082626,31.55089331794924,36.08512882721844
9,10,18.23406194921072,20.71174608090357,23.177553886506917,20.27006343539109,23.932454589074464,27.823335478487117
12,10,16.0036968665389,18.088801458991608,20.577707836444787,16.76591744496445,19.002268288280675,22.027590599751633
18,10,13.036195265002911,14.85244780500254,17.006404096300795,14.11652442438894,16.26759270632034,18.618658153562624
24,10,11.024548291455371,12.461020423102946,14.053623033525469,11.48904479381039,12.895726175319304,14.451412698417878
48,10,6.94331628169159,7.828131080591104,8.772001911077123,7.779475216721835,8.942159091010327,9.968563572205046
72,10,5.013447610556732,5.731741639922193,6.511274620783203,6.65986224138611,8.005745937077883,9.310742062363303
96,10,4.184392386735608,4.760942494367094,5.397785199091789,5.957310687527407,7.488260372796358,9.069552420218296
120,10,3.6673731038947914,4.13567253327987,4.626775306283769,5.1394866969429565,6.207317824461761,7.240496599000406
144,10,3.2853650739951332,3.716504887443212,4.17189262460709,4.302374123592502,5.319343889788627,6.1945492218678355
168,10,2.999401810110262,3.3812949383661013,3.823922532362392,3.346366482434592,3.903905792707251,4.550992480747208
3,25,31.207297051342398,36.079722604000864,40.79977571564548,45.949602236170996,53.20502630222774,60.81991433218766
6,25,24.761186220341223,28.4425966437079,32.4227472931748,33.19559980811978,41.29289550159828,48.725786339882035
9,25,20.020213420039944,23.910492112626834,28.153026916403995,23.753544959038148,31.907780658100346,39.012825268769326
12,25,17.811185514656895,21.14228776442604,25.200694391118994,18.710606367006385,22.927228616505456,28.362190473714215
18,25,14.517062559127293,17.50532241025654,21.22297106427734,16.14051718768971,20.20708148500093,24.5756700157692
24,25,12.377774965688328,14.472299311820997,16.99221697178473,12.874364930873941,14.947559797620372,17.50529555307098
48,25,7.76168314040585,9.070542864259233,10.672335246819372,9.163483194330333,11.07463497649421,12.711576991295889
72,25,5.593645873483215,6.779171388639254,7.980517451804307,9.08852621810466,11.444013621142302,13.445953032088571
96,25,4.656816791799958,5.615776566363369,6.76828219886996,8.53020149750028,11.07554376895047,13.515797608630237
120,25,4.078047622595646,4.777059988190317,5.569224816270637,7.068962955325464,8.765647489105326,10.257135450582416
144,25,3.6164221740018894,4.2853715976840805,4.945480329890538,5.4849595251007415,7.3344056637543,8.768498328828423
168,25,3.3125823593842214,3.931842089748365,4.705288955118064,3.8208340342344256,4.791580583916955,5.89419730918494
3,50,32.61456022043896,38.74806785684748,45.43013870237887,52.452802957551114,63.58231531331258,74.07458615022172
6,50,26.110733081957683,30.811770681057503,36.16370545641074,37.80491225716722,50.53382603531886,61.927332981920486
9,50,21.014835330989534,26.371200937816553,33.14015106883173,26.099324141237155,40.21239433558674,52.058088417584614
12,50,18.821198095986986,23.564891287785727,29.73614163180136,20.05434412529877,26.405082803952958,35.75198914556078
18,50,15.465571256198558,19.61257616084013,25.496473904061723,17.622722646248945,23.84309175425314,31.04692234233316
24,50,13.132951052014299,16.0055524263366,19.711543711478317,13.675739953389074,16.552955349241948,20.532814326613693
48,50,8.20308362573418,10.001980247419027,12.36406350840608,10.018499674220514,12.87947551644341,15.294621547946843
72,50,5.984251319220576,7.615475242064213,9.59014354558371,11.262753089565823,14.963868877603137,17.61485576211844
96,50,4.9711235129135725,6.294197363335897,8.124887802411106,10.837262447568115,14.813258782288987,18.228331739791237
120,50,4.292424348299532,5.256874093101137,6.415108748208141,8.710612368736284,11.286900573252964,13.391932945309723
144,50,3.8023953569816458,4.707634639973057,5.684833612635643,6.384227688611856,9.29737316599348,11.329512942569556
168,50,3.5481784393379447,4.351716909608332,5.480306377688438,4.114238169066553,5.559952550581151,7.326119306181649
3,100,33.728883664148,41.23604962489969,50.8948178157229,59.19745499229748,75.87800477910872,92.33889426159419
6,100,27.042211590171163,33.08480696390894,40.29641280184712,42.511460979298604,61.887565145702794,78.97952666557848
9,100,22.159659651530063,28.890201683232476,39.546082389618185,28.854626649337472,51.29569959268894,70.35340187324883
12,100,19.659899079588364,26.110877029831148,35.301666326750336,21.28557051782596,30.456714902941677,44.68648680683856
18,100,16.392163335308197,21.82938316995029,30.815574569590588,19.126819277711824,28.224194512937814,40.03167085152759
24,100,13.749768286463688,17.563073767831632,23.450163455678123,14.321009407060984,18.232560685279488,23.867684493198023
48,100,8.568656850592944,10.934831725896496,14.433745500004878,10.791937729653412,14.893107205961599,18.65059995293541
72,100,6.282570826355855,8.499128545256422,11.589876890549851,13.834285331342013,19.57170800491335,23.343222041526804
96,100,5.252794396301864,7.007352934926299,9.78742332833226,13.656796373058622,19.781117799530943,24.62360404659355
120,100,4.526661901246701,5.736538535788038,7.359816918285589,10.638273742972766,14.48202206391102,17.6185364949947
144,100,3.9447591482687026,5.1269864424809155,6.538502105726969,7.377001252792413,11.764088077049266,14.884831122807466
168,100,3.723754981077067,4.7783908601700595,6.426214980915027,4.399603132562394,6.435752317065728,9.083328544238649
