Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.791481189846607,24.346033118103243,27.670269060350996,23.8539264435784,27.57000322326961,31.63532561588054
6,2,17.011401943865664,18.90692421676097,21.152505086160843,18.1481011346006,20.920118028058795,23.95651463523379
9,2,14.048964163966929,15.597609779605369,17.552809036662474,14.106140241728948,16.032050390789102,18.3519013339452
12,2,12.31958615075264,13.69197896176945,15.1468973945756,13.04988449437301,14.645702520045685,16.367462291832332
18,2,9.63893925362979,10.779398726230617,11.954988049332433,10.0770482525086,11.426191883512486,12.868912230184703
24,2,8.173284553048664,9.095968989077738,10.099050680968158,8.375788418254087,9.285048339770448,10.238996573469178
48,2,4.918806932484985,5.55581292984057,6.175263432296704,5.206630008915502,5.8667520048982045,6.624031651296452
72,2,3.5950208714161223,3.9941134962339024,4.445203977856757,3.6083784139432176,4.036685189289031,4.480926796570996
96,2,2.9005174388721064,3.21586070184949,3.5639554289867172,2.785282796040979,3.0768364184400165,3.40498175469712
120,2,2.474777545386619,2.764879458084062,3.0572517533879324,2.584992267523104,2.870485579807312,3.19962337552506
144,2,2.2343338953751526,2.4887864541868203,2.750520535335392,2.174791419322373,2.402645243990356,2.648445507839647
168,2,2.021828784653774,2.233276288216002,2.484980700361093,2.0109239423470595,2.2154573814698657,2.443441845847678
3,5,29.7939395512943,34.82567819511727,40.17656169630902,33.56536443295377,40.16470788138713,47.195104357692095
6,5,22.401858712884497,25.6350961252891,29.924662491490295,25.960929082440558,30.621390294554942,36.12637493298641
9,5,18.428644217604763,20.79638053833582,23.447743771446653,19.55580189092668,22.372365109611966,25.922293425643183
12,5,15.850482277900785,17.933646381070822,19.941253685068197,17.54185875754891,19.62720926265457,21.921525564637562
18,5,12.595885547107219,14.072184030103173,15.517450588063372,13.536017472222866,15.027637052828421,16.516321011539752
24,5,10.570596252246979,11.870363165545928,13.047977293028165,11.160188126637252,12.174359946587966,13.272375511022386
48,5,6.514349484247942,7.163482181583747,7.83192297718594,6.96880775824574,7.645305646985914,8.327248180362481
72,5,4.651815765566768,5.141300535107929,5.6355863013154135,4.761747293760669,5.2393759466768035,5.734175810910902
96,5,3.7510806762992326,4.154060215538181,4.626914912269926,3.631533079339876,4.024982936138942,4.455804131184271
120,5,3.1868975807772886,3.6275341863701156,4.050241141341244,3.4701348439163864,3.858603836230716,4.288250477612209
144,5,2.8867711292126588,3.2417991192137245,3.612160969890912,2.912045229209972,3.2493033776589204,3.65972680114103
168,5,2.622684905843815,2.902136155219008,3.1905912457491588,2.6062396478304364,2.8898072523539167,3.2322318610587075
3,10,35.46780812507793,43.883092821871436,53.80420611698874,40.20500175577111,50.140032791736104,61.658575632125405
6,10,25.95909018764499,30.758178591822226,36.95372720632227,31.279883269544065,38.09785227510655,46.46708931255377
9,10,21.183610434163047,24.51770744474458,28.279582623157097,22.747058797513823,26.69833851341012,31.211006960983795
12,10,17.957970112282986,20.69965089838239,23.49631166117775,19.844488499538837,22.609498930887387,25.337737182480062
18,10,14.192946678810006,16.084111756515778,18.011223640363802,15.287170837002108,16.908984669282916,18.536629795619312
24,10,12.026136055170817,13.490544917079216,14.879530301172071,12.529071851908885,13.65753055690374,14.918337633172161
48,10,7.305342328286194,8.02177510578446,8.805675997140543,7.757474580041839,8.487278437582077,9.176859725226358
72,10,5.197848550233912,5.775693798923844,6.359383933681103,5.325466825827539,5.87910330512764,6.426535692845217
96,10,4.235599319334549,4.7144391390597065,5.30013670550484,4.100128476026208,4.60479010946791,5.1319216348761
120,10,3.6230995338387144,4.189513582867131,4.737855888851556,3.975548211917122,4.5238776649432415,5.133973689168011
144,10,3.258368842982109,3.712341440446635,4.204647410389401,3.3557052824008347,3.854700206413794,4.420661051918551
168,10,2.943031653094633,3.3205587902147844,3.718950607160263,2.9421177821805418,3.3508257169758155,3.799087174862959
3,25,42.92012162983234,58.48449052394248,77.98010517871641,47.05322152629583,65.21815341411845,92.59284729846047
6,25,29.679429168815467,38.107587826688544,48.77061249966032,37.6497159260843,49.079517013760984,64.08071141943384
9,25,24.04250337863096,29.563706494001195,36.25825344827599,26.760202614231908,32.3765520227231,39.16197321170455
12,25,20.231210936233147,24.146988508416932,28.45967371641177,22.211569075625434,26.08812665445621,30.285768537095038
18,25,15.703566714046966,18.44937864141281,21.520008592333507,16.73882813660316,18.852709766260254,20.875210518729656
