Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,23.306415608076122,25.512658655666975,27.820398748582086,22.924954123594308,24.96537882252322,27.689958437190157
6,2,18.130240780243557,20.054550254649516,21.916742732143994,18.188438633764818,19.96300772954539,22.0148627270544
9,2,14.97465176915118,16.75454588895598,18.750049426870948,14.642854211511459,16.46920023544633,18.381834638263015
12,2,13.176925490713067,14.808738972996547,16.617644530051784,12.70821481501049,14.096818288761991,15.782990116474142
18,2,10.76226942833826,12.166690269148845,13.597676701792157,10.619932961448876,11.852196078464502,13.155210027861454
24,2,8.955342734454934,10.127570131565221,11.219068111226186,8.909279953404848,9.96374709284193,11.296915097788563
48,2,5.610440911845156,6.314151770423932,7.115181011037915,6.332049426346078,7.17777282953786,8.286639707819354
72,2,4.250599729767652,4.752831097637903,5.350434649470699,4.566622839963435,5.3144104285123674,6.238579393118183
96,2,3.504583117646372,3.8974689943920016,4.3264590087286985,3.7164315747577787,4.30227328044822,4.921194742943209
120,2,2.9902235211250905,3.30420803460636,3.6686468900921754,3.6977639373642672,4.241382173679411,4.8623768357697745
144,2,2.666395739282535,2.9264050776204984,3.2367579937316453,3.135691054098584,3.4608481325493905,3.7813760440021476
168,2,2.4243107129836354,2.640967591932154,2.889021879779185,2.708733243189399,2.9376132813218723,3.179068704014214
3,5,29.024975424195794,32.788497799412156,36.65584301436432,28.71665989035631,32.80393416728309,37.919598349481646
6,5,23.408361424845495,26.408856319384356,29.732462586972623,23.53743978491411,26.467241763066024,30.146648815109067
9,5,19.619838684500685,22.478476024298914,25.722193388426092,19.727890602030442,23.096306319763013,26.964347447036186
12,5,17.419474258439482,19.999359134030943,22.68500318131952,16.841474883766768,19.2785569625732,22.078308130196802
18,5,14.640899373487006,16.606975659931027,18.73953517124798,14.175971211105143,16.265456170756885,18.527622027197307
24,5,12.237758845020092,13.899200575721071,15.741261818711461,11.883685261706468,13.52625733885212,15.57397999879317
48,5,7.544393291652709,8.802376373718781,10.247915663809971,9.97804604917322,11.923826767525629,14.193723539268596
72,5,5.683376632878078,6.461792342666959,7.325129925755684,6.978795604060435,8.602106603117633,10.632794045253071
96,5,4.595357969147583,5.171156102874375,5.833033670724386,5.891172739721156,6.953626076166605,8.097220107963116
120,5,3.8617778581217075,4.299685782804286,4.863925141135047,6.035051018366337,7.091435260313539,8.154260862124865
144,5,3.388797172364478,3.734990461619197,4.132820425960173,4.574247703636958,5.081592705925102,5.552361126750955
168,5,3.0207952411406165,3.3243920146465364,3.6380762722254874,4.013314583291864,4.343567079557505,4.662585899621407
3,10,32.582387839509096,38.464533051958924,44.40165132758554,32.95154538988559,39.899610987214466,49.43959764679067
6,10,26.938256289801252,31.0471431463628,36.034555309846276,27.04026522805031,31.662720633296495,37.019424789613254
9,10,22.725778517561423,26.713925925678886,31.526103427976295,23.245406077081924,28.679121350069714,35.1868826242275
12,10,20.063405190592583,23.649657520695044,27.436455207999412,19.466453882324416,23.45363242302639,28.246638734169778
18,10,16.818648900350432,19.560212448696387,22.735826068917383,16.45895013128081,19.681454389664527,23.391432631695665
24,10,14.119871154761135,16.459686591709904,19.26034902681032,13.671816597483215,16.127909254887232,19.048939500408736
48,10,8.856323764383298,10.634846992789333,12.814735282681415,13.303251955331104,16.618762667269596,20.15738286852745
72,10,6.61755210567198,7.663607491156201,8.909702422606458,9.026010034556741,11.745827615389015,14.875942205394283
96,10,5.234339087798335,5.999385548109304,6.92783427938987,7.6983064448292655,9.309985807589179,10.922636946302529
120,10,4.337683413166065,4.940700973208126,5.698450941564667,8.113396813335893,9.542826299329265,10.855713419156544
144,10,3.7743522865289885,4.256651290176807,4.780832890201081,5.764820042813577,6.371363977766457,7.01122268967787
168,10,3.3684611421639055,3.7558155691401973,4.170342085556655,5.131859555412177,5.529606741707565,5.949145093188938
3,25,36.566857462325906,46.79000771241739,57.334714213268,38.554916584450126,52.09914003753612,74.10095031806439
6,25,30.809602182065458,37.4494104481593,47.195013667079564,31.446305662356444,39.553885461246075,51.215553397003745
9,25,25.914117033978926,32.63318772403364,41.05424882045877,27.49751924834023,37.60524929123641,51.49733165952828
12,25,22.8658006341808,28.520410540438895,35.44665291268528,22.57242950143679,29.851058926338794,39.459137128816266
18,25,19.260421290478554,23.30694936217776,28.4537094718944,18.857639560892277,24.72192967067238,32.01542540240442
24,25,16.08064704436622,19.768860890686607,24.51685779073498,15.800871236091444,19.76857761170083,25.187613580360527
48,25,10.347310319686589,13.184779157080499,17.122503161406932,18.76020620094772,25.245836890682625,30.8020968473741
72,25,7.594253945418229,9.267229830036136,11.533469328174657,12.1020870223076,17.352705065613144,22.56830944848722
96,25,5.8073006655848545,7.029003072014271,8.478718339388763,10.339276438605406,13.218485627851638,15.740951166599205
120,25,4.845382977082419,5.73059621714777,6.792011696999796,11.522262157736229,13.485152845523633,15.066243072735743
144,25,4.1649356524067995,4.90057103612714,5.650588214357309,7.411343988826836,8.306079674497063,9.311515458541844
168,25,3.7034109845130123,4.278043014004722,4.869969014519949,6.803368363583757,7.403241753748855,8.003221300148788
3,50,38.783379802036364,53.923758914127006,72.44771698975367,42.094593984264584,64.47501313530633,105.51174838750305
6,50,33.239790940137105,42.62367039250063,57.8922764085077,33.98440546930789,46.62049025947375,67.18494827572005
9,50,27.95495682778283,37.474707320730765,50.15245620356268,30.3628180701946,46.013712141217255,68.78639523489957
12,50,24.521061198545127,32.33017088715648,42.84485193817666,24.8593608535393,35.63279534443796,52.150059568029704
18,50,20.79677948724013,26.097582155507006,34.248211690576035,20.63168716328693,29.111695802175813,41.2094945599304
24,50,17.317257483814263,22.278317803367358,29.11696805487002,17.20338903969128,22.782584307141004,31.25428179973153
48,50,11.269708150457976,15.26176656708736,21.861622138456987,23.632910786833744,34.43750273268051,43.25544848033619
72,50,8.078382093041647,10.521526978506145,13.666746485920402,14.433614874805897,23.168938874619457,31.38271806368025
96,50,6.1725212061138865,7.780860781414059,9.75676560965979,12.972803388206714,16.992605634340944,20.38382429107974
120,50,5.152185277050877,6.302475470189627,7.861116098634215,14.546613431833727,17.18002835942057,19.216370653223816
144,50,4.4209188583267185,5.367542015547876,6.428506046976471,8.56090174548261,10.00559657124426,11.616422833858243
168,50,3.905042521617349,4.649613629763122,5.503175381414635,8.130771132155356,9.129830845225753,9.98444755777134
3,100,40.78756577578389,61.929505690035484,91.83427428715899,46.12588853162946,80.76636636624019,151.51899515444728
6,100,35.41476533467116,48.147753960099266,71.18277560164287,36.92720522879127,54.929449431051474,86.81764631547931
9,100,29.609718410941746,42.69657818272251,63.58347378960874,32.88061835756775,56.35079492998241,91.34657600519283
12,100,26.285488417110287,36.28572378239383,52.589692633200755,27.181211637656943,42.48887983107647,69.26650646052569
18,100,21.90136897098112,28.87698621902847,40.565945992063305,22.235246399774145,34.150439404536776,53.79302856159386
24,100,18.325847721388158,24.816141300375484,34.67927582011763,18.403832321355996,26.096662791049813,39.55150744415021
48,100,12.144175147191085,17.49398154451493,28.492170262801487,29.53695392188401,46.912507673119734,61.213716967013184
72,100,8.550661962811901,11.82381558775758,16.46372618930821,17.161117902109343,30.890446977568153,44.18712812870192
96,100,6.521710776785582,8.517232302262174,11.20081806647882,15.978877561911315,21.69301297956805,26.46472991413812
120,100,5.384421663795779,6.858517455928498,8.851106129220284,17.77664273580129,21.663677038814086,24.38385985977002
144,100,4.631291780352837,5.822222460306125,7.255021743766942,9.757902896698381,11.959256295627002,14.432329080665227
168,100,4.089626300595868,5.005609360435489,6.239059352138163,9.639055676248798,11.195033294695701,12.539268580307038
