Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.847704509920497,25.20314603697087,28.631985181451498,21.254709828056825,24.010915487653904,27.070214034550993
6,2,17.44011433626467,19.451271453626973,21.995469846351885,16.373056634089743,18.209986272173197,20.11504020290623
9,2,14.60577650780094,16.347124036625797,18.68797214081037,13.43681650078479,15.001187966078358,16.608190762968807
12,2,12.237214954317214,13.861056596001887,15.554739393560595,11.26490270250179,12.517332825020375,13.829816398183077
18,2,9.499938242717121,10.757643541003432,11.944456596699107,9.220018174439705,10.220615961595572,11.3170879470355
24,2,7.853580389275546,8.820289799529228,9.904968610585264,7.513875594164977,8.180485954182965,8.934483871915884
48,2,4.440043895442498,5.043404612846819,5.659023105912432,4.362884087155532,4.835533034165684,5.294491545493166
72,2,3.316375728208591,3.7295362174778544,4.195304634356942,3.176340618140829,3.4557535779564192,3.7630236998511792
96,2,2.661822362709632,2.9690620717572527,3.3384489396231825,2.507223475503848,2.7053441319120184,2.954333061073207
120,2,2.2616382571075775,2.5398285837764316,2.8379544951230447,2.3027209749939344,2.5295506004362793,2.760750109792929
144,2,2.012225631736559,2.247500087556251,2.5038102320908813,2.0374504081146636,2.2207097753158798,2.4345411552758502
168,2,1.8050051581331275,2.007827345133447,2.27170158809464,1.512554404249925,1.7904060203747627,2.1362045774553944
3,5,30.27190083844236,34.113526738731096,38.74001145759841,28.939784859684536,33.31374868668373,37.75863334464337
6,5,23.440937758888612,26.75711357090681,31.227965312530664,21.795881733978,24.743119243206444,27.825119399175378
9,5,19.811012418022788,22.45537756147047,25.842324366545306,19.052406860211303,21.55523681373994,24.364198805279084
12,5,16.53247750415356,19.070630935609053,21.42371157249361,15.425769646655581,17.600301802526324,19.94582668073741
18,5,12.706456702488211,14.66694624170486,16.691214894545116,12.418922385305095,13.888512833986296,15.496939543187015
24,5,10.535296743732143,12.04216252311532,13.780152645719852,9.864668775422217,10.911783353052021,12.276710186644117
48,5,6.027484213294217,6.910980055772571,7.900061129346749,5.638734044647318,6.504881341954362,7.371556688481052
72,5,4.451118994515586,5.024861770846868,5.737122118099251,4.075199916622516,4.544593871287116,5.014082378161054
96,5,3.5690280722350725,3.9946858688141393,4.54184261983958,3.1606322269314013,3.4766504670055056,3.842604163719165
120,5,3.0247993253323675,3.4096219574901303,3.8534682511101335,2.9018082957911693,3.230892516765992,3.576917693512173
144,5,2.6505414451327214,3.0142722350131974,3.374322458428739,2.5401808927633374,2.82100760916669,3.1208657239557063
168,5,2.393391547089363,2.7150942429757245,3.0987319668564126,2.2700833167061307,2.768299818519151,3.254847556069972
3,10,34.568525153458204,40.04338446901386,46.24034375870801,33.7727191886246,39.914320394654325,46.14903183839177
6,10,26.916440220716453,31.85446476161212,37.76985075640751,25.52736037597483,29.596102184259973,34.59567276642427
9,10,22.96697106442695,26.594794525583794,31.470250407832236,22.8989815751305,26.692718467790048,31.16068301797757
12,10,19.195700135164714,22.57810443904886,25.890929252714855,17.960031476892265,21.455934936375776,25.199640675090855
18,10,14.771486593848678,17.36686351125804,20.371435739078635,14.403139434822227,16.522339447667537,18.90107979481782
24,10,12.18692354890672,14.297141742824444,16.86550587491778,11.413297836565704,13.008736068083216,15.058320205416392
48,10,6.900705716371752,8.19114406012244,9.722893474496374,6.46939703459414,7.749980524473565,8.977468182281713
72,10,5.07759895729646,5.88486442300362,6.942099213396247,4.7303463870832685,5.38298083097098,6.175455074942983
96,10,4.1170420131083985,4.680204368484322,5.401560754861359,3.5865452048812045,4.019809384838673,4.5318127198300555
120,10,3.477967535382292,3.985224266963412,4.623841170182313,3.256974210083155,3.6967612989118974,4.1478478823410825
144,10,3.0291527283723276,3.512238151244765,3.9914654566700314,2.835044505948313,3.2036019556706803,3.6014535660573133
168,10,2.7659926255832357,3.1838775091192737,3.732734227931319,2.808356598963541,3.451332977350094,4.066660988234294
3,25,38.93973153115097,47.57059941981353,58.016226644003154,38.60118300032018,48.90657823040756,60.26700707740238
6,25,30.707872386399778,38.60747179990715,48.24659329992987,29.802172434480653,36.48237350722998,45.1414613012939
9,25,25.981087999207652,31.93600092257326,39.28398627848578,27.291953128298395,34.341123882504625,43.20014750568331
12,25,22.121930986195263,27.077328953856345,32.933320292440925,20.909864460016813,27.032256615967967,33.94859344205823
18,25,17.093585525480236,20.910877917776176,26.32475129872552,16.786545607059242,20.134194046819296,24.110065304969044
