Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,18.06115927190587,19.936577664862874,22.055368672804057,22.802640591854935,24.428610933387887,25.986811602877957
6,2,14.327925270964926,15.572480956993147,16.94153917969346,15.88716886530706,17.51614004339474,19.151624726635497
9,2,12.222707689307615,13.279835136316247,14.345918648204886,12.410495270929239,13.384768110839175,14.536300568993983
12,2,10.814919308045717,11.59680567582109,12.519492902827164,10.77908465108023,11.712555674280974,12.716632115077921
18,2,8.621022654757155,9.259726698834903,9.954955936479914,8.262280367782791,9.018660993835828,9.735134665517812
24,2,7.1601248982893235,7.7381030805843825,8.358068137776714,6.730701841309991,7.211502559120117,7.789662241748766
48,2,4.5199702487690905,4.8690678406555135,5.285337587104218,4.3692428749591,4.845673089021862,5.413558359357527
72,2,3.340546878494611,3.5790967234787026,3.8569233375172605,3.3340168523755906,3.5806376937479856,3.858944642348831
96,2,2.657275875336513,2.8634407176694636,3.1118417094311086,2.7225596917983053,2.988376205729712,3.2864792767329423
120,2,2.221814114466961,2.4246211516787683,2.621009445664269,2.337952257534013,2.542252767174502,2.7875654710554114
144,2,2.02555346647447,2.1928110520809434,2.3700461072772185,2.0867034371715967,2.293598627107016,2.5347353362593017
168,2,1.8406494278566239,1.9935716017600664,2.154207148020469,1.8392355188561882,2.0191642712394184,2.20581865561071
3,5,22.88490314349127,25.904739523092836,29.19637518338878,32.574738021042165,34.92300743936274,37.29842294342211
6,5,17.745111803567006,19.324614124939032,21.228454013163113,21.615931223384834,23.659406754708584,25.553528489385627
9,5,14.964393425843348,16.135472505128707,17.3481271729955,15.803966987240209,17.0880911582218,18.444879208794262
12,5,13.061777832687106,13.99511111517015,15.124085199173951,13.778125134775259,14.987244171155925,16.054514161612964
18,5,10.317344376996308,11.093475300255319,11.85650891022104,10.34585080551483,11.189005846463044,11.995846004111442
