Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.24807557088394,23.7476834596642,25.61913247742804,20.81612747555998,22.505706371614842,24.834209703461347
6,2,17.61830995936095,18.9292365626236,20.45217921204307,16.9859042089089,18.195072951081606,19.407758552669442
9,2,14.545184935926766,15.701071061568637,16.93905135354864,14.109302181454993,15.052605626055827,16.108294400667862
12,2,12.620877024191639,13.582198796751403,14.697910922182633,12.803650880768638,13.705772084392695,14.610976742803638
18,2,10.067955629724642,11.023828293688595,12.01450576703134,9.969118050911622,10.676466529395217,11.548573077769198
24,2,8.531188009214912,9.399434869665619,10.265774887098342,7.939032584567828,8.64546787975307,9.419015526857397
48,2,5.832756078435864,6.473131268018614,7.12614845100585,4.952916487459864,5.335786694631376,5.737957909884097
72,2,4.441542700751175,4.887878653959624,5.368223792399182,3.350792783622098,3.733078705659256,4.108032514574326
96,2,3.6163046139695068,3.958678310734294,4.333184738763656,3.002095441227918,3.259735041288656,3.5347975849860003
120,2,3.0170226297178075,3.3259180990117088,3.649772900656588,2.5056780296798506,2.7795304957936398,3.091387374725839
144,2,2.6618195691738156,2.9146826226812537,3.1602351069921983,2.4122442403897733,2.5860085429216517,2.7899489638953074
168,2,2.440909916268323,2.6384485282936607,2.8689867125587796,2.1424628254042113,2.3082762684218956,2.5078404467172333
3,5,26.511533640310844,29.429758221767692,32.61893900502753,26.467958500719888,30.525964917333233,36.07442864088034
6,5,21.176185421643453,23.134383186642694,25.202930400622364,20.964742257075656,22.98955452650868,24.95695859265389
9,5,17.55696380572984,19.26366299792064,21.09973710544874,17.085065504184897,18.706675891274934,20.364457682604158
12,5,15.42170360817692,16.699525349678,18.190763209376428,15.70270022289965,17.17744931481047,18.65147330157268
18,5,12.586123009395518,13.790011530958811,15.073662292077795,12.593934036570904,13.670690988164942,15.073179629186916
24,5,10.754541461575272,11.858054702621171,12.907539797913927,10.343579243548966,11.459684815691409,12.657193350063382
48,5,7.536356026269907,8.28521914326771,9.07182015463029,6.428059660671195,6.97660951476527,7.561629928844848
72,5,5.6548875201582565,6.244346829198803,6.797081841133707,4.71276113671895,5.221644755719973,5.744066306709648
96,5,4.562356736386587,5.019856193704962,5.5584064682221515,4.008353079164452,4.337175355057847,4.672951333605082
120,5,3.816771171877555,4.209324048634703,4.6411224568963245,3.3390862581200387,3.7753381640942516,4.306340964790789
144,5,3.3242281684544066,3.641544919300437,3.989917269465091,3.0502632195454784,3.363979748090753,3.733328296622176
168,5,3.002465885062724,3.2883041734043132,3.591749543652125,2.732560424656765,3.0074011567873544,3.3215626195452046
3,10,29.5018228449282,34.09480711621902,39.04942632467264,31.101258726588917,39.273563712602396,49.302686937874526
6,10,23.0896173789843,25.876958168870452,28.64483450634946,23.29726111348834,26.88979303876465,30.329498139441604
9,10,19.281303750575493,21.53191888332364,24.028973052204613,19.170938486626753,21.398026853434367,23.96403552314124
12,10,16.97091642612218,18.602769319646185,20.61496815499833,17.672092626617854,19.628664786795337,21.84903406928011
18,10,13.876063210196694,15.405919184130857,16.94838683839458,14.227727385690548,15.864060544520758,17.88846229285066
24,10,11.847311070243013,13.26918707898351,14.53942772743698,11.723138408874954,13.64412236262832,15.335268904074383
48,10,8.476232615971126,9.321287957392485,10.181267192705453,7.574232400858534,8.262693745778366,8.953345116216916
72,10,6.36426258682013,7.059717644980669,7.749841058952118,5.559130849278932,6.179202270590418,6.905640354515453
96,10,5.105397474266354,5.660650892014826,6.3309842097394355,4.663851129011921,5.10210998630638,5.544464048133888
