Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.09256297231142,24.50096250627187,27.485139881342114,20.221074415495092,23.53657133023983,27.509900671368698
6,2,17.03908389128827,19.17110456675974,21.588612346697758,13.063696337916355,15.176107907862002,17.816931482188416
9,2,13.782406649350143,15.592796411833131,17.29821441479245,11.608961641969922,12.93016399570774,14.438970928095033
12,2,11.696364738916579,12.974378066054424,14.454860395329245,9.465136557455175,10.610839262519468,11.913951108553833
18,2,8.860260505223907,9.882434080825256,10.986769021728303,7.853132019432207,8.712210691986101,9.682602798458312
24,2,7.1670614700662965,8.10411771009766,8.989506826420289,6.41409850554203,7.192644028998027,8.287238604887364
48,2,4.413440926638708,4.881749984591564,5.49137911368895,3.9567770029990568,4.697173487001873,5.66265951154125
72,2,3.18795016577711,3.5174213095722564,3.891517477404325,3.1499434256110135,3.5027880518514207,3.9433654416402213
96,2,2.5916746604814493,2.849284917782929,3.1924703362342886,2.248680626626907,2.6212167642571687,3.0101652051780814
120,2,2.2293333105993685,2.449596301960204,2.726309713146496,1.7584114049697992,1.9679886629649823,2.203662166089829
144,2,1.980152819404881,2.184784127739273,2.464289648904502,1.6805324967207276,1.8533984789328628,2.0331943061586126
168,2,1.7522883867760148,1.9645143123859832,2.178637025041227,1.5329002994410996,1.69208882787208,1.858897674270016
3,5,29.16208004704064,33.16143713948415,37.6743147749847,29.916529664155085,35.84478995605083,42.945572719572034
6,5,22.48047027324649,25.727027856238195,29.151271710222836,20.870021867952865,24.154956706580656,27.959089260512698
9,5,18.354652261802414,20.620214538346467,22.895599126249216,16.910327879817746,19.131611215183817,21.632748661501676
12,5,15.285381151310846,17.159252859101528,19.43755370303812,13.693251888834332,15.59599568860325,17.647793195398492
18,5,11.752757682244914,13.172965504375153,14.984753558043835,10.757491989318002,12.034421706941606,13.528397389877295
24,5,9.49147548127555,10.864887132162513,12.105371475694344,9.205323444925424,10.634959530214797,12.472414635460112
48,5,5.803213250064917,6.541001481287003,7.352910026475712,6.375128868474176,7.4610914822585865,8.785629198083344
72,5,4.146647975594152,4.632994023840167,5.221303749297152,4.560061695382012,5.123582054177437,5.752396919240295
96,5,3.33564759195961,3.7345669441729097,4.223681861638614,3.342432435647396,3.8754764188279314,4.391066065459164
120,5,2.8452361364216636,3.1862204220050687,3.6042392621629666,2.5517323714851354,2.8487783874745376,3.1779442890443175
144,5,2.589733016134802,2.884294178399948,3.2794481346968354,2.3687909377132557,2.606007186559083,2.8903300324756707
