Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,23.89793349141198,26.849129899321174,31.20801585446165,23.28015870659302,27.45787432472426,32.79905136318268
6,2,17.682895394534583,19.983353962789792,22.731666584701287,17.64290197980884,20.029260869896074,22.57077930083305
9,2,14.707285198724497,16.568930511756445,18.81986834095476,14.812145065585753,16.514994899098944,18.334300726662946
12,2,12.398748364393018,14.047078443393776,15.887882372986677,12.756008141681475,14.296651447689092,16.140559715828154
18,2,9.289390281860062,10.57027574709932,11.871091850792821,9.149919923419958,10.262083405154415,11.423054648907737
24,2,7.6581739056414495,8.644876435051268,9.883338799461926,7.303344749938407,8.348869886109403,9.483709604758213
48,2,4.3999894464734215,5.043576127321339,5.8326232156197,4.107129227330196,4.90509376417179,5.81943949291966
72,2,3.295339221336917,3.8066569922040943,4.379516970211644,2.9489144561646654,3.5231835811867924,4.193952345335688
96,2,2.7376847426779247,3.099241767305566,3.5394128920862,2.3460162192270664,2.842493521251719,3.521830804603301
120,2,2.361139710216571,2.715524947776109,3.0895980556932656,2.161563970081932,2.55173572250465,2.9931028546260223
144,2,2.1447489132272435,2.449857918040636,2.825368051238762,2.1057666748097357,2.609015404282512,3.1619873111237005
168,2,1.9341177353260446,2.2177800010207394,2.5215396357310977,2.1782970410543494,2.5610549840106773,3.0137201576378474
3,5,33.475454579299154,38.895426897743526,46.6605470365685,38.546537607397454,47.660690723818725,59.7318262511444
6,5,24.249049999063168,28.183521259611364,32.860899330971634,24.1019580645115,28.151666783914607,32.38891296964586
9,5,19.905794073360813,23.082652325750818,26.625262965733434,20.010594317113256,22.64882959986484,25.231911848363275
12,5,16.77721685628311,19.44980331909008,22.352681963050564,17.85758215033161,19.962213238642594,22.67008309772789
18,5,12.497495991677315,14.771866550671444,16.968580239007057,12.497306814814248,14.166883534612534,15.83853393848787
24,5,10.307756260197841,12.141895870783568,14.132214519540756,10.74723554783985,12.68695537886785,14.771164505581671
48,5,6.158133824408736,7.353707638254106,8.66900182933363,6.330724505838846,7.692215774954503,9.348041075925435
72,5,4.628501151153769,5.528292405883337,6.637140492670099,4.880256073947894,5.902739894318845,7.178328406173243
96,5,3.7543904195039364,4.440576755279822,5.13785766596377,3.9389043297973263,5.077328878983048,6.520785053996978
120,5,3.3476359565071614,3.9065162889070537,4.5017060340123205,3.4313604857877307,4.187599977373221,5.060840900067636
144,5,3.0253214109969875,3.5229488571975125,4.096611798363287,3.541819837391416,4.610019041100864,5.886873914056168
168,5,2.685041039688902,3.146874510235905,3.597290223868977,3.4371406569749823,4.2174660884083455,5.127428319595977
3,10,39.84041511532111,48.545992089661425,60.731936131092866,50.11681427390151,68.10461125668671,88.74545939551086
6,10,28.426479989722807,34.48115662789692,41.239901754620604,28.11864771551196,33.92460304955888,40.10906337807869
9,10,23.1330822111633,27.916724720580667,33.02504083673099,23.11644454059661,26.684542045343147,30.267217296338288
12,10,19.371808919044312,23.392551646334972,27.925477823428956,20.62519312935779,23.675482669131092,27.093868106299112
18,10,14.829862882422503,17.956256098675635,21.66504354608601,14.61008668375263,16.765515453039576,19.18599049412853
24,10,12.155744055024883,14.876029229734847,17.96745222799807,13.026626250472688,16.007911169034706,19.534677098796973
48,10,7.30717660255562,9.246172004398074,11.236201356848293,7.9852425917440675,9.940901409711499,12.54088048728002
72,10,5.671456462710758,6.861507348464663,8.531449039267843,6.2530212750906475,8.03747660334376,10.049470302263414
96,10,4.415393111566061,5.45755237829478,6.575495590136423,5.354314457211104,7.203715986299072,9.526050855062017
120,10,3.9578413668470422,4.803386444787039,5.614931606135555,4.413944041686992,5.649596282989103,7.053478496824494
144,10,3.595940017682346,4.33349337488846,5.261341393357379,4.804042012396113,6.533872340741869,8.599046731328817
168,10,3.1676999627470774,3.8197505099542726,4.591307343095171,4.551998802336315,5.775385610793826,7.10452435782509
3,25,46.93691419491247,63.05080492763928,85.8937797050778,64.08502143976658,106.91102075316232,152.6229260005219
