Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.122137357615763,27.681212182008217,30.640405575153856,25.508113529340136,28.686940475538776,32.19258116364314
6,2,19.135689401856062,20.805445231257398,22.798089219610194,19.81737524128603,22.046112197667334,24.72034201569126
9,2,15.596451164020808,17.009753210634813,18.908999516080108,13.85247745478998,14.935152056968562,16.147140797647868
12,2,13.510418979719539,14.69254679014644,16.189451542182717,11.710349267550335,12.456921670406864,13.322336896920781
18,2,10.924653344099958,12.088729222434305,13.31819842458097,8.745114519873042,9.30937530477337,9.98161368954651
24,2,9.537408830321084,10.45373355790248,11.448483313616919,7.3223185307995,7.753153321675043,8.221554003941144
48,2,6.6249564561446395,7.168679736299955,7.826489994276962,4.777122485613326,5.201588324050034,5.689432378036203
72,2,5.129333086311012,5.564598902621754,5.97836137748961,4.143369447896789,4.57624698501961,4.978595850867482
96,2,4.368529571312093,4.736761371268474,5.122015339468926,3.2828805224748754,3.5728814582958384,3.901165314845919
120,2,3.735130354703868,4.093454906859733,4.415416040115368,2.940338053312284,3.2383230569216295,3.6303674072634564
144,2,3.3175856234660577,3.63414419553943,3.998427894182285,3.0031492742453283,3.3686588673292226,3.766728360025796
168,2,3.092229297716848,3.3701313083991993,3.6762373321301816,2.60984258245911,2.8505189209965667,3.125642065018941
3,5,31.9133929859237,35.878510812516566,39.770248769217,34.77212648454984,40.39665326997712,45.88451161508455
6,5,23.689302689623545,26.481454972589294,29.31408589729294,27.51301802044665,31.460271214075693,35.595799719491254
9,5,19.53013071760483,21.715393403857412,24.04377923113603,16.982872283548264,18.782264886497053,20.764213654462484
12,5,16.965246562040146,19.07199315461075,21.622466719775577,14.183300807450937,15.443025138948428,17.055748822536536
18,5,13.834407146774385,15.688715599384174,17.643762890486684,10.626810446785967,11.751300290542236,13.070013497498369
24,5,12.060918528289786,13.631614264510223,15.39670408751973,8.742080214088569,9.414089510163873,10.244165782853226
48,5,8.220855348722939,9.048966256358776,9.93208419250034,6.371664768007433,7.028725451474015,7.752812644555158
72,5,6.333119849524432,6.871169120939204,7.402758269456169,5.548522308410973,6.069894819444945,6.640018710268521
96,5,5.328346905693291,5.820079087913199,6.347476014512246,4.636062077801877,5.0147312217514255,5.443644776669789
120,5,4.625135744501492,5.124788526908041,5.569089222530963,4.5525681902483655,5.15923513460457,5.895870560110989
144,5,4.110762595880456,4.560132815753533,5.028611530013623,4.452984631178585,5.197402907552645,6.0664793211355486
168,5,3.83531013513006,4.1812896170907266,4.528726811406711,3.458380450443477,3.8966060100361846,4.392937755496439
3,10,36.17884175954519,41.317135049006936,46.610803559422536,41.011524731538614,49.348183365164644,57.035075290349766
6,10,26.40137690724599,30.32758470316704,34.67773441965069,33.25693967835534,38.775587412753524,44.04156094434744
9,10,21.817454506965802,25.00338925465838,28.364601765563645,18.87048530721013,21.522994189343123,24.404744620912226
12,10,19.284857906462946,22.379517050559674,26.237328937183143,15.809477924301433,17.8230037815742,20.452211630936883
18,10,15.904881482961681,18.405856155895496,21.39940606006284,11.90514421779318,13.735372677900163,16.3247678428272
