Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,26.707194808159443,30.403554127570025,33.76228429157574,24.701799726079578,28.131065066423943,32.21220582468939
6,2,20.69356025913109,23.43961988412386,26.665835056633675,18.961045770686773,21.38770409315098,23.97955573808453
9,2,17.279667650197727,19.666069581756673,22.202299599204707,14.652326749728811,17.113626223490783,19.694750995549427
12,2,14.602498364994332,16.82183355400183,18.976417614177336,12.26228545407869,14.213360709133223,16.339011113976508
18,2,11.20136996277597,12.694929755053398,14.239435398365684,9.679672601836666,11.001126881510173,12.455477872145863
24,2,8.888311914847625,10.055514687039693,11.462719368546725,7.73345226197168,8.704892989339731,9.735953551732935
48,2,4.857447357555267,5.522080256784863,6.23845747417214,4.621760416537271,5.105448049456102,5.59736535036887
72,2,3.514572237252458,3.983496818236982,4.583020721939006,3.4114107995322085,3.717034621938038,4.068406012101531
96,2,2.8814233347426477,3.283321806225932,3.7002592341277927,2.9279198943817994,3.20503949956392,3.5088945171048467
120,2,2.486222494912494,2.831359103850469,3.219868007572744,2.3869208290174115,2.676059626835367,3.015862173829401
144,2,2.260728761533965,2.534798899251064,2.860626994800536,2.164972419485055,2.402016051396114,2.6423545837898206
168,2,2.0381640317217293,2.2785178500987815,2.5896350171421956,2.0592793302551287,2.226234871252535,2.397688083067342
3,5,36.169154975321476,40.916942764546434,45.78317617896116,35.106966481141406,40.4716859313422,45.99184369988016
6,5,28.0838573165151,31.74634757415369,35.25455608086876,26.047862765590864,28.7861326049496,31.901281841462463
9,5,23.27857199139034,26.50919381203903,29.587165201852525,21.351463155969647,24.33164089332366,27.214687557167174
12,5,20.245011524757853,22.683767658567316,25.29630776874199,18.13940549093641,20.462765200576218,22.621246050514095
18,5,15.173820431647073,17.23184664729817,19.22021178212281,13.19513715636958,14.93102543066977,16.463314498395324
24,5,12.230522687778443,13.86214657864193,15.78634091979649,10.501844601733293,11.624690272289019,12.727057829144353
48,5,6.554074585519096,7.7133436226056205,8.827367582566229,6.007199304965777,6.529254045378202,7.129284968143144
72,5,4.798354370473354,5.564724181701562,6.386791621458933,4.347464105885721,4.7230686425423265,5.145690666287356
96,5,3.9369271171063778,4.607955665114016,5.295268993584051,3.6961723876809156,4.055606174655464,4.415798933180973
120,5,3.3746700944986188,3.952816724907926,4.5598393266904065,3.2234590193477315,3.5872764132223303,3.937201640524889
144,5,3.067689980854933,3.5216113618794984,4.0737498729790405,2.9606548827759047,3.257997728816705,3.5876533224598655
168,5,2.7349485267890445,3.1758922611504175,3.69321033072275,2.5891036852122857,2.8319130159116472,3.084781676981817
3,10,41.68712381719074,47.56714323943392,53.88924632619637,41.30510969430344,48.71656692052022,56.21124352807136
6,10,32.124112845959594,36.56468152192207,40.80598460581725,29.367697329530316,32.84574412560045,36.46972849387313
9,10,26.729841452974178,30.358529593323745,34.159463060252854,24.653943473015772,28.28913504037002,31.659047700562454
12,10,22.796867386794737,25.93138582853854,29.04425120650928,20.996418548585645,23.848185428442836,26.411064787709535
18,10,17.441116496049222,19.915510957264814,22.296060428675574,15.02953341607711,16.968323129620536,18.67780147339973
24,10,14.01220606663885,16.318615253015615,18.86846576668986,11.810768674050998,13.10163562627855,14.486013544895709
48,10,7.773700976479164,9.242542630757805,10.812281299570223,6.655607880440899,7.308185294078333,8.02596125100654
72,10,5.623561450585161,6.678306872223878,7.876965305872967,4.818092889098394,5.296521188472737,5.841686911211906
96,10,4.637506646014419,5.597830811836436,6.6801614776537654,4.114882001092239,4.5329452839515465,4.968685640485946
120,10,3.9812693464862625,4.7691436584756755,5.696263003036228,3.6742213675247712,4.093911327812389,4.484965730575982
144,10,3.60065134247401,4.24930126430273,5.073389907498857,3.426781855157787,3.8141592302583565,4.22930776409218
168,10,3.188989248746335,3.8801859444402513,4.689348008175909,2.9088053267030203,3.2307327476560688,3.577326689773538
3,25,46.756140444974605,55.63167300212136,64.96505851726614,47.89163516184948,59.330528532519594,71.74862263139423
6,25,35.92764260291737,41.972514119863376,48.601492447274424,32.532004325840184,37.22764199392423,42.34043734386667
9,25,29.654618392209372,34.562576985285645,39.624751490256216,27.77877922602796,32.55511156152422,37.293159193953734
12,25,25.244418005078572,29.430771117965676,34.031628023927524,23.54095969996645,27.460275873655064,31.07246419320458
18,25,19.32552176143552,22.980463782033898,26.5480209934126,16.354698147421132,19.059141477747495,21.302300691292274
24,25,16.041075102500987,19.351471849090146,23.40688854863528,12.735585939289333,14.586465686054826,16.46433371223828
48,25,9.067416715180876,11.268838773696698,13.734176354576555,7.257760848049788,8.14687710890564,9.125550969310915
72,25,6.5755688305436895,8.16613200976851,10.229711316594441,5.162499335236981,5.938910032680486,6.738257079488065
96,25,5.363315029338812,6.99372821327146,9.125422687164093,4.514095382533652,5.057705538953448,5.691266658717186
120,25,4.611517267534827,5.893075721597439,7.548707121507812,4.093088135332789,4.646188022428146,5.208756771015819
144,25,4.1120048229663855,5.263101541153754,6.79046787392315,3.8499820121280957,4.5102010533214045,5.130139027813829
168,25,3.7262601748577913,4.918956307941963,6.42776586124306,3.249343235086359,3.736825762659139,4.293309709458216
3,50,49.364874669291595,61.37985042644385,74.74206108748257,50.91232387262666,67.4163839982289,86.43552704327544
6,50,38.403228192348394,45.545732511258635,54.28743431495856,34.107407213402745,40.03738446464944,47.05091007740181
