Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,19.679664701658446,22.49020180103577,25.323721404861224,21.1897245384557,23.769744431777962,26.570411887337954
6,2,13.493621687867996,15.024039289150782,16.985442219198237,14.060552666756937,15.634777694507466,17.302282712735007
9,2,10.541718956806605,11.947710394601637,13.627362331583686,10.865721849799241,12.420624647973236,14.06903029589225
12,2,8.853527131463547,10.02367175244311,11.300349900599318,9.075249259799868,10.684992970454626,12.265795893820066
18,2,6.7338063485451,7.579409776212364,8.591336809366902,7.1949373353363555,8.393745425841024,9.815866543721826
24,2,5.508508899884692,6.201560275208017,7.069194811661969,6.338177197000245,7.036245868773064,7.792658834097008
48,2,3.3010034711812706,3.6617889577797142,4.162393352052557,4.009072856400721,4.439407621896745,4.969164091827965
72,2,2.4001943756838884,2.684261162472345,2.960702703304469,3.0319569905768895,3.375285141100603,3.7045248631267205
96,2,2.0107957049933027,2.2234358965988927,2.4724636007927945,2.399362102938409,2.677016867351649,3.0124913464713043
120,2,1.7522914602871298,1.9340561774404907,2.1435406290842645,1.9945803637351767,2.2742366610081195,2.6309359644998658
144,2,1.537188466844502,1.7099168104761093,1.9293027978216837,2.0435758672962168,2.3468916613124784,2.63716423187062
168,2,1.4069243318361253,1.5744549379333903,1.7632567999595747,1.5719025750089035,1.7372894976949749,1.9170475053587954
3,5,26.583548342310777,30.317082209534888,33.98058579387165,28.72886639233895,32.351904987626064,36.456200565112226
6,5,17.772207396575382,20.446579718536427,23.61502208178014,18.344794913201667,20.40242723790596,22.625202095225696
9,5,14.029696905331761,16.341787444092283,18.88466855435861,15.476408586385258,18.11994681084129,20.78404472207472
12,5,12.04593405618283,13.888027421538778,15.823352755081306,13.866493442373066,16.21705468959748,18.754447364506852
18,5,9.11026023272101,10.679302855367007,12.388085967021446,11.093064214443581,13.502362442412586,16.0231004777494
24,5,7.473421545229289,8.68273988177606,10.089689043167809,8.680482336727948,9.92065608239096,11.293458035397002
48,5,4.33850091089969,4.9944393955622015,5.820258216609844,5.97121565059089,6.8281239711785515,7.844065361791399
72,5,3.0918884178254524,3.586173349505339,4.048786255718531,4.454312936912108,5.017548482442746,5.579213415124468
96,5,2.6299283759810805,2.9780326194292264,3.3836624186949957,3.526381978585916,4.03946247391518,4.5961073449834915
120,5,2.2886469338356226,2.5848593600774823,2.9008319332092642,3.1351790971314513,3.7084241608453397,4.426277243404977
144,5,2.0234353786567087,2.312262001475655,2.66160293029503,3.539196248707717,4.26239142184509,4.9035947130157815
168,5,1.8431529523795147,2.11027687595577,2.4158728266160456,2.222495996291051,2.564892421070569,2.9734667522746623
3,10,30.363433013171296,35.11467591852207,40.00272618658147,33.23439098709753,38.03295029692067,43.2512290508364
6,10,20.303561721057577,24.403128227010505,29.604584893282627,20.82560907629547,23.50107750412699,26.025452826586523
9,10,16.38211986838915,19.578885910027832,23.013193971195683,18.63058084301721,22.526770117446073,26.053981486881177
12,10,14.02489480209513,16.69570073360762,19.557543514069526,16.96272487150462,20.43989881978056,23.98998591032348
18,10,10.72510692377701,13.145836244174678,15.816141929719208,13.81747727595149,18.1090270829184,21.879360675876548
24,10,8.85537723113972,10.644339115515034,12.917271720552982,10.31394287291731,12.049724449216402,14.003602289289063
48,10,5.024692465669519,6.059125129380435,7.348143521908355,7.640519135755454,9.014020234229884,10.5918506628853
72,10,3.570898256336009,4.25256049321442,5.015041196868464,5.475516228181798,6.329949253090421,7.223905671689133
96,10,3.034031744517171,3.5294621056522697,4.145970074292157,4.5353416742651795,5.248564281146825,6.0864560183232905
120,10,2.624068985014133,3.063100218569284,3.573179768441027,4.141467085053922,5.129928278411776,6.327279137555248
144,10,2.319539462680671,2.769843458491148,3.2873722425596377,5.1011389108863945,6.204205743746035,7.166477084879117
168,10,2.124112950448027,2.5009615035295907,2.9395874700205797,2.7956697772631656,3.360917764615137,4.035999097600049
3,25,34.31267132378681,40.77095392209033,48.51806063595032,37.024624058535856,45.27936035679747,52.9770160250858
6,25,23.153375779127728,29.862373472003675,38.1700719503187,23.370734301381017,27.386084199581397,31.294520910153288
9,25,18.711954898259577,24.084727069613905,30.118573281482206,22.183598196897414,29.002385135130837,34.412738842725666
12,25,16.157340175727967,20.554777682379246,25.77312626446593,20.105162336727297,26.583560052822193,31.809295495992956
18,25,12.645907348188846,16.829892060500484,22.28977091919047,17.715020211123758,25.926669297659053,32.78649398003251
24,25,10.299682154662321,13.556987101366229,18.428090285900453,12.087306485658878,15.053162556371099,18.97791503643745
48,25,5.829820228202338,7.655309002068963,10.179356096453418,9.985602423991079,12.757005833206776,15.740658071002454
72,25,4.149850740764814,5.182614800377483,6.617257021371087,6.789723010334498,8.310840269757067,10.036196717723634
96,25,3.46934290919934,4.291380552468345,5.387572850949212,5.914620036221333,7.257810660582825,8.68648273734366
120,25,3.042514744790671,3.7272590388853497,4.67527299584653,5.79537664687458,7.748223775264086,9.97720817702325
144,25,2.667955831596773,3.4248784286874723,4.313648360655881,7.872944147312275,9.84458454823864,11.458775550763278
168,25,2.427315734965492,3.0396802108537986,3.7682946896111,3.6193145052602596,4.7902087354004195,6.182408539570223
3,50,36.21955772456906,44.69312410567029,55.02556741072899,39.823651045909635,50.74694804348639,61.87883016167951
6,50,25.114022595116985,34.272921666489914,47.86056003548896,24.889475231610987,30.26744250248641,35.65617083300976
9,50,20.203020539893526,27.755900324674215,37.186050570784296,24.76239465231591,34.603016456818025,43.169391975828816
12,50,17.474073589015752,23.660930325058047,31.912492246672144,22.129873617992896,31.85372670706294,39.79763475397372
18,50,13.973891883243862,20.041986070888523,28.899992643833066,19.961827159560954,33.69105370705564,44.5012297217629
24,50,11.351799561309091,16.082180536651656,24.171812403121365,13.057625249727785,17.5551100703872,23.628985714047765
48,50,6.368754537562664,9.051997025095414,12.84424244029741,11.97818248464364,16.495524375028392,21.601448709671377
72,50,4.455970151282771,5.942341364239354,8.135257428629707,7.776065505386333,10.064510163630578,12.88652225110831
96,50,3.7104567364303236,4.907762177803304,6.668903513746255,7.003014726969923,9.206234874695367,11.63730306079962
120,50,3.3050298817806296,4.267194400467584,5.6868426696890735,7.380394037082764,10.545678184554964,14.042379407320709
144,50,2.8686313535911196,3.9731798298601166,5.466055227636838,10.800378470668301,13.788366232043906,16.237810855257916
168,50,2.5874187700577,3.4746423700351774,4.672816918019529,4.294368867169178,6.284188778125781,8.6374348971032
3,100,37.75055818139831,48.36985455886173,61.57674809006812,42.27005630277836,56.28717388081692,71.96498760511497
6,100,26.927663095444196,38.980233073201994,59.443616834823246,26.128464875201537,33.14386993559884,40.92475287499569
9,100,21.47342513360613,31.702404329031836,46.34699060719308,26.87187068190276,40.97620386377889,54.17035872273402
12,100,18.580918217380855,26.965555673172332,39.574204024722604,23.979249946645382,37.815558538690304,50.60428797963374
18,100,15.161569356549489,23.70071281792886,38.58024152049661,22.030141523959646,43.64538214445604,60.31807724343721
24,100,12.221369518745117,18.944620794653467,31.826477865897353,13.858887570439244,20.316960543155304,29.646709147336857
48,100,6.879445352843765,10.647769090007232,16.385917817200834,14.170248437734479,21.303046393663113,29.734328564856725
72,100,4.708697412126707,6.7608435999964005,10.040632958717666,8.617952546597422,12.096956082382995,16.38834190667008
96,100,3.9403611711428175,5.5663676971794045,8.30313700758905,8.241662528198052,11.64668524055949,15.680505980748833
120,100,3.524936579434529,4.84653205695511,7.027898299907346,9.117190565152008,14.353556194609705,19.92902040993055
144,100,3.0688819924203408,4.576336638789441,6.8458453246995035,14.372550662997487,19.209306686901122,22.990441071097848
168,100,2.754580539438039,3.938624529339612,5.695300735624837,5.071920796681819,8.283095160002993,12.51276535185512
