Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,25.306849848484475,28.314835852025425,31.913890101264776,28.850548586108992,34.63737293959446,42.48638161585487
6,2,20.10890321279974,22.678711892114432,26.101074568101566,20.137192987320134,25.328581873830114,31.67620356544146
9,2,16.649890445182713,18.80111418179014,21.28442564394019,18.690244085410807,21.366313265378974,24.274034531523483
12,2,14.269888973456574,16.373631670722663,18.70874705748974,16.026997052318652,18.21951269147857,20.81051354900056
18,2,11.319456213115657,12.943689160620476,14.59757876010303,12.177154245976002,14.300720066760332,16.75594034508319
24,2,9.621582744559655,11.024949737661954,12.542773491408706,11.232239259625603,12.744382922042874,14.652526605863901
48,2,6.3569165659704066,7.142634218733997,8.107930328373481,6.728304167358143,7.463084343252413,8.41353738746336
72,2,4.826431036960862,5.381359995318095,5.976541868431367,5.1616049253329015,5.770158067687031,6.488395537496534
96,2,3.9173146308553157,4.320462511370103,4.79901853000187,4.390986968035584,4.898097051551955,5.428127877921124
120,2,3.2791469253202123,3.6371160449803694,4.032908716235376,4.818438633913781,5.347914702133706,5.899993109432164
144,2,2.9142406835263386,3.194824431967941,3.5702853505473735,3.2349074210463775,3.503914577355893,3.8304193804877613
168,2,2.58604235427186,2.869891489210291,3.1665044252797023,3.1539074404711456,3.5487454553282456,3.9550141674709023
3,5,33.947097355594224,39.448248185095395,45.160344785123584,48.45439338168605,61.17530016646228,77.84456698380211
6,5,27.460880190050823,32.143840944200676,38.505316556480125,35.96749654887644,47.66229998736968,62.4737919089661
9,5,22.905121303759728,26.583904423143718,30.698665784947373,28.142793341561152,33.51505538670226,41.129206695216766
12,5,19.777899755266937,23.083554651518398,27.176695781951636,24.134948609979396,28.28458359828995,33.03370160815644
18,5,15.567074260898366,18.066502429698982,20.769042491423193,19.998066062972324,24.05912442431568,28.94074872444424
24,5,13.10019113098679,15.262116371039998,17.80823046432737,16.565700591254174,19.67896553509182,22.799179326575427
48,5,8.393699922999476,9.647373186452826,10.937164380294822,8.833170615209287,10.022034204248202,11.488626883582707
72,5,6.276546258177417,7.1530783839063785,8.209783501961528,7.194798429896116,8.406904555185204,9.831574889866
96,5,5.107805907123342,5.723525766810546,6.488495231678318,6.088024147638741,7.035125850217441,8.038553523419528
120,5,4.27821325383759,4.791710745385035,5.297886630317013,7.266722290920231,8.04752252117117,8.793699663467004
144,5,3.7324562779533563,4.204060504538161,4.713226175675321,4.262642952471844,4.717475708413936,5.288734759377055
168,5,3.3261619452584403,3.8056928503569214,4.220503428352641,4.936400179024833,5.64050542394026,6.370411576844043
3,10,39.63411397928379,48.287471908591094,56.94843818300442,64.74119214418404,86.72603642636847,113.10670375540298
6,10,32.13628656756828,39.48672819310822,48.49185477431547,50.91727760340417,70.64668392125571,94.0336856199298
9,10,26.97151562818683,32.568949643740694,38.92243223188521,34.901488564409355,44.78339272349561,57.70234975987647
