Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,17.41467306291998,19.34229939182563,22.34295299721936,16.485987889894798,18.288876271238557,20.77393372665334
6,2,13.653601385693225,15.052952925552031,17.15887962398578,12.39584553718554,13.845039604420204,15.833572714343475
9,2,11.193914498413614,12.51766875362083,14.237007570147336,10.15991473928363,11.15362388016605,12.551076634500404
12,2,9.625827323026073,10.73747642167803,12.329273704533609,8.676606335925964,9.807340670782292,11.329980677310648
18,2,7.428674395606149,8.26898048466379,9.557257317442753,6.909102910414054,7.784137713394351,8.848072591014372
24,2,6.301804112266412,7.002141504918665,7.813086782711061,6.105882748697316,6.982501476802893,8.015817083249942
48,2,4.051677261871804,4.430098382326492,4.962841949541344,4.223346023753857,4.746898329358416,5.4194874118307705
72,2,3.144370049000223,3.4463974814475717,3.8106355561037826,3.0568298206927382,3.328007375722793,3.6616189740324123
96,2,2.710388087263075,2.996525499318901,3.3467141605777053,2.5552272318624993,2.8325573849669796,3.132586595216196
120,2,2.403745705424993,2.656226589955061,2.9554781759569826,2.357223772984855,2.634265965285403,2.98672905015324
144,2,2.2014012557523026,2.421635175178757,2.678338400376064,1.933448228193226,2.10134000138965,2.303039033798495
168,2,2.0835505541218433,2.274070183519417,2.498828254511566,1.9210984671231697,2.1141632271834863,2.3418764806102748
3,5,23.359498926227175,28.311901291062703,35.1859931772841,22.317833855829704,26.755808399948606,33.28368648608377
6,5,18.01930930356601,21.80584625333205,26.464599702755844,17.425936745334575,21.824617930089406,29.14596589167582
9,5,15.099196540629327,18.081602119588172,22.08093626377618,14.082542319139261,16.80971142639017,21.05596753278319
12,5,12.985553871701217,15.758967228933761,19.175051480001567,12.644321999038699,15.438357491190764,19.731874012317903
18,5,10.112169121479196,12.053883140363013,14.531320677681279,9.781517002305959,11.815816979591794,14.672570203874958
24,5,8.36844889457974,9.897362817723733,11.777337275038455,8.312328730581807,10.23361157469211,12.85445273386351
48,5,5.141349293449642,5.98871965984316,6.899860877232978,5.986724572631419,7.1148206474077025,8.621001390893294
72,5,3.95969813781738,4.599512585877932,5.285887882408094,3.942625158255889,4.5172985343461685,5.220511549728413
96,5,3.4437414902709937,3.9568522525142384,4.518244852092755,3.3145357813935323,3.847364281875419,4.429779555346398
120,5,3.0831488484123657,3.519890617037209,3.9814803140691084,3.2098878951360263,3.7202910580152064,4.339246833453801
144,5,2.8107199148000412,3.169306525269249,3.59778235918019,2.531727825908793,2.8604981873850055,3.229073161683149
168,5,2.651961055973927,2.9486536291392715,3.2656098907529754,2.5677745577542153,2.949042180523125,3.366896842692772
3,10,28.25499161308708,37.960779769172035,51.825813347580464,27.096982303520292,35.92172944054883,50.065408982413885
6,10,21.965961745389144,28.98401324750818,38.14471151883105,21.612396234917355,32.09160692011173,50.71689584874321
9,10,18.328471312224558,23.852687018402744,30.439646177050655,17.434884485939985,24.367627127311764,32.971756799646755
12,10,15.782386469372533,20.799261594751023,26.89655082565708,15.735025901249461,22.363512090168985,31.36203339719525
18,10,12.112107024729307,15.804649759425299,20.049110872649663,11.921499108293471,15.883581057810803,21.22327829261174
24,10,10.004229725887841,12.728069046620035,16.02732776739327,10.04027863103815,13.383225403576624,18.028028738369954
48,10,6.024977773612575,7.45160195526015,9.100275501475558,7.456414946654892,9.512043803378809,12.421310252121668
72,10,4.539380867487241,5.614335439471862,6.732449355666603,4.580538724758134,5.566804369363102,6.867955833464521
96,10,3.9679984727147053,4.737156247940689,5.6832421107548825,3.8626570460943332,4.727945943334757,5.777571190915504
120,10,3.5273456870661914,4.185958621541973,4.91566589031421,3.779119749936827,4.633224221792542,5.634571659071186
144,10,3.215592598259224,3.7307674686518295,4.4003320432319155,2.9517103745218036,3.503799673472726,4.157065097352815
168,10,2.9944130800692634,3.4242710815888593,3.918175314856729,3.0551063118082333,3.6582174810343524,4.270684089110427
3,25,35.34065421994532,57.059080157488026,91.16893871354844,33.62348486342882,54.550310602798646,88.09488619641317
6,25,27.307980486321348,43.032218127034895,64.94138677426386,27.998495515853712,56.81133318658277,107.62181872610176
9,25,22.744372074809636,34.8881301025603,52.27419404778226,22.080252127083064,43.21602260010799,65.46720236586397
12,25,19.538675394083047,30.14349741062584,44.78523393545032,20.339980517701875,38.327333799030455,61.428314531627024
18,25,14.906433076918521,22.67498101257011,33.59771027167702,14.916714352158195,23.62999980244936,37.45167709114858
24,25,11.982603331286233,17.84786631479087,25.052636714825844,12.212381885613564,19.148851451884557,29.30692367944759
48,25,7.130340889339045,9.998079804812317,13.946039234610755,9.426241065249632,14.061855939612354,21.216714287007697
72,25,5.302196173862979,7.278028934744723,9.705380096517297,5.312945609882277,7.325050166950108,10.148488773899873
96,25,4.534965414515824,5.925327930409271,7.955744733217992,4.599035297858894,6.1757486692725525,8.621479713957736
120,25,4.045932435722882,5.152700391855301,6.578849944558129,4.508489329828826,6.089537136043996,8.331629660211632
144,25,3.648064747611245,4.5260703843389,5.701266934664277,3.3732026904508254,4.5380596502079635,5.908060295205523
168,25,3.3326683866327453,4.06038580679052,4.866934243548351,3.5777937271233844,4.796314478934665,6.025022016616259
3,50,42.38310134795981,78.79812808935438,147.2278017926112,38.86263381162624,76.62959199943532,142.36041264428596
6,50,31.555458562313788,58.85453274132166,101.60494934010202,33.30239550758997,91.11074447541729,191.62904768618927
9,50,26.529162347689596,47.04983571362131,84.15188703051025,25.98076785289667,70.16090035504787,114.11525543082855
12,50,22.60250682948207,40.14618212576226,67.40107773380132,24.82317167689154,59.61317134490049,104.6003475737387
18,50,16.876727809616767,29.94653696547461,51.12055067339522,17.50808137056376,32.28146760115321,59.14748009820808
24,50,13.377333610726389,23.20238328766319,36.71659937531555,14.001075441460507,25.346291588585316,44.13025099355436
48,50,7.8909938779339495,12.56673645175011,19.71408695955972,10.874951473164511,19.101484522434642,32.85709508978732
72,50,5.82074249060974,8.863431266954645,13.496198264905026,5.860669669431626,9.062089601492232,14.171099003503954
96,50,4.977676033051074,6.980593529735158,10.437174800935036,5.1627648799425465,7.576919218297331,11.74321146589429
120,50,4.318581170285441,5.972729101177839,8.338389878603635,4.973424135198602,7.457539456774484,11.10713863546448
144,50,3.9199948148175716,5.18505792019,7.247018414931272,3.664138189989413,5.517158309856264,7.995235853573476
168,50,3.571797137016628,4.559056940590025,5.842639665960451,3.9722597395692563,5.868527529427309,7.860546002599451
3,100,50.305384217375334,109.94910540531922,247.38480229791674,44.83523841175917,109.8173765997474,231.13024473022853
6,100,36.18132510037732,81.32015305119371,160.42816162139343,39.47206166027776,150.19017793228588,345.7757276763498
9,100,30.461238045198527,63.995797849879395,133.72791967526797,30.701934559756413,117.67964191917622,202.18947504770088
12,100,25.816874784169045,53.73763410599675,101.16185924924133,29.730156608012607,95.03599789303505,181.72544789291982
18,100,19.26271134094746,39.730707172140185,76.92799924173835,20.336133978738776,44.647833959878206,94.53307447565835
24,100,14.854694064672355,30.333263699550947,55.497973650956396,15.572630124669775,33.908084360180396,68.29693427017088
48,100,8.623144449689251,15.882547986666808,28.49909758848937,12.540079419905606,26.22479027209534,52.33523495939269
72,100,6.397202195438227,10.812260104524183,18.779432472812587,6.252770216745551,11.293236766489194,21.01656912311117
96,100,5.362055147231825,8.201737973756476,13.841505116275368,5.718772369126759,9.340621752754819,16.48165942030149
120,100,4.6351603431278665,6.885079633566361,10.751693653711001,5.412910401752389,9.133969392706657,14.781212227910292
144,100,4.183215095987511,5.9037191236290365,9.127439581873881,3.9519014012039113,6.725294311395954,10.838611776040965
168,100,3.753073891070734,5.077803556834118,7.127863222083203,4.417749778261587,7.182878264647471,10.416519590347
