Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.66196894641773,27.052633701565064,29.904331619142766,29.566140371245027,32.41589816809052,35.65258683306998
6,2,18.724500694067796,20.71312541414721,23.049441958998514,21.938107887662678,23.76458944941844,25.915455586072795
9,2,15.456135040797346,17.07896689661931,18.88359989706288,18.134692106941962,19.69601458922879,21.555234454983616
12,2,13.431412207510341,14.96180469693509,16.81597931570439,16.4414995361809,18.22333088754016,19.962576455095757
18,2,10.975033606222773,12.174694786059508,13.606872362242168,13.144959700448226,14.585015000250976,16.014736982498366
24,2,9.341678114897391,10.23996116438863,11.297747010383828,9.83854265707421,10.900026824060843,11.798495982247987
48,2,6.1554018572991485,6.926918154635164,7.744946864732624,7.382287927505319,8.107836378332573,8.829059377488331
72,2,4.864846544660831,5.440517194579698,6.105854519779579,5.161696846769802,6.037182100553387,6.870231313862885
96,2,4.183104456995861,4.793112659029526,5.447391391291813,4.600634079749054,5.200731345999668,5.87082629936765
120,2,3.6635903659810998,4.263380435620858,4.882401837591732,3.695062390860741,4.364679636927014,5.058229744730852
144,2,3.2499032004788857,3.713053512074606,4.219373809519872,3.0840624365244507,3.5943211258778147,4.168290644523905
168,2,2.8930974619894645,3.3695300575401195,3.846284778197181,2.8454275414786117,3.317068059577464,3.8861025793454362
3,5,31.140617478641914,35.18053778719202,39.9174643868449,45.34596360334035,50.83537715472352,56.469349309741155
6,5,24.088618131000175,27.22505983212531,31.08934990264411,27.81968370280248,30.759129496176975,34.282594707723405
9,5,20.19420636486194,22.839221474890017,25.60018507568131,22.839177105990387,25.311349006274785,28.25871749051994
12,5,17.41300905716807,20.038670914320825,22.88945971109701,22.602607219966682,25.075467335019976,27.630551690007366
18,5,14.263187876717708,16.209291636701,18.412186414705708,17.632669631778413,19.35014520064817,21.128438066401944
24,5,12.042971861106992,13.458150727504925,15.074951881512753,12.787439928317731,14.293585414921939,15.71056446500468
48,5,8.272147591360662,9.36967019005255,10.457411255398629,9.625972296801216,10.491081571866808,11.392929733063903
72,5,6.368524164608468,7.3337732054652705,8.371052292821977,7.7527204555298495,8.938824057216527,10.052694644860226
96,5,5.765087206338249,6.61369908076435,7.479026940958976,6.446791117775502,7.363741958941396,8.356367047376095
120,5,5.123344212947098,5.95272914462146,6.768890946828419,5.513309013059877,6.495789403133288,7.491876804688205
144,5,4.541093810754144,5.254732587376635,6.022206260554459,4.470283640039553,5.200950913449887,6.053826873751715
168,5,4.055982317289129,4.810235811038994,5.6456174154384815,4.315075675768362,5.069717155062635,6.0040580772129015
3,10,35.530509387663386,41.4079227049522,48.803257350965254,61.8516688935681,69.57633387845996,77.47807656625703
