Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,30.190942071979286,34.66482128796252,39.24315564324788,34.205159075288435,38.77727514528871,44.35796767784076
6,2,24.504455271446247,27.53179195311975,30.818331651600378,27.31237230802835,30.307244022798407,33.52071483517332
9,2,20.352086120098008,22.587619198365438,25.2891765374607,23.134270055472822,25.68832030687384,28.11624322453081
12,2,17.11364088339024,19.138392507992208,21.135206618079657,18.30839268117148,19.81498880782237,21.42751137585305
18,2,12.921141513576197,14.359665363175026,15.883069152193606,13.426879084665861,15.03228852834413,16.723326121164877
24,2,10.307646351473629,11.496582102851109,12.830307824133282,10.14780427488472,11.401018885149993,12.889500748933063
48,2,6.051304260718461,6.854880937360601,7.6524796327004765,6.480605335900824,7.239184149638836,8.00882642685063
72,2,4.437113194702162,4.9723976782830235,5.5650249059597465,4.252226995846572,4.860784005982431,5.611696885367032
96,2,3.589646317518498,4.008716791461856,4.479274872521911,3.0512304604720697,3.420142941241103,3.814642540847081
120,2,3.107577535482895,3.476941161076217,3.8881009101070942,2.4710913338767373,2.8558849423931174,3.294596795595587
144,2,2.7959239492943055,3.14652472914095,3.49012023255153,2.4317060605785357,2.8282104089057727,3.194210969945252
168,2,2.518266894147188,2.8201762933028767,3.1389398902918098,2.307518732049341,2.6031852775083846,2.939828061267217
3,5,41.07616148644226,47.05295674260834,52.28120727006744,48.83621498009674,56.20491659843985,64.53431777449676
6,5,31.699056240441898,35.182673668104925,38.24070281914298,35.757610458369214,39.511661826259605,42.92909598231061
9,5,26.342070098898137,28.623500052739566,31.32586986028609,30.564170169751527,33.0948566372083,35.32703173738352
12,5,22.059437708154654,24.16252013955977,26.27724546126005,22.23414681021459,24.046481990526043,25.718647468093188
18,5,16.724157681918136,18.736221921713955,20.62618096655368,17.68517670533235,19.638769236929694,21.640984078527413
24,5,13.59727873943298,15.118099188471284,16.853365074807,13.468660705713553,15.498006705668875,17.45213035703904
48,5,7.93541629894896,9.011345567655066,10.089253220568272,9.338595899655898,10.225698379735398,11.033604670801992
72,5,5.858138291609517,6.598413573230354,7.42323968401921,6.415880260691473,7.350183998684668,8.372097717077068
96,5,4.67698160079615,5.26592586133605,5.8709892896044185,4.325937952680196,4.953969813582154,5.605941563547762
120,5,4.09266981082377,4.572287018502212,5.0609731983339685,3.777039207809331,4.322205546469657,4.9044392241052694
144,5,3.6824838899006886,4.085951963705351,4.451028840560422,3.6011059951563498,4.0441646589080005,4.429402841002643
168,5,3.272506859491389,3.6167246656336562,3.9675560527766454,3.205120982118695,3.532518470209016,3.8622896499593713
3,10,47.68509407544025,55.07777660462605,62.11052069345784,59.82565405587306,69.88090298432674,80.52601335911204
6,10,35.01358811397738,39.16011760513063,42.55440992943177,41.13014731677781,44.71203774367934,48.18204426220103
9,10,28.864397954458894,31.66122973698758,34.32669053099485,34.454859532813344,36.893105870015575,38.89233763755931
12,10,24.352015104324202,26.69728211352802,28.893857418393196,24.193909896729366,26.366770211329875,28.34831183326787
18,10,18.733401185634143,21.286545262341818,23.781254855260823,20.285822760678506,22.554783712895233,24.636423107116862
24,10,15.288438657233236,17.388717463504435,19.80052272023576,15.745905051438037,18.474615866776965,20.998592321105814
48,10,9.009257761289467,10.380236868893164,11.739723667706023,11.026116602636211,12.093104837385297,13.019409587379023
72,10,6.643486910185126,7.655551573103457,8.821387202712188,8.023804932283166,9.26783472560723,10.544727106638
96,10,5.349442159246794,6.055822272115353,6.850159886432483,4.983874330955379,5.962780551094277,6.890256730652405
120,10,4.586118741436501,5.216753108969283,5.834918197925337,4.490700238969621,5.19630819183709,5.927400533205237
144,10,4.124819752729789,4.608447347497196,5.07456391550685,4.1585456152411435,4.6638902293618205,5.065715928976754
168,10,3.6295625963267693,4.052910619141516,4.449487962012208,3.596661414841943,3.957287956158996,4.31561749220066
3,25,54.43458201253715,65.01964813383503,77.4758637832459,73.2486822718857,90.2107926164849,107.87087650768768
6,25,37.97553560094947,43.2118647857492,48.03023115960906,46.07191043538104,50.45883528849929,54.791952320625185
9,25,30.90598192260712,34.668799977336356,37.978712639541826,37.932076128047676,40.74564769667608,43.16973341690767
12,25,26.305078647604105,29.2122973875738,31.953900953153255,25.751509956391864,28.872201655650457,31.983742747036835
18,25,20.646664326741803,24.16061557901338,27.535269227999493,22.837949347131808,26.120090997882382,29.137804461801544
24,25,16.93975683409582,20.120494183304167,23.788533177842098,18.535336911522826,22.593883503886726,26.233625267341232
48,25,10.075145408630974,12.04553024834643,14.343490108795557,12.660760845199437,14.346576404686282,15.836714001523404
72,25,7.476386471974266,8.969517279189475,10.72018893466224,9.921248932571315,12.063278728236192,13.68269850812678
96,25,6.020022798160973,7.007930642712234,8.202205808086852,5.652560386580266,7.245862514456615,8.93024829132913
120,25,5.026909759069607,5.9492901792826505,6.92434130739125,5.157864030701691,6.208863290859123,7.236863547450315
144,25,4.526740949196626,5.173398178438627,5.862561595218715,4.714697035645887,5.287411297747053,5.791088449919434
168,25,3.9681079626485536,4.518085972026915,5.057884830624194,3.889123730641697,4.346985381417319,4.762714537174591
3,50,58.25820292788697,72.25524770170216,89.4099831412594,82.76237515639315,107.96686343956671,134.74098082661828
6,50,39.333919950175066,45.644949112354254,52.354002158670596,48.62242318049999,54.22242033981725,60.0941828965079
9,50,32.02515060724551,36.424534256052105,40.8120465990565,39.5432048514848,43.063827098736574,46.58458962205792
12,50,27.095880634449877,30.68364040756975,34.31358623117768,26.647470437898527,30.480723174671745,34.77242216757914
18,50,21.542468302777706,26.06729605148284,30.658805747692085,24.270565531108055,28.697522821455458,32.95134437346709
24,50,17.963682026764523,22.052619416489755,27.78300145582356,20.402591537305206,25.94971526627841,31.389878887373378
48,50,10.635609296946555,13.236184917269298,16.384285306068094,13.562857976016556,15.952223200042276,18.091411988496994
72,50,7.936331650067423,9.92885775262708,12.416115156509125,11.202172668993024,14.454598744937602,16.88013030030167
96,50,6.339553880662635,7.682571093611138,9.483844136906448,6.001792802213972,8.213280425233208,10.746526971611532
120,50,5.288840025687846,6.439372682273875,7.881786227637027,5.520106288798849,6.903045795201693,8.359540712389482
144,50,4.693961274762643,5.533237249985893,6.4534120794283005,5.013498484811148,5.658808841111063,6.31217908867545
168,50,4.125449264963827,4.810375960511649,5.5435162429680025,4.023693537692317,4.559232397188353,5.030079680713852
3,100,61.24715535003178,79.32173356048011,102.58075033688337,93.02094453818395,128.32498493501504,166.9518443407577
6,100,40.21578559483689,47.665273356935266,56.447121044649734,50.21407255353181,57.60148595573919,65.56861022376621
9,100,32.43858696881723,37.84823813503495,43.63650204162796,40.58110282142617,45.001932148352076,49.893784588282344
12,100,27.77286204526275,31.878881132870568,36.686642194116985,27.23886158313848,31.904466059516864,37.830957459040974
18,100,22.189463386059245,27.78907112406197,34.315463307823265,25.53164213994961,31.213004712347512,37.51300496287562
24,100,18.747954994606143,23.894426204122354,32.0036456225463,22.07322124250144,29.57307874596475,37.392852423004655
48,100,11.118388479948521,14.381643494997984,18.853841905390837,14.442777060606147,17.498018259628903,20.672099014865402
72,100,8.326305528480225,10.868308226376566,14.45275764708893,12.380091752660675,17.14369904595345,20.67022232154092
96,100,6.598934207138463,8.326673785046394,10.811991739524089,6.285737474130616,9.194394569155978,12.683601301261046
120,100,5.518423720143329,6.885087386496259,8.876340878291952,5.809602317183227,7.55062132569864,9.504980986500973
144,100,4.809426745509733,5.847212224059521,7.044965003106983,5.203575339010232,5.9661505770754815,6.7618932902220745
168,100,4.22283454798164,5.062509901840418,6.042938215111032,4.125602897913177,4.722490121968429,5.289578883674533
