Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,33.704214512456595,38.595153925177534,43.986423618917684,32.67653682564737,38.163096371161096,43.70945020340159
6,2,26.506492345445622,30.212790925861356,34.7495005949372,22.058939898865624,25.696513962518363,30.832501681200842
9,2,22.479293544082868,25.70046062208846,29.992081983386612,20.696331103505457,24.395393950133816,28.52588468876371
12,2,20.107220254975836,22.98078927344974,26.14477858894501,19.244341931474885,22.623391305152378,26.4380285838183
18,2,15.977215746589756,18.485073437842576,21.175052623037836,19.430216327113165,22.83306826832387,26.823328301336012
24,2,13.650461082639634,15.859611009600227,18.39724082720261,15.28781919743496,18.745120457729154,22.735296752467164
48,2,9.1265113639803,10.391469829160197,11.931821744077208,10.656350183054936,12.68808144600215,14.974681802395128
72,2,6.742505611980048,7.7191570950379536,8.743453028422003,7.941724489431172,9.66952250774536,11.676215640851687
96,2,5.445481168182955,6.132800339679212,6.975057912979642,5.328005802491965,6.253352581721934,7.279576927852078
120,2,4.634272119827545,5.210960496235684,5.849165488009832,5.23164447720577,6.207094944915047,7.2099354441542856
144,2,4.094135021678245,4.640853698291286,5.214543397003303,3.579317493207486,4.308381516713647,5.125109450743003
168,2,3.648718887111994,4.1126415637412554,4.6538146193097205,3.2492360750646787,3.8846756618461784,4.588098787641613
3,5,47.70727408860878,54.92628049051838,63.96455866223452,48.656328587114174,59.63041516496781,72.42855602539302
6,5,36.93180240653021,43.504975365102744,50.63486227172318,34.10632078556098,42.51833791820059,52.740808600532816
9,5,31.36229733788186,36.699033014612226,42.907195153518686,32.32233391037056,39.39926691288416,47.997823628460054
12,5,27.98920262024007,32.865173858584704,38.22589898155384,28.697299344211842,34.558135580506395,41.213944094971154
18,5,22.619853927463755,26.83407099762345,31.185523016272008,33.78645771252028,39.970377195916704,46.53478383328775
24,5,19.254143409583612,22.917701891856634,26.547219183333375,27.67026050419254,35.32145639478333,43.22262126355183
48,5,12.678540635339154,14.67340106180481,16.793029991810194,17.84315761603417,21.316132597255827,25.18639348236475
72,5,9.171975109197222,10.66714914471919,12.119385841932955,13.494018927280765,16.249313758541298,19.012491550954394
96,5,7.359999933151514,8.397486273713918,9.528385241996288,8.158391945739906,9.688896356496638,11.22661949488453
120,5,6.256411048711916,7.026637994654205,7.867913362783095,8.059561474851133,9.296647853007343,10.486885839332345
144,5,5.492156700957101,6.2036637559405445,6.912945274011102,5.633714902693994,6.692429314372127,7.6819820156339045
168,5,4.859438690443364,5.499468239901298,6.202538715345319,5.0773902475630255,5.957229636605987,6.802088466425985
3,10,56.050333037096124,66.854059903919,79.74651574845412,61.95948472045289,78.72584966201123,97.85590709330836
6,10,44.02591758441686,53.2799781546878,63.206098960843235,43.870614514729766,58.121787992654575,75.02520718721946
9,10,36.758615415075596,44.545074585747514,54.16619802271033,40.94171896271195,52.264677810406596,66.6870040716694
12,10,32.97393604015254,39.77454930966175,47.658255286349444,35.44506657407709,43.90383070936872,53.15183052452892
18,10,26.700418035519455,32.767568250595325,38.58645477078509,45.33391792747593,54.90481334262057,64.0277471765748
24,10,22.819336443354587,27.75648125256061,32.74747676869236,39.583732240068755,50.277088243872356,60.36654188067831
48,10,14.85911597797917,17.470907897069907,20.232062059009234,24.02271503450747,28.53757812672059,33.402880229676626
72,10,10.600788630646282,12.576052371606384,14.567140364519648,17.687350633975157,20.981744505550584,24.210300938991963
96,10,8.435014751150469,9.866340430719873,11.42202598292901,10.086217880706165,12.15077048648919,14.406010847021243
120,10,7.1143296656854496,8.159534023434059,9.27168495905154,9.869524688516249,11.262834597138287,12.49028494848476
144,10,6.279162858256445,7.144002683378841,8.026924917003042,7.019580961165488,8.209760963384934,9.263021685036291
