Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.25606000575936,26.7701375984608,29.686963502745076,20.991149991520302,23.4313454629754,26.808630521539776
6,2,17.689456598286895,19.336333529167444,21.23670641809523,15.236572421889722,17.320270090003724,19.807029237096856
9,2,14.342796159787284,15.745655691765272,17.251438004229932,13.643115212383739,15.53824136019385,17.562099717880237
12,2,12.283325853456745,13.568926945859975,14.985650165979404,11.569929259803015,13.389370845626189,15.535803326601187
18,2,9.711295267754485,10.781732521992737,11.915391278466217,8.903191765066225,10.209149365857368,11.86747418825384
24,2,8.257595940856188,9.207439350062787,10.354304719935842,7.537651642206024,8.773504227404938,10.317252726793456
48,2,5.276894539390288,5.834762707393062,6.4201952481420586,4.721742367738225,5.445260879252961,6.227292575218511
72,2,3.7549601390585714,4.177451805811773,4.604589169468488,3.3690883414201265,3.761186758718454,4.214304659056292
96,2,3.0887707355399767,3.3903131999658935,3.7203890374686925,2.5906238568737,2.948577132119435,3.368057973053282
120,2,2.655857654643689,2.950575361627554,3.3013879886281368,2.3665058564909054,2.665926756158427,3.004026217798561
144,2,2.4109499498573412,2.6634316452781532,2.9220668478695453,2.1878406638763535,2.461883914414106,2.8139481659496504
168,2,2.174582067334325,2.417208170931043,2.6649163839916956,1.9839938426065042,2.2172991726419307,2.5219430575845316
3,5,31.04980393195994,34.3451091852024,38.215669574281506,29.71319456896652,34.164399030537886,39.82792913189502
6,5,22.386161615493453,24.87332205102662,27.86790703037999,22.001277191813326,25.821819910510715,30.118716857098832
9,5,18.34532180548911,20.450396030039027,22.66687105209279,21.195426981828025,24.422674291427008,27.60747416730855
12,5,15.86333763217387,17.798993254984687,19.941962551339742,18.057562131361184,21.021615053673397,24.58662008543267
18,5,12.696094954297873,14.24659580362163,15.947429668549658,13.551616722833254,15.985579669677957,18.84745558270151
24,5,10.819575957623888,12.130381008201752,13.638545722863356,11.460577453477963,13.51409223765556,15.829365773926046
48,5,6.804699772511428,7.4768123818249475,8.299822449212103,6.634239236335052,7.678658791775055,8.697668667430019
72,5,4.8344974678627874,5.361563479556646,5.890044831071929,4.554689719846195,5.116103266481105,5.722018709162356
96,5,3.889297921150897,4.381634401301936,4.862021981702009,3.675897544667035,4.2582475899500265,4.903799414951613
120,5,3.4481851577878437,3.837514550987073,4.282537297142878,3.273768092856902,3.749726123361726,4.252821166726853
144,5,3.075622483937137,3.420835188602431,3.809589803169724,3.031430422499679,3.4288091610215803,3.8869668043727073
168,5,2.807672048093698,3.1126271829224392,3.414186107061097,2.6953962462387677,3.0575702682867356,3.483610491182279
3,10,34.71841048698261,39.1403523383472,43.88241318818231,35.89086633380831,42.54590498940303,49.70109774770043
6,10,25.14982523622306,28.60147199471284,33.09160609034356,27.512140287149265,32.94461082974292,38.656748599592575
9,10,20.517050301177054,23.63347102880033,27.138472483096518,27.447648296347644,32.17125195550268,36.98618207061835
12,10,18.03006088034614,20.656945290979746,23.83427054648479,22.94352712773297,27.750016323761745,32.82899086254942
18,10,14.502144886546223,16.588338823099274,19.21317729561323,16.950496929968047,20.979711625070497,25.14160783997864
24,10,12.273107018077841,14.010931226357759,15.895882619708107,13.851744175905292,17.224775839689475,20.594823868766113
48,10,7.608014050211603,8.470228973684842,9.628263678841725,7.822505327732509,9.149700363751004,10.414399544078522
72,10,5.44846797549706,6.0773748155815355,6.7193745546957615,5.208809347934292,5.964699219546624,6.762297787663945
96,10,4.36622010242339,5.009358726359217,5.615099770396416,4.31759284461215,5.156052142549849,6.10290779935143
120,10,3.8704386653132357,4.399817649608965,4.953931801485723,3.757686276911189,4.438249860149519,5.097135840144731
144,10,3.416517237460419,3.892432972462121,4.434069396885152,3.5052227427720064,4.070686571500268,4.688666867069959
168,10,3.167663030175844,3.554999446037929,3.982836261586866,3.073114212248533,3.613920155011611,4.159092067464783
3,25,38.382357921483575,44.95948077276961,52.251787304858695,43.97868809829608,54.94139696344436,66.02793105424587
6,25,28.022882986827376,33.384044425409755,39.62680471048055,34.01670141968989,44.18133261226114,53.34991625179488
9,25,22.86278682714422,27.73461086314358,33.528279497082,36.518794363751915,44.818578942479085,51.8939467598194
12,25,20.07340131516569,24.334569594987254,29.78072088314198,29.08133318931987,38.86613012895135,46.60245711073069
18,25,16.25523645030089,19.602614782774374,23.760093219533886,20.719171287107496,29.11273601560081,36.53329863953615
24,25,13.586644874738464,16.3264680273495,19.427460595413635,16.53756507727492,22.754105577430167,29.26270848482541
48,25,8.301347396452378,9.627812335074143,11.394057850875651,9.195329271063475,11.01535632070406,12.752344028388507
72,25,6.007805115866223,6.9108955501142315,7.80838282401996,5.761418762403855,6.996039003809201,8.26200035798307
96,25,4.860319749223937,5.771312112514176,6.729380946660098,4.863775480673865,6.3417274804810155,7.923650102404938
120,25,4.259340109672651,5.083097370770496,5.928847112387388,4.209732251984619,5.290384668867004,6.466723152592033
144,25,3.7865257043147125,4.456298627976924,5.264098279631844,3.9516352478424643,4.894025407447879,5.878428126325567
168,25,3.555757666983561,4.094175961018287,4.773153854462691,3.4994862850739086,4.324491492625761,5.2671122654076274
3,50,40.78825314623149,49.11002180350516,59.02971544383646,48.97734072243999,65.70849928542165,80.98865162477847
6,50,29.51617184531662,36.98474613103265,45.97249219054559,38.32540073792954,54.56133616836868,67.86923081477677
9,50,24.13327223090257,30.83534558594473,39.206360092402946,44.065862589966315,56.85778931146221,67.67734030190226
12,50,21.26787940354796,27.111711550009225,34.62836465796088,34.15391510588753,49.586941423036315,61.11728257873695
18,50,17.4112785083477,21.879500531243412,27.96713925459955,23.429044566471116,36.869959952388136,48.361039724870714
24,50,14.350697972534444,18.001644804745062,22.441161540612207,18.203181120055586,27.61019638778739,38.05888773438173
48,50,8.720324242286303,10.421354437265272,12.860309480911386,9.958535285686118,12.413859846829002,14.805340415982254
72,50,6.303995558879317,7.481897214767692,8.712408914292851,6.045674970328411,7.739288690179608,9.541156787915948
96,50,5.115245991751715,6.314918543665714,7.679100460299623,5.189326382869629,7.269191577471725,9.558390989535514
120,50,4.491816437576508,5.571088492006476,6.80864810244905,4.477994574825084,5.918273945806331,7.7115157657183655
144,50,3.9785132115001973,4.852696488130729,5.975459407502832,4.220737328832133,5.5200038719508955,6.908570005523281
168,50,3.7623515261736378,4.480389192998576,5.435277434119602,3.7607520290589305,4.861819407346633,6.232794423403856
3,100,42.94606336166744,53.09485616972994,67.44618473237547,53.7131170663547,77.99031105585323,102.32287097218895
6,100,30.695894396396135,40.60389402080016,54.16982665605529,43.39786844544963,67.03936907778363,86.71153134532187
9,100,25.238356161248966,33.96316652202172,45.57144706875504,52.454821145470774,71.6800455150402,87.99976090872599
12,100,22.387020997200572,29.91021432845094,40.809631081051776,39.419131018088365,62.95076072338847,81.72771773554251
18,100,18.320489802983296,24.174471561412435,32.46691013097631,26.205357634712065,46.46592071212597,63.91628377191475
24,100,15.01580608157855,19.629394615372817,26.16167156065368,19.615354851003886,33.21719706691596,48.70929729342271
48,100,9.102681270041657,11.158062824152136,14.699032711099864,10.58131845062259,13.821973446207156,17.294842941888163
72,100,6.526945394260123,8.01169745658186,9.774707239230436,6.258612388607641,8.4643225224715,11.018347288063403
