Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,23.965176699397873,26.653980344984713,29.80484885654365,26.68721188558586,29.742616903665095,32.852286274933064
6,2,17.991704700534854,20.13594777468082,22.43756201412546,19.557756845496215,21.899861097438773,24.350028010671075
9,2,14.875853328048251,16.513440080540622,18.31865349154351,14.916493192253345,16.635368178450342,18.370014751952176
12,2,12.589880445629843,14.115846510325005,15.764898337377545,12.731945879044435,14.127104778044629,15.653551829047391
18,2,9.890027150360941,11.119328494565165,12.450332082794912,9.805875292214598,10.71372392297664,11.59216548173923
24,2,8.224711327629873,9.268836803141886,10.257154590033142,8.218638601379931,8.90991717846219,9.637762386372376
48,2,5.014194950464114,5.628625649832197,6.284420062197739,5.032206930038192,5.545566259679509,6.041716042888051
72,2,3.709383638677987,4.108614553352417,4.597965004873036,3.882279058439844,4.315598593922701,4.738496245478739
96,2,2.8958353495621827,3.31295845072706,3.71463975818933,3.13428385427678,3.416619209814881,3.7066308306410845
120,2,2.5114059693330706,2.80762625452024,3.1440394101115388,2.6252637235769964,2.8807827360577263,3.1668124185077184
144,2,2.2597311729732876,2.530270819104037,2.8454870367583034,2.2571661789190745,2.528251291908899,2.802850054457564
168,2,2.0216302996931352,2.2712876122725447,2.5772621890684633,2.0943661709954107,2.3826369531865343,2.6695835500543224
3,5,31.35129005574438,34.97369694371292,39.046428755472334,36.666657282062616,40.34031201706248,44.307243301435946
6,5,23.711832877954425,26.72650913376126,29.83310220553075,27.841636558755482,31.624564737626542,35.416111199780254
9,5,19.61258148931701,22.002952712904367,24.492100630846586,21.692679609430808,24.410671636264496,27.27607424484728
12,5,16.445819534465947,18.72358582750673,21.32930241143916,17.60491773830158,19.505898280221107,21.568917367445078
18,5,13.00743683161653,14.700269336168734,16.467224054848447,12.69289187526088,13.930484307176457,15.17409353226996
