Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,22.560363751421953,24.22735548359659,26.28080453785192,20.855367654263148,22.566857320464706,24.957752146171757
6,2,17.385011006355878,18.817831567682177,20.31562285380192,17.21719769061157,18.606732173473617,20.063097964258304
9,2,14.411436243649332,15.574827248265716,16.978280257270388,14.09743442247677,15.09355096202913,16.229385677303178
12,2,12.598482301404616,13.5551518536981,14.846932880020969,12.024188454930801,12.831106964626784,13.649660754714414
18,2,10.101610143553515,10.839461472435325,11.715892053443664,9.836812804779814,10.508992699924796,11.275098177945907
24,2,8.750892527328427,9.501017207655568,10.26905388371096,8.760877053271948,9.401084307025998,10.052881004758248
48,2,6.089825222210331,6.645150550733668,7.404091126238052,5.751952074827301,6.21023423818264,6.71651956017296
72,2,4.917268465736409,5.379579455862334,5.950764526677284,4.774486953957894,5.201104847034647,5.758034337030403
96,2,4.233400069639015,4.66705512852951,5.25629840896605,4.1825812028310745,4.669632628152086,5.116700211177024
120,2,3.693489472805229,4.145153407486447,4.595806159544337,3.4750651112847537,3.942427483303516,4.428041649971782
144,2,3.298029051440321,3.742319538651487,4.252906894086423,3.342382600814336,3.815154797882653,4.347253112862782
168,2,3.049183578839515,3.4194727293203284,3.7979408149740905,2.954545650057853,3.355436195235214,3.770360531557337
3,5,27.44425005812834,30.177588049355975,33.36378393072639,25.744311502909625,28.72374618973016,32.66281079915936
6,5,21.463623155995563,23.79158894432692,26.299502763077392,21.088359620446347,23.009328767840138,25.277998386608743
9,5,17.63329754811356,19.624106055134934,21.942990313021387,17.5623726569572,19.0540206121045,20.736280086400477
12,5,15.361443368065856,16.932188266107474,18.90215250033323,15.136873645885501,16.336191091795325,17.621257424287805
18,5,12.177299618922955,13.471067433255985,14.961136370938942,12.307955089431134,13.390523701361857,14.599207650409344
24,5,10.702627676289634,11.851310748948924,13.09154712027268,10.660878846994713,11.581799686868687,12.483209115968766
48,5,7.604004562050887,8.490024276452626,9.630966596250383,7.32712229864711,8.03541494566749,8.884845901239423
72,5,6.178120291603747,6.948332778941392,7.717852369024751,6.343303576089542,7.024211909541746,7.805080126947685
96,5,5.415284225274325,6.090820590689912,6.829514604480922,5.6248606598437725,6.23549033653348,6.844929686950534
120,5,4.896094211825405,5.492760690780101,6.1099029619758545,4.86351831187763,5.498100779458062,6.226827263176972
144,5,4.4367835352104485,5.027522328428107,5.7064534837298275,4.757743470780408,5.441893902877271,6.172872377318948
168,5,4.090811872464045,4.6084147423908135,5.161316963015531,4.175803365971107,4.82515612511345,5.5439681106189
3,10,30.680203562437704,34.52675413741308,39.0151358116713,29.05221803684899,33.54086343882369,38.80063403107583
6,10,24.037230668953192,27.519885635778735,31.78144214522584,23.377630591226115,25.89528320913122,28.937120816914852
9,10,19.647569312546274,22.672894450747204,25.97488272817398,19.46250835260295,21.59242895752278,23.751060052301153
12,10,17.1342750753687,19.431457263476958,22.234668748837727,16.924945185211886,18.53796124827715,20.445442514752443
18,10,13.523889706206546,15.642806496292966,18.010289381412136,13.821806378964027,15.34934241950043,17.052700053611787
24,10,11.885359970485533,13.634616336749158,15.497573018519688,11.805654344602594,12.962793655843296,14.1888049825223
48,10,8.558410885981239,9.819799718288959,11.27620907263804,8.241903697255768,9.267079087970473,10.446471892880947
72,10,6.976824065984258,8.01187606824109,9.08987312069625,7.363625824155747,8.345904358057778,9.319706369349369
96,10,6.063472002418495,7.015590867555602,7.96057990254865,6.48599697138957,7.202892379502385,7.918692977256391
120,10,5.530801281438374,6.358622313240889,7.24821988894624,5.693788224916878,6.521537707135755,7.35599071449108
144,10,5.075775189785226,5.8676390822339926,6.72660638142222,5.78302939950194,6.621158199948676,7.549622890277617
168,10,4.642791315720714,5.3977456753442805,6.201025602862755,4.9716904985374875,5.884387133633979,6.906710365191234
3,25,33.920990621450784,40.537285084899025,49.2316365988941,32.92147954882602,40.702386231009314,49.87457601744852
6,25,26.72121677769963,32.79228573361807,40.88519263118994,25.46601696240674,29.544278056051066,34.22069519347199
9,25,22.15710510406257,27.00184405091473,32.76480678604477,21.21465086153648,24.733135101126194,28.42625989602348
12,25,18.9985861324206,22.92484428152097,28.053125620699902,18.773729749828288,21.209355557258093,24.171134322888747
18,25,15.229382681679697,18.99738122043312,24.310572892792372,15.499230555694727,17.903423316651836,20.467816151657686
24,25,13.360058841341715,16.1846559530696,19.571647731227415,12.934148168467242,14.65341618710759,16.553218454906666
48,25,9.597817929632106,11.63434851396789,14.277271051808013,9.254567993633554,10.868342399988453,12.977873340657187
72,25,7.784573358659924,9.384705542120708,11.070070163965717,8.58724412927028,10.173925347052258,11.788206038588305
96,25,6.808458461874133,8.164050930406098,9.567944393408093,7.250554553572167,8.361194169734286,9.357942673653643
120,25,6.240713555190761,7.423486374467244,8.801598541074561,6.5333380039246025,7.816800105645482,9.059024392056221
144,25,5.740141994441344,6.91698216754423,8.160285530601547,6.836999807656693,8.251699402075834,9.577981116456948
168,25,5.2421793396786995,6.3975210476997795,7.761369864671831,5.903611245021174,7.342150326602967,9.016742636667022
3,50,36.30759808730308,45.400676954241945,58.65473331323584,35.37160816365471,46.97165393084392,61.04896816710787
6,50,28.29139087189796,37.154072759695964,49.68830208198046,26.959030263061578,32.274394471682484,39.1096104630882
9,50,23.694540497466487,30.59710514649128,39.14235314652254,22.39268173817224,27.0311327676618,32.15025471691715
12,50,20.169175664415175,25.782593884961386,34.10278331550374,19.80165721582903,23.12473500110358,27.24302106378415
18,50,16.48370016431397,22.017764567144148,30.593737451128263,16.611594667685992,19.868882452960037,23.682823136632635
24,50,14.28492013013388,18.316939608409978,24.030109073086287,13.637747657622292,15.877898769360588,18.497284031044046
48,50,10.238551745970852,13.084688734446601,17.51779638220177,9.807244217225637,12.100897894056686,15.22279052846283
72,50,8.227692853860011,10.424522057014823,13.066739882949433,9.354564374042296,11.663929282365295,14.087535159815424
96,50,7.189977638070072,9.001858051730085,10.968557695729668,7.666991262164441,9.182262979905973,10.649916153625728
120,50,6.608215451704641,8.192962792003296,10.174109370951191,7.022589733519916,8.784982368065343,10.517608665874008
144,50,6.117156609583851,7.686777759990912,9.516216383569333,7.543947975697677,9.58003192490841,11.546349791122134
168,50,5.627603005512471,7.140985500168409,9.050467018312787,6.5206233206027155,8.525227346528688,11.020010691726107
3,100,38.322989942398316,50.598094210413336,70.99023476496254,37.893613550922566,54.18644918835048,75.930498181259
6,100,29.743488269001258,41.90440523175812,62.259908513198326,27.880496845059962,35.02130271573146,43.86675278962798
9,100,25.034690265523636,34.525666233386154,48.312784233237025,23.395908101857486,29.297651561351692,36.134690204261915
12,100,21.29366197146102,28.865232424463237,41.47599848503059,20.671613982975384,24.979885408960847,30.624856388315173
18,100,17.478042139691695,25.554122215585693,40.05017245184185,17.58812777235638,21.89138464317531,26.96651167502145
24,100,15.060286923244952,20.6604447062305,29.43917997776815,14.185635542403112,17.075429993795648,20.680884596549383
48,100,10.760553263430019,14.618532858895914,20.96312195696456,10.226532385362685,13.37282086592402,17.7867348168229
72,100,8.60102445807299,11.47502346164732,15.48045419360819,10.11866673405131,13.274789644389141,16.896004447137823
96,100,7.56842285944084,9.821717485488037,12.733257592631126,8.000133453686795,9.970919110285896,12.181521350789133
120,100,6.827739460815828,8.939913428082935,11.82669984996943,7.474531310614722,9.756857090245523,12.073905544064417
144,100,6.434250939725436,8.443665395074119,11.138484973934466,8.152961313678972,11.01513018062868,13.772376186469316
168,100,5.916607743959469,7.880458089333083,10.487953612826718,7.064054840474494,9.800121515102935,13.46628897518864
