Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,30.23713364122711,33.084919037376686,36.08153318481905,32.883432332307024,35.756878493613605,38.741054248724296
6,2,23.00729305261437,25.118976339786776,27.807535854853867,29.996185993676207,33.2194673317801,36.260512330306696
9,2,18.933520475680545,20.575447281638745,22.5384315964505,22.3886804003608,24.337092244789936,26.43279364125814
12,2,16.172275014626987,17.732548818551262,19.422251850287797,19.68999174903243,21.405873311522004,23.18201603854061
18,2,13.199984863484207,14.463337525036916,15.928039619283172,17.385773544797473,18.76582108688922,20.138146533826994
24,2,11.347290593907593,12.518323082209976,13.963516727689733,14.113901600394383,15.285174742238379,16.49385207019897
48,2,7.697500077105515,8.489250920097078,9.317150912229689,9.190468933258565,10.173329804322515,11.386494904992475
72,2,6.017323165880794,6.66394472151465,7.398638108623019,6.095603361208431,6.909022563357722,7.850897803443999
96,2,5.036265677747492,5.6184890880613505,6.290713076403541,4.96103357188858,5.68234216763715,6.485619400140665
120,2,4.3898655517512495,4.905291551073564,5.431930632797685,5.298886042160803,5.856226790607548,6.4565814119567015
144,2,3.945303149766785,4.329222958227631,4.78248323897051,5.178229342496967,5.706303060306423,6.204421417806062
168,2,3.5697075547447716,3.898728760916942,4.282751788413373,4.162534224950004,4.488052811119497,4.846052516879508
3,5,37.95139359761537,42.42147481035702,47.05239321495092,40.47936258368091,44.17294013790516,47.830755251721826
6,5,28.600680423668283,31.849580398388774,35.41393012848681,40.46354993367295,43.90858758279875,47.25397974515708
9,5,23.715914658678688,26.44292689276707,29.955634050506486,28.459279967478068,30.86023479328668,33.58284282404859
12,5,20.556697105408652,23.127874591224575,25.951530163818447,24.998255339085944,26.87069177508029,28.804537942799236
18,5,16.71771634707861,18.841749532810688,21.200386386021705,21.446301326647284,22.67252205506081,23.850353986234484
24,5,14.36533969401513,16.346435011336563,18.655660649794534,17.31089078487173,18.458603190170013,19.587702676266595
48,5,9.810872111556355,11.14263901701803,12.654310911002138,12.423516817500524,14.348557621968045,16.461814589805975
72,5,7.819003751100185,8.832512279607691,9.983908396514952,8.41681312132315,9.934916097908173,11.698064946208195
96,5,6.53410048908175,7.407922391741426,8.421033435850086,6.917816696845755,8.265612148345317,9.77234314740959
120,5,5.633594414498466,6.399065179285181,7.163815172979225,7.167751681884182,8.065048993158998,9.031144368411221
