Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,26.324244134666444,28.999233163874166,31.922736748470207,25.421094480642346,27.713940903062394,30.166923311509976
6,2,20.517796778226987,22.53175177209794,24.978825121424862,22.02056075016781,23.946768396963865,26.383655553090946
9,2,16.85863889683106,18.689367525614834,20.716985750068126,16.37928177808239,17.90029304865733,19.67894746562659
12,2,14.775706964390686,16.402198705834596,18.247188207046015,13.777475348458385,15.252163561095529,17.060983204099337
18,2,12.189562826196688,13.346287624021537,14.573729458098603,11.061768568308713,12.601454561856166,14.207885959575986
24,2,10.042624082944501,11.079288426052502,12.187944178586989,9.27307928785497,10.13985742389944,11.144107860634021
48,2,6.339176774182237,7.017736647520076,7.7540584680614995,5.9186859292429235,6.378395809868104,6.8634861498981525
72,2,4.844852978465724,5.2894659140814815,5.81951603579779,4.40269395966006,4.791914050640296,5.191146000832877
96,2,3.956739727071043,4.372117521392718,4.860257064936908,3.6166457956971954,3.9202056657379662,4.2805878276535365
120,2,3.426200372803746,3.816702165362737,4.315723315655999,3.5231492554125605,3.86655576163134,4.286113043950937
144,2,3.1007581793106533,3.4521199058563363,3.8838508332064188,2.983968246780524,3.266660247159721,3.5968596589328676
168,2,2.8949581994860267,3.2175030367432735,3.6239370571741816,2.9991100178720855,3.315944938212043,3.6616194823940367
3,5,33.094210116436045,37.686270750609445,42.43202219559456,32.07274598159172,36.71130497065151,41.505907401725324
6,5,26.067969100992393,28.966913886518093,32.473199653883704,28.122016986534774,31.353589341540122,35.43770104607289
9,5,21.58669908030773,24.222935169974445,27.02052925070727,21.175424578708867,23.53885389255078,26.235197753834836
12,5,18.98064633023113,21.262402171254728,23.726961774282934,18.12960953688276,20.6223211825039,23.343868625143035
18,5,15.427108681853522,17.034144140804187,18.749364104613953,15.262457932245674,17.49786476871299,19.604984823252604
24,5,12.851545324529749,14.178314846204874,15.990767514356325,11.644358737668565,13.088471827771698,14.624965354842939
48,5,7.9568269212808715,9.028416719187753,10.126155863935306,7.475640528166695,8.27548236204183,9.132799404748702
72,5,6.133822114635798,6.815558795484199,7.6497426841813905,5.598817039721395,6.200554443732429,6.835017266798568
96,5,5.1236645518282335,5.725398073975452,6.462732777773386,4.567138140966478,5.15508204595133,5.91578834302784
120,5,4.4152751107100245,5.040859641852654,5.713046140427521,4.603922091586696,5.23430516577761,5.987829513155231
144,5,4.027741075771266,4.545701403019552,5.192392731507696,3.812596189946838,4.3348367320232715,4.916767269060218
168,5,3.7409030602015,4.22336952460166,4.775307776943219,3.945194218978565,4.455092347663822,5.125942573716819
3,10,37.49024208621644,43.84546212699141,50.743103938936116,36.67409307863862,43.88075507538277,51.23224723062205
6,10,29.28917042636104,33.36900996331063,38.94783608719708,31.513563254062333,36.87375001560377,43.420365598864194
9,10,24.57987245496193,27.88331475608846,31.975091050419728,23.894109518318437,27.54424579372655,31.628840494083843
12,10,21.478426536087955,24.391896195580358,27.738536735404317,20.99295738629561,24.730987417210393,28.89391882404106
18,10,17.150138056838692,19.303363742651364,21.496508455074455,17.95237890429679,20.97606654681372,23.594167295991735
24,10,14.330837754640537,16.199979274132296,18.301771803610023,13.136008438105808,15.1578403458552,17.357175712685503
48,10,9.083543399219955,10.429397415136865,11.914091536475322,8.528123080417116,9.785332470680382,11.26664769244293
72,10,6.901710480593163,7.923447458020569,8.996557404959574,6.296694711708966,7.18154949573073,8.21525267390236
96,10,5.771194064672017,6.681306818417326,7.732544696513667,5.209320237292754,6.1505196589879105,7.405494668230792
120,10,5.011510182966751,5.904920908655867,6.81403001724824,5.330479243195093,6.387928593367747,7.644719829265876
144,10,4.570645571565844,5.2800853007292545,6.122447135451154,4.400981451296999,5.205012704319239,6.070860081157674
168,10,4.248595932644944,4.889703258463912,5.626450826665215,4.549974307489736,5.3783466725589415,6.3573479672738715
3,25,42.104767281110284,52.12502073668104,64.4822825496907,42.86218199106587,54.74454606233837,69.1938953218073
6,25,32.72561867070635,39.09759254114183,47.79212143717041,36.17593743368744,44.72929839898865,56.02072076168963
9,25,27.365330033304737,32.50443100477106,39.257130055059875,26.75007920031397,32.99695664770364,39.6440668377756
12,25,24.175819937416016,28.24809965560879,33.140877693058876,23.87034450746105,30.725584876761452,37.76737460351747
