Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,24.110762093178238,26.998477302868558,30.496759142568983,20.899904712784455,23.015066558895665,25.623540600307194
6,2,18.058918388566262,20.190255057996403,22.5256220621673,16.640039910057073,18.485399472254095,20.55127058091808
9,2,14.763981378770582,16.411584574712663,18.180376435679804,13.6515130352917,15.211927296789709,16.922139977492296
12,2,12.59192513212767,13.864807433550371,15.257558781996792,11.484194344774513,13.0118010747836,14.60479870642535
18,2,9.896579034652943,11.02606782635051,12.09296336651467,9.49490904047482,10.473981058221078,11.57994354078476
24,2,8.455155336127834,9.308224673936827,10.16708633975883,7.9382109738798174,8.727547599981865,9.50743747004614
48,2,5.376486182168286,5.9346918687346975,6.634668843155302,5.304468280009369,6.106492102222635,6.986974978202421
72,2,4.134827760605587,4.577817610507587,5.1163722586286315,4.402825004095348,5.110065197250054,5.834686967427342
96,2,3.44629980668988,3.809274798066471,4.163588645711369,3.060984126507565,3.4223696044750564,3.8078030019217017
120,2,2.9314383531124646,3.2772434788888676,3.670206577154839,2.4974011494780513,2.74744051937373,3.044338718112831
144,2,2.565404410009399,2.8861210156035706,3.1740641932624785,2.5219390904581576,2.867071540225172,3.2541399756516056
168,2,2.371366808927478,2.6060654824235776,2.857041762330379,1.9805605338850119,2.203696361619574,2.4384839253082706
3,5,31.893864828368855,36.901430175964684,42.1676050959053,29.218032010252067,32.98186806470791,37.6448993936068
6,5,23.894113765689113,27.0289604052576,30.364335519141143,22.36316726972092,25.614242271422555,29.89632486403339
9,5,19.329407511812352,21.710110762736832,24.19971984315398,18.12498078654481,20.42307595398607,22.833668809461397
12,5,16.140464932397794,18.240171572145112,20.557737609488292,15.75144016135198,18.131647825178415,20.71490872665546
18,5,12.580612380270424,14.247988664146595,15.879207854211064,12.013506874188185,13.50383467313386,14.989402186266762
24,5,10.62725159827101,11.936193682013164,13.213786437118465,10.25115094024359,11.53528614841034,12.839803654269861
48,5,6.958383810822822,7.811756997295321,8.976624019610274,7.721435350868273,9.208110369402865,10.806958665352521
