Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.077036882533015,23.529532138689753,26.436611092334118,21.57672942861558,25.739700058044768,30.418570216523406
6,2,16.022150200944406,17.889341229820253,20.07630304147537,16.6395190518247,18.64977691828483,20.737624716639772
9,2,13.29790252006779,14.814186299174086,16.760579081337813,13.402490819317567,15.038994605440129,16.762101171024618
12,2,11.316376232649326,12.75557245074415,14.324127585201879,11.69769356370827,12.93441102017837,14.208401183440191
18,2,8.76011968191045,9.795368703009089,10.893838755460688,9.399430523704556,10.453293203908183,11.603283588163396
24,2,7.281573583999405,8.18167954751856,9.03507096243616,7.112247592285183,8.122506682758418,9.054716741200743
48,2,4.259134806803884,4.817421184049312,5.447995642013436,3.9988751672665233,4.606061617387861,5.306399952996143
72,2,3.1723070823217263,3.5264128787808238,3.9934577755083973,2.8233943230097758,3.1741065876138426,3.613730570108406
96,2,2.6155578940961224,2.9422742265692508,3.2811804432337146,2.1173313840021315,2.398853219783783,2.6930196845204617
120,2,2.251997080479059,2.5406081148880317,2.868057241857537,2.025481528154713,2.2651380420574903,2.5683540544840673
144,2,1.9782355042876234,2.226413344167335,2.5145646019706422,1.8719856921209108,2.080514535073588,2.3215558418069158
168,2,1.8669643005564749,2.081499180502568,2.3193048214210252,1.7495656345962933,1.9717724248662782,2.2321240822482986
3,5,28.10136962563893,31.938776480761184,36.29943159390962,35.13926074743479,44.38435164822506,53.91077961851114
6,5,21.149735470641843,24.180693000023126,27.396687871099516,23.500711215704477,26.580457313139455,30.298440982055865
9,5,17.53779101041327,19.92417990036875,22.75724193235814,18.846401558107278,21.754035031134094,24.488436084804427
12,5,15.138019262366278,17.124653234722782,19.172884727543,16.094839901180283,17.928836688387445,19.69371482688885
18,5,11.479866762531536,13.00354288783344,14.555324539906884,13.074579646779714,14.437902946688832,16.01872038051991
24,5,9.583598777256896,10.704443285238408,11.746800689452293,10.007526264942175,11.197415921229883,12.418345486890757
48,5,5.747584657498953,6.390899577447236,7.125371970963725,5.799710558763211,6.619424168742297,7.581055735017932
72,5,4.208926213668437,4.68815283124995,5.2242976290119305,4.065487940953273,4.581008879973727,5.230907715464941
96,5,3.5263961282661245,3.9374185880735757,4.342167910742617,3.028453831088166,3.4678180717789777,3.959239697374384
120,5,3.0549743085960777,3.45813910367114,3.8517133794942753,2.856695900714675,3.254017490511856,3.7392852938548176
144,5,2.6431497805617457,3.0152771439300317,3.4128812213536213,2.6247815528915948,2.955696296123476,3.3155337405842573
168,5,2.5023914943753445,2.7671445164,3.067569555365978,2.515990783882663,2.8583497457587344,3.227866812375323
3,10,32.45256739100719,38.05493138444085,44.324615054953796,45.71557077573388,61.7071594412661,77.11578470980277
