Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,33.57556611490366,37.60924749333865,41.70481610617612,41.933556213094406,46.91197482752339,52.44413802726474
6,2,26.431007713345473,29.14933893288569,31.999527248462023,28.517228996584457,31.424316187894217,34.678022057933745
9,2,22.066212270449913,24.47805209794633,27.1196425397355,25.114514489881593,28.453000457891726,32.05060866378808
12,2,19.586658359925988,21.552837351367703,23.935559965901803,21.092005317309706,23.83879025945179,27.386063369296863
18,2,16.463517212142467,18.013083878976886,19.846499086778692,16.05467837093171,18.094896955671196,20.712799896596348
24,2,14.400830829595797,15.929772129975184,17.697211626022575,13.490493370638628,15.26506733303524,17.452060804872946
48,2,9.701204083758796,10.7137718497674,11.791899019116842,9.870599411444541,11.166689308439835,12.62293698609654
72,2,7.469233830910149,8.242271857779517,9.023360801045406,7.601641807741547,8.336984890851884,9.198589149309257
96,2,6.204632331269231,6.793034707441411,7.440474474249483,5.978902816515828,6.591553963230215,7.3664956046726395
120,2,5.346558321961337,5.790435341626223,6.285917859232661,4.933462565441608,5.332607435483809,5.903414268700391
144,2,4.704839630934413,5.130213163414432,5.634496952905316,4.395945634431194,4.897045666322898,5.519511117334506
168,2,4.314201425378869,4.70636861800274,5.137701981942343,3.818438727657776,4.281267057051188,4.9444015702295125
3,5,43.58147913228413,49.13755247448401,55.37762013030999,57.45810194050543,61.92805377580893,66.24487090286985
6,5,33.560602552378235,37.682457556569936,42.77012511500823,38.63093627049376,43.13214058177875,47.748565741062826
9,5,28.093553832823147,31.708920973537616,35.72706153159342,36.267189396803886,41.33093675897886,46.71080854696441
12,5,24.92655499457251,27.953537046736308,31.65493130538416,30.571757317183625,36.04516455658793,42.03949534146143
18,5,20.651383613298048,23.26345124877204,26.06097578758779,22.334737863704817,26.288837373330818,30.86889496370457
24,5,18.33239828410594,20.594916013360493,23.045856465870383,19.31567131616673,22.602341485102578,26.215723431784255
48,5,12.265953597137734,13.802806996509783,15.334285443697105,14.047786354900472,16.571029658480096,19.699869215518305
72,5,9.421275741046863,10.549156545105383,11.669058445752006,10.67463722291391,12.269770839107908,14.034049238572653
96,5,7.834526724847535,8.756547884443595,9.708483814061843,8.34219235654468,9.971957688223204,12.167473469145115
120,5,6.673326322835883,7.453516003570398,8.288136520647779,6.473978600749687,7.473301586989201,8.973788004954475
144,5,5.8344519709775255,6.53306302076941,7.295709040635224,6.162783273408698,7.383392887351488,8.902424798036598
168,5,5.325329512480258,5.928649592376171,6.567836665523773,5.3282661309828745,6.349601161220578,7.623014058347859
3,10,49.44312647748386,56.624822041484606,64.5701488173658,64.69037454026453,69.22215968684591,73.36832715461195
6,10,37.75994693192172,43.27864525318381,49.61040725493021,43.57546991775756,50.4431205762905,56.788448449081756
9,10,31.81562108730131,36.6337685542341,41.67897109012664,42.99020218405009,50.74162236788946,57.69094316071482
12,10,28.10013438476529,32.368291816001246,37.796500817568926,37.11862990837028,45.60263930581819,54.80226977397528
18,10,23.248645489501005,26.936155833568215,31.058544276747952,26.325601065123482,32.899385322720654,40.281589183206414
24,10,20.793226131433908,23.756567811767027,26.982831934663334,22.92386718526094,28.470110976013054,33.921748251639315
48,10,14.004890836432928,15.870523946012582,17.93179555509505,17.497741749166707,21.265317186498116,25.93908006736754
