Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,4.638291208681867,5.393176389819688,6.294304339750665,4.837885485517479,5.366672319607984,5.98578205375814
6,2,3.542311470179942,3.953947481730675,4.589297404699481,3.488950659581043,3.838789669763027,4.235208024656641
9,2,2.7948551032976687,3.1848929480433528,3.6370492180577747,2.6969762728136226,2.931917904947567,3.1999847380860467
12,2,2.302333591907196,2.614991051707144,3.006681937127796,2.192601562403398,2.3848329995109143,2.638000171567347
18,2,1.720228079741315,1.953448052485005,2.247561297470726,1.5428497992225916,1.690122088156814,1.8546159843295462
24,2,1.395072792738295,1.610453946186682,1.8835343700402398,1.2703160044505006,1.4223602015780854,1.5961212258254172
48,2,0.8018540057202121,0.9254956111409196,1.1083164282248412,0.8886681602022042,0.9957355089730606,1.1051553149224964
72,2,0.5889798637543847,0.6825088241956285,0.8243699118298222,0.645090145946889,0.7099712087906908,0.7754799797470171
96,2,0.4655473320538004,0.5383458849913163,0.6391314657224049,0.5109278518900775,0.5781928189042664,0.6517341363183715
120,2,0.3935314205403527,0.4533573394521352,0.5527049892603552,0.41216946097109475,0.4613591083370906,0.509352987040331
144,2,0.3445870300604924,0.39645584965299513,0.4930160987204026,0.32758958646537273,0.3666297704195477,0.40643071330431046
168,2,0.3161718261522066,0.3611755337255468,0.4541453174976813,0.3146570074950834,0.34840720265077,0.3846980516988847
3,5,6.815039443409091,8.536088537781703,10.339776210534094,6.44844237536334,7.259620576714956,8.141977981946336
6,5,4.807161286150562,5.820273530448942,7.1089209944016485,4.4424360116379065,5.05652793894277,5.681957647382719
9,5,3.91013609333375,4.673773197468509,5.894694348131431,3.2818785111039697,3.6959926382070933,4.14070840125937
12,5,3.168637005841538,3.8429428501884453,4.677502657089377,2.7734320460266733,3.1152102185263524,3.5762214830482497
18,5,2.3847837374448195,2.945606517454599,3.5379650295175162,1.9786967091808578,2.2407835813113826,2.5421510831268854
24,5,2.0082537995644825,2.4844836365490854,3.086369166632063,1.7132015845040334,1.9884692259994141,2.2860013619935473
48,5,1.159288276977726,1.4823924108068818,1.8666442213855017,1.2679894832741145,1.4382393039088808,1.6272839405626272
72,5,0.886348282589348,1.0972931528629475,1.4256004430650684,0.918694994085209,1.0211582857818209,1.1361317012816226
96,5,0.6852124537472419,0.8891640455639469,1.1251281964957047,0.773792660523491,0.897961808359853,1.0242895766200373
120,5,0.5770861835078277,0.7511137072557978,0.9912367661596264,0.5782209944474609,0.6453430387710923,0.7214991008604954
144,5,0.5119182421136735,0.665136722108426,0.9028819580427614,0.4289677530442191,0.47921281237956903,0.5337855016484115
168,5,0.4668785285929705,0.619200007177126,0.8541159663000315,0.41955378247844505,0.47037470311004015,0.5222225508997644
3,10,8.59647763587952,11.653356656477126,15.033895286666873,7.444085867047571,8.588238235305694,9.891485577057876
6,10,5.758951439629275,7.685976919930177,10.232557465163719,5.118025288442706,5.982934559442723,6.9830865989787565
9,10,4.655238179900502,6.098061102264369,8.397906910129176,3.6636367757772863,4.244351062291337,4.842476605061621
12,10,3.856681166082465,5.034523487827645,6.572646618778595,3.1416250034829156,3.6984620764784046,4.401466878056452
18,10,2.8858221341286807,3.897287099861349,4.944103430811937,2.266787190449262,2.6713605918210597,3.1208137559460196
24,10,2.4695298760923166,3.305189134575113,4.388906546654686,2.0320489338627796,2.4331089825985934,2.9139964707710004
48,10,1.4455969537438778,2.050776877243869,2.734628961319466,1.5216923102530235,1.7690445036353277,2.0280354777409526
72,10,1.1278601958595085,1.5419044439316352,2.1248250022376958,1.0987348365475667,1.2486912208383045,1.409524610498257
96,10,0.8661489903382087,1.2862018250312193,1.7532157037362481,0.9927412873374659,1.164875336581476,1.331106629087486
120,10,0.733472855534498,1.0968516200260467,1.5945910309972418,0.6861674074769528,0.7800533185318785,0.8737762497899761
144,10,0.6704005395488781,0.9864690698847846,1.4259925297788043,0.49091352001659916,0.5533363613637988,0.6193304143897422
168,10,0.5968843096869547,0.9282917164238964,1.3825004466723527,0.4879458314114697,0.5591494232419367,0.6222248886234505
3,25,11.02852485211811,17.36795824788751,26.5440251361467,8.451708497108399,10.37703133014377,12.584940846707534
6,25,7.088575741500122,11.131584488656772,17.419100882088955,5.785388143895368,7.3256084794977046,9.091649625809076
9,25,5.610044730794631,8.621938069283068,13.466839379549633,4.116364554265389,4.9978562491783975,5.977193004735544
12,25,4.853499593346943,7.1745096846549306,10.114430181650974,3.558720699618581,4.583970951993808,5.796953347914998
18,25,3.5635795752452424,5.587961480548474,8.101903145458813,2.5818654692576346,3.3114880514712315,4.123152117155397
24,25,3.1781889276645865,4.734404723947009,7.36290164242954,2.379466102162372,3.0974069263722646,3.918799017800155
48,25,1.8725046568497876,3.121205917882402,4.999574912514246,1.855848352772758,2.238474852571896,2.649475879645543
72,25,1.4864081089003165,2.418971057501291,3.8047082079584813,1.320138228853192,1.5648873264818772,1.8246168622874805
96,25,1.1648372793030204,2.110944707183926,3.2864039307632797,1.2973537443809082,1.583349276878892,1.8349506772266237
120,25,0.9748990354239652,1.8328359709964017,3.044979111387582,0.8057740255351973,0.9676302010105804,1.1036879245800453
144,25,0.8847332349124623,1.6901338820231628,2.8736379306036195,0.5531961513190736,0.6473096526988472,0.7490368099221921
168,25,0.7940202889222064,1.606212088684645,2.556266473720168,0.5704439136049633,0.6824160948490763,0.7974606960401591
3,50,12.947419679810519,23.420937105372342,42.15617564733894,9.029261793237211,11.80039038692538,15.005903264344468
6,50,8.155651019192826,14.806710428849502,27.415698806319206,6.261095372248564,8.472826388711605,11.099027765377478
9,50,6.352304642565537,11.211042082983745,20.520983121690445,4.445042871847383,5.6095079769100336,7.0135828366648125
12,50,5.585079078853827,9.397732194657852,14.686553016721614,3.8284842013245433,5.376167380600351,7.295870306197822
18,50,4.042881948080499,7.32647666955412,12.277743332821146,2.825877068697936,3.8722427161082784,5.251212544992282
24,50,3.7261562955572263,6.1766330993838725,10.822684380457126,2.5811352685818143,3.6822934339137374,4.956527906526716
48,50,2.201164834287822,4.2841262585574205,8.108876675542298,2.0766378614569856,2.629977187167601,3.2284800388804467
72,50,1.7550411006918611,3.4141628168286617,5.999493577411939,1.475805867968165,1.8231994157473093,2.2093996004520124
96,50,1.4527966652159834,3.0930169078763337,5.276450235675598,1.5224094720932357,1.9668521310362506,2.341074466170766
120,50,1.185767257859839,2.729424491455292,5.013340580440923,0.8870969258169346,1.1212412871194575,1.320801371041766
144,50,1.1032325962132847,2.570180395796592,4.8884397187425215,0.5931199195830738,0.7177258046780968,0.8576121492079178
168,50,0.9846939610630546,2.4552933327985604,4.427008275404429,0.6252066777572585,0.7832875581897752,0.9640771482172414
3,100,14.714421013714151,31.570866246881096,67.61426895900325,9.601479440043924,13.310241700252226,18.025986346155513
6,100,9.242461211989927,19.784862903406708,44.304139801702846,6.653448396994319,9.766095072508664,13.632800467272954
9,100,7.075401135442732,14.602122037704834,31.956642127389337,4.669054760057291,6.2696372319626015,8.364671213186979
12,100,6.337187098303623,12.341524405858948,23.40000249675867,4.103432935477781,6.306080494440178,9.162367001219199
18,100,4.531724915664944,9.60819158543378,18.795760227046916,3.037340879808892,4.518444185444109,6.527776188636604
24,100,4.268430898849614,8.038996362437532,15.631514865271342,2.8496128366026987,4.359275249390051,6.383459313422074
48,100,2.542315177236918,5.884597449847477,13.128764710892185,2.2887430616283604,3.0609738647005953,3.9157748665189036
72,100,2.063832558711761,4.836325481622923,9.843784638795116,1.6324415646298074,2.1024941371692885,2.7104931672155645
96,100,1.719648207632459,4.556414469124662,8.9219546914621,1.7588893181695995,2.4240042860851614,2.9638721769163743
120,100,1.4563336305145944,4.0921740717808595,8.42833166909905,0.9692224927458681,1.2877332209235501,1.5863309204075482
144,100,1.3116186066138582,3.93873346836115,8.709426174713432,0.6183028181133025,0.7886003423373151,0.9716596664435515
168,100,1.243711416912055,3.7773635357576407,7.927663499676234,0.6669508692618076,0.8927182007654424,1.1583980310882507
