Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.199790471036614,24.119782256345793,27.46150236006008,23.976199108423522,27.21882711456557,30.829441086180797
6,2,15.342413036459973,17.453105512040082,19.889501519921772,19.422873752823552,24.082520807249665,30.38874166230918
9,2,12.160723554619647,13.80086429885659,15.769928226035017,12.933890536812575,15.153768067079474,17.394328486425657
12,2,10.106404434569747,11.435097556907605,13.105099738064439,10.558645223446735,12.111150626826374,14.251318110465267
18,2,7.482887866776105,8.644558569085167,9.99350462017671,8.107773211989384,9.358840563821154,11.05647645967759
24,2,6.056040765255856,6.974522966764937,8.022846941202008,6.742682716666158,8.304722542649028,10.377548109319928
48,2,3.5552078550361297,4.055577538605386,4.685029030417141,3.488262414875437,4.287776258886467,5.5235731883448
72,2,2.585342149812621,2.9501249157480034,3.412432835979021,2.4634471091864056,2.8102030457403018,3.2787212152950773
96,2,2.0541330931158086,2.3507211041594527,2.7023340714313844,1.916915539667332,2.218370291112972,2.6091684208668804
120,2,1.7557509942790699,1.9974391601193147,2.2962826140174273,1.5184354790223948,1.799531013812297,2.166879569302494
144,2,1.5320616657123285,1.7607623273936688,2.054221272044314,1.4316628637469826,1.6265488343764107,1.8690257571234743
168,2,1.3825982030588042,1.5815077981140506,1.8869365897973693,1.271050753831417,1.465457500949833,1.6961119367099549
3,5,28.982130667289063,33.88102462084689,39.92368682111119,34.92909268709146,40.72254690193289,46.89946572762605
6,5,20.963523035038257,24.904667140489018,29.06519676028796,36.241689782377016,50.731782348858644,70.57322444249189
9,5,16.950830212407688,19.952922841979184,23.337779124244502,20.946161550872944,26.539366134722833,34.19719198106764
12,5,14.036174104852826,16.633909847335886,19.7385644044084,15.963619853267772,19.28644683269398,23.711782805065404
18,5,10.540311600592938,12.784105799827111,15.064489244656617,12.911628543487769,15.712322377874784,19.4979097892951
24,5,8.524752346145995,10.407530264347358,12.34486508019539,11.662979734395257,16.16660144830106,22.43486761173699
48,5,5.010207243095252,6.071077952743805,7.378024188471037,5.90516523349134,8.71928756741855,13.399758766815804
72,5,3.6037132126271,4.373949490286829,5.257968387113998,3.7932414288015295,4.68024790205378,5.941505487575326
96,5,2.9137871453873223,3.478335343691537,4.230766831633844,3.01129750661515,3.7157281951683574,4.668647197595288
120,5,2.480050553686399,2.9887349299447936,3.5778618984730914,2.4424547209457477,3.103143873152675,4.124965396686672
144,5,2.198780074545527,2.652211587457879,3.2026152870017413,2.1482924834287687,2.5857799978269354,3.165522222035714
168,5,1.957449385078323,2.370296040878812,2.9721127316048848,1.8793020619441694,2.339964373934224,2.8930665835296185
3,10,34.04296821296009,41.169914378220184,50.63456213685407,42.13917741419101,51.18761415081289,61.69117144485507
6,10,24.529589683997578,30.835737903694557,37.380799052810765,55.367691893148674,81.13406901456752,114.91686961065622
9,10,20.306898447543787,24.99005185785945,30.182070856912787,26.86283009042993,39.243721778248215,56.00964952589559
12,10,16.68281791054897,20.990347794313326,25.86197527819629,19.445543037870024,25.60215475585703,33.64212465990021
18,10,12.598973981374549,16.443538578227958,20.543731397479394,16.936946582257136,22.524079425837357,30.393281948815996
24,10,10.546635459134077,13.500688207922774,17.19576847302929,16.57910082437729,25.112721983342766,37.04330355104864
48,10,6.045876138393286,7.912717189052972,10.346055950529966,8.131263629973983,14.16807713265083,23.933826070944285
72,10,4.327241850379775,5.642206091322139,7.118889702338788,4.967221943029035,6.700557613534748,9.259822602893058
96,10,3.539147126930043,4.449108431656298,5.730634292176919,3.7620287646313795,5.110355957426714,7.022992407036185
120,10,3.0419776394343927,3.841890924913346,4.8730560706066814,3.151847100071274,4.408257472290589,6.519160774605412
144,10,2.7099268493409037,3.4465076567135866,4.331788028011212,2.6765072437476953,3.4735610077829717,4.635201686657916
168,10,2.388345216595712,3.0670325709827937,4.002973948660796,2.405269012115901,3.2230071574377437,4.27705596815043
3,25,39.03857831277442,51.441435102351804,68.76130888096233,49.51772388964939,66.67222560501398,89.10286056028397
6,25,28.797235076723197,39.6972135056649,54.130182795548706,94.2063192496008,144.90847013242845,207.65592665376573
9,25,24.688091636613315,32.71428537569115,44.01175422350414,35.6490478511787,65.66732975452143,103.414661583618
12,25,19.746172456187388,27.815184402643766,36.75494957329129,24.129511164676543,36.14653184343891,53.869424157809945
18,25,15.354116380481912,22.46777701518434,31.624108116198578,22.16352962100317,36.27469258283323,58.161649429721834
24,25,12.915319063711507,18.683663722265283,26.937744283350632,24.91495804484461,44.0188234729518,70.28517044870338
48,25,7.463506409986268,11.039227246932139,16.509620661839133,11.560019397943336,26.55277175390948,48.89001436094787
72,25,5.23683592564431,7.744790599027558,11.084278606450384,6.476388821579529,10.808837742694932,17.59127023128415
96,25,4.284772466376423,6.008416420043831,8.559143005926078,4.823671991938159,7.574102503698668,11.965397700276704
120,25,3.739406282368427,5.211890174067774,7.383184224858641,4.071309980938139,6.887819829671867,11.92209445226629
144,25,3.322655176886138,4.7637158120187415,6.817254116318766,3.337593634397563,5.027679288904239,7.870327961110375
168,25,2.9175726868830765,4.213150164850921,6.050943477930209,3.158645381833419,4.896610320325792,7.345131657535346
3,50,42.645438319542144,59.91025107622636,85.03715717066369,54.219910008094914,80.21147334359841,116.0415544363565
6,50,31.388329068301815,47.42573210725511,72.75973739801287,135.36388722513067,221.6702227230715,313.6605239208965
9,50,27.66077800402428,39.620845965965195,58.965415306874576,42.55152104313553,97.48523327392527,165.65731995716578
12,50,21.71639941723564,34.04351720261491,50.58237614413137,27.057125277230654,46.52024217113524,77.36363076736367
18,50,17.201248292456217,28.231250810978416,45.668211378481125,26.37196782490266,52.494767392905004,92.99610595490257
24,50,14.74537365307647,23.726360335895805,38.16689413679357,33.544625063234,67.09978327358327,117.58147835983237
48,50,8.495589994043094,14.119071143358038,23.590487807561374,15.111207942802931,42.70431743818187,84.13086691800291
72,50,5.901830339965238,9.769864699742737,15.624799737361444,7.787294527439762,15.688600173531261,29.290099466100802
96,50,4.821657054298198,7.465750140179777,12.067568200285148,5.558846329027543,10.138574859644761,18.900765979250806
120,50,4.221566399506557,6.491952069059343,10.344746091476278,4.722008078364884,9.661513046258614,19.494907143703823
144,50,3.7828241488372605,6.032714660170215,9.827618990742414,3.8276824987095432,6.628199953284218,12.503410927710728
168,50,3.317694065573633,5.308870769498333,8.443079200804107,3.7700997105260354,6.74923925685704,11.460823507251796
3,100,45.64481256029423,69.10690365990244,104.83357556755189,58.895751177549606,95.8214660247858,151.96517981770324
6,100,34.25385659469896,56.23110214217431,98.3840504846275,197.89507098778563,337.28116040972066,474.3944810161439
9,100,30.45086063873819,47.65926602119282,80.53511616656908,49.67090038451529,145.70950580421433,264.627256302643
12,100,23.707639384988056,41.42058148461019,68.54211700766933,30.537805679195444,59.78665706240619,114.04661904555837
18,100,19.26882859790592,35.33999500195338,66.82214192437824,31.420153149093814,76.79671625297519,155.47575190047291
24,100,16.579829262416567,30.036630710086932,56.10586231915018,42.60909074648286,102.49232132461353,191.07612725075757
48,100,9.554629335903432,18.01442049552038,34.09457911768759,19.8194607391195,68.89988156195044,145.59653166135033
72,100,6.606264338956414,12.282019048137872,22.585867042436526,9.323052637396371,23.04457019472567,48.71382473525313
96,100,5.40152918131435,9.227509842318003,16.466461186445873,6.284344057309577,13.588830275425629,29.156019934425245
120,100,4.642477065097501,8.039053062087909,14.451700527978101,5.443580628914685,13.643080100319974,31.329838361261352
144,100,4.222178245219349,7.6073109458088215,14.187953390132844,4.3457591985047355,8.759418588914034,19.638305359318856
168,100,3.7173263365066997,6.659514217733861,12.259226254454749,4.384485225389021,9.367752220451337,17.919281434140878
