Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,19.181461040201697,21.646280730170297,24.26126276269516,19.990674079728752,22.338305354587348,25.125786578072507
6,2,14.331678959772944,15.887613401457656,17.474787701643834,14.38623203566075,16.037560802603306,18.120945036850678
9,2,11.877820911185228,13.082691080221842,14.481970810639833,12.170688112163868,13.387040678850116,14.716836153278777
12,2,10.220107868970036,11.217844003444156,12.236574702480294,10.86825583956815,11.87560541367697,12.891230513970264
18,2,8.340513965253045,9.054236902783488,9.883676104112565,8.945022558772814,9.763742343020471,10.574340438195073
24,2,7.159495887810834,7.781122524972885,8.407977934724125,7.486732918839531,8.081206192577561,8.772321250745591
48,2,4.425733052100464,4.812512919921601,5.219659302914577,4.27427672425634,4.732262105833399,5.256325879637594
72,2,3.2002817715840974,3.453094091437369,3.7801941813835622,3.31073445547207,3.7005095719091328,4.133606373559532
96,2,2.562644789630097,2.809626254076615,3.0817559823917735,2.8994286703765524,3.386145169057664,3.9278730335358842
120,2,2.19902534219557,2.4051632950792365,2.6205146515963036,2.056346419582117,2.299618533093254,2.5757391482052334
144,2,1.985446936480368,2.176870124265399,2.379827639579928,1.8223244617324634,2.008961546605221,2.224774392788227
168,2,1.8462624236912397,2.01549752677818,2.2197380660613306,1.74765614502083,1.9101006431668415,2.0832665357641997
3,5,25.77631811447865,29.692281167049977,33.92562370257449,28.108179501965814,31.95649001189659,36.86769458505452
6,5,18.32245121365733,20.817929110772692,23.29838035469176,19.92261052177373,22.822201563202857,26.214607898971025
9,5,15.11755889231512,16.6859089392941,18.45511176190484,16.70400851370607,18.47158909046509,20.281430893392173
12,5,12.720820470031958,14.050551644329321,15.335504781350018,14.87515675670388,16.275094082044415,17.512295407614726
18,5,10.248769359224067,11.11096207269155,12.050373581118059,11.204029951781466,12.082522853605752,12.90086944563988
24,5,8.717306349966934,9.432110082790146,10.134625169007233,9.210699682640094,9.8714006952945,10.550592828250615
48,5,5.415052925153732,5.837420056186833,6.2795863859561045,5.519786879040856,6.083505704702638,6.681158013070853
72,5,3.92754440071912,4.274249341778907,4.66114520483636,4.474930643670305,5.0503607836424464,5.671315752980391
96,5,3.204148115811676,3.5787098276020455,3.9691363116950438,4.653707525119296,5.637691354286781,6.763833549724474
120,5,2.733825469483674,3.054857813241936,3.384331033670581,2.8741123530913093,3.3269832330331894,3.8015879047092227
144,5,2.4849963513373883,2.7467346638600514,3.042204824921942,2.4583904896796844,2.745298414388309,3.0815470637886246
168,5,2.28738889257738,2.484518443315432,2.7002188870709833,2.2297248037266453,2.4350685098602547,2.6667235193676238
3,10,29.97139434408637,35.45755831892811,42.17584474677004,33.38832345912958,40.075364937058566,47.57508631621486
6,10,20.94280764544503,24.290519002902457,28.125896206613913,23.275032325105393,28.654188036699246,34.498559055276615
9,10,16.953593192048096,19.00933331550216,21.293028364769118,19.93514746901937,22.40138629010698,24.84395031893083
12,10,14.197370987182655,15.790202771356267,17.426002061477394,18.069014730785007,19.663574700459332,21.068836084852734
18,10,11.20711225508959,12.223759668638504,13.259179314183921,12.347022906220705,13.344635331474965,14.258061765512238
24,10,9.433965180640318,10.289210083962438,11.089410422980421,10.03258717664886,10.816647509197757,11.550189534559761
48,10,5.894293106509833,6.37481972375941,6.882796254571307,6.111789935592906,6.791459471576248,7.48478225929731
72,10,4.295549419075066,4.751372201122417,5.213470873564091,5.143540494960751,6.001447981362101,6.750323495012466
96,10,3.568257696733993,4.087215394236885,4.6249102890945135,6.288216371362907,7.71201052238896,9.197715275430939
120,10,3.0624816523459724,3.4985540106221613,3.937827859490294,3.522169699031376,4.233208789477168,4.990138153386878
144,10,2.76763765154898,3.114465183084356,3.536044816450201,2.802161596200841,3.2451056615752867,3.7672470208311193
168,10,2.5184194428928888,2.7546031801262734,3.017945429417514,2.463252704950456,2.739244280404606,3.0185410937679986
3,25,34.45444793908575,43.28233944764225,55.425650204078465,39.499571225911204,53.09409872436609,68.47161476949698
6,25,23.79886356526771,28.93063510790863,35.488239756395174,27.40638687892335,38.171652660543366,50.49987390387692
9,25,18.656706537317245,21.875954723816026,25.45601378215074,23.809362486645586,28.149942591063546,32.16407665555781
12,25,15.552572849609454,17.84471206646563,20.453827688003642,22.52008402591689,24.595571033249318,26.261720622169975
18,25,11.966216803680481,13.39797476973808,14.733732025810692,13.29821117539372,14.696624096055327,15.931165595414312
24,25,10.084966220939616,11.161252500698552,12.197635718130563,10.70410840763197,11.802415611262163,12.750422448378345
48,25,6.239424366433989,6.926401986102665,7.611783898732112,6.63758387566007,7.525285219016256,8.441272657636894
72,25,4.617809016126418,5.2876788143125495,6.009697357412106,6.035923735222636,7.2804285217847085,8.30363785418797
96,25,3.9186962828367866,4.728923195477737,5.609855068619635,9.038694861081954,11.268351191163111,13.273915527846558
120,25,3.3631431007371333,4.075079958287719,4.886593763630284,4.326140350154603,5.732568878392482,7.067672209028164
144,25,3.0676165407145626,3.5684687376360484,4.23452414011744,3.2011675160410453,3.8980517660789618,4.838603597079079
168,25,2.735661662052273,3.0557769730485003,3.438150924767207,2.6987724026317497,3.083782967517731,3.479370586797631
3,50,37.561295924159324,49.50411628166012,67.85659983544815,43.500414139978474,65.39364270107066,93.59579033849528
6,50,25.41639389554703,32.56491490076516,42.726556862177745,30.265607700002363,47.320638253200464,68.93714273489647
9,50,19.7037504966777,23.953889699051164,29.24264177665402,26.443715980392433,33.085023363890315,39.07077743032445
12,50,16.221372427895197,19.27171970411414,23.275850617508297,25.33522269960853,28.804132912210576,31.153977081106262
18,50,12.316973238964337,14.128088212262707,15.91821702562494,13.781738246973617,15.556686406715649,17.32420013848385
24,50,10.432661249741415,11.684280806933636,13.073560262575956,11.03350981891315,12.413168729989348,13.669191695340462
48,50,6.4245494884037875,7.260111229904366,8.163164634146987,6.873048553669509,7.977501933481646,9.209833828612648
72,50,4.831059952457958,5.642569376317434,6.60974902160663,6.661741650439998,8.293251372770962,9.770266594325212
96,50,4.07375720701169,5.204409280650998,6.440432671234838,11.516106392640765,14.810568707588697,17.31140179325606
120,50,3.582901184902823,4.514566142345584,5.710979701862921,4.936077168475633,7.181648458902171,9.25846443946238
144,50,3.232759037581748,3.8977759557246103,4.881476703647888,3.441805475982001,4.402743668447154,5.744515679584315
168,50,2.8373126176408094,3.253516278287261,3.7562866200411857,2.8225543524268373,3.3153952983679087,3.8573954764328278
3,100,39.84106868694006,56.05503093065383,84.61618347550723,47.20641152995123,80.54724888680556,127.14619558690315
6,100,26.833889379917977,36.342621063351146,52.47971329339104,32.51835080510712,58.767416629618694,94.37318099673948
9,100,20.27412922453435,25.97635803748568,33.4892192713897,28.937020515544262,38.65226312073233,47.18538398551156
12,100,16.760333018053842,20.611312620225718,26.467896200663894,28.63424798233595,33.523145677605825,37.652769085416885
18,100,12.63008676613142,14.752360489081457,17.12658783390743,14.152233939535176,16.31117684121913,18.56018342213538
