Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,21.55975225761791,24.26188016059521,26.867093464793967,22.657428528274757,25.624419216592738,29.370772761880268
6,2,16.803594936827615,18.60957441045896,20.71311202110057,17.750704782248924,19.596608567814446,21.716405173377073
9,2,13.893408628559804,15.208495458199085,16.72754696286693,14.371547452285029,15.897705484289542,17.28930251088664
12,2,11.746362270915954,12.89845370774612,14.212567449843867,11.596132713011539,12.829954550196248,14.047534070356303
18,2,9.074864248953565,9.947882385143133,10.981693258695513,8.372008955321867,9.127619618736672,10.10019223017954
24,2,7.480010735613801,8.242189381323977,9.15598602779194,6.725467233281959,7.610521913728643,8.749978517713433
48,2,4.756237433952563,5.240643489574233,5.79549524597119,5.234653413822317,6.15160212785727,7.237610466547281
72,2,3.5573394917246164,3.977394685320496,4.4428226974334155,3.655823193478507,4.238967930657397,4.917921393300009
96,2,2.947486862462534,3.2649948584310584,3.607691711672211,2.977793376538383,3.3406996240520836,3.7589239957060787
120,2,2.578429415940955,2.8894426293088693,3.2693970904802523,2.6035999962773633,2.9670885375540967,3.4260092543839376
144,2,2.321604485287892,2.61167336780377,2.9321439789650223,2.2980810543179655,2.622130468962367,3.0045709018803066
168,2,2.125356484752758,2.398279506727194,2.6675713568857873,2.1059762601656526,2.356392973684029,2.6238815974701923
3,5,28.094588546709655,32.44061921034524,36.716732286694764,31.5705757428534,36.542408766042584,42.874537919162606
6,5,21.682355539808825,24.187256432585222,27.070458438568778,23.150311627329415,25.457795392202183,28.063203246281553
9,5,17.492981734782635,19.36006020205021,21.349104247540954,18.681787920589738,20.3498637895791,21.94469886577919
12,5,14.70253458951981,16.467608116849135,18.322533801351057,14.988389916398404,16.603581153416034,18.338503377030953
18,5,11.514163138426724,12.76992250374791,14.180236822205995,11.022441946913121,12.32239153621589,13.726477337942644
24,5,9.544014226161494,10.609273957978319,11.80504381522083,9.58185467419019,11.221567562462486,12.993427864035063
48,5,6.187103681680913,6.849296995653102,7.600249499264631,8.552761661520988,10.326061636500992,12.155400400559376
72,5,4.661988976051592,5.257468332867295,5.905283334685004,5.439413880875321,6.375613289375705,7.3996810603994305
96,5,3.8199604470345534,4.336578388267263,4.878787322638939,4.188624605377829,4.900669438372713,5.739538880648755
120,5,3.419646687663759,3.8618137325986615,4.433561774473533,3.8288361562431548,4.4519785044813345,5.179076844533453
144,5,3.0545945645122883,3.47801747337199,3.8548562338003634,3.5080375201400207,4.068783450963606,4.711813097412304
168,5,2.810456651196492,3.1562360956011215,3.4973020882101116,2.8023538582426,3.157831921635395,3.512947035190147
3,10,32.311643692062354,38.36520937840838,44.80433170884932,36.94867067262725,44.77727481321275,54.683557768593985
