Duration (hour),Return period (year),Lower limit of historical CI 95%,Ensemble mean of historical CI 95%,Upper limit of historical CI 95%,Lower limit of RCP8.5 CI 95%,Ensemble mean limit of RCP8.5 CI 95%,Upper limit of RCP8.5 CI 95%
3,2,23.238087860478664,25.197863120580195,27.57033380201287,19.754655772667416,21.687947669027125,23.921175167383943
6,2,17.12259057246846,18.583182138483135,20.06127149429532,15.853168784954143,17.376651744634948,19.071896703803574
9,2,13.736880927422714,15.001710144745154,16.190889473327438,13.532294830935918,14.90746606971009,16.259714304890622
12,2,11.835233268235338,12.864314858999279,13.936951686610858,11.449143563339597,12.578284134991435,14.006815439750394
18,2,9.25563484301148,10.26501834808538,11.359389544862145,9.154989048024133,10.402147308578453,11.706963574588416
24,2,7.9587465319557325,8.781396444482002,9.630901173480108,7.751042056924236,8.885664943064992,10.1516355026096
48,2,5.094412990521759,5.573322680127092,6.11186539665124,4.525880524066617,5.0309398425946386,5.54290252427988
72,2,3.665899812241284,4.052662625936056,4.468689146561993,3.39713957318046,3.7317451711391225,4.099284161747398
96,2,3.0182607610784435,3.309471629194781,3.664802346868541,2.626034425646049,2.937221033146612,3.286304769316793
120,2,2.6491606402588195,2.9180978454738087,3.183049401091017,2.52734987279025,2.8981518135675803,3.32500558000725
144,2,2.4022695495941133,2.63457244082562,2.858785471349217,2.189876314040717,2.445550991685498,2.7261449578178536
168,2,2.166977669114871,2.366802284341931,2.5813327050538457,2.079833959717374,2.3784329757408686,2.75056483327156
3,5,28.707371772203103,31.368851992035914,34.345810164509274,27.205355652070303,30.258808700177127,33.78731537495652
6,5,20.950084316371488,22.99127771533461,25.35733867178419,22.453249198485373,25.207799692733097,27.995258532493928
9,5,16.779905401078395,18.60894025659542,20.364967718569623,19.695233081774855,21.886741258079905,24.145814076690566
12,5,14.426485765146403,16.05168962359915,17.52691066752326,15.251277214421975,17.56156534621598,20.31763843867317
18,5,11.726569103115983,13.096978897646082,14.648386692266774,13.371737843904222,15.632251101370922,18.11987238161371
24,5,10.123654747337199,11.262201805657991,12.422061176325556,11.836593697861606,13.908609243926929,16.39479192681772
48,5,6.371336763874725,7.095080943177161,7.756821143088372,5.936811611482333,6.656711381784827,7.387212703773674
72,5,4.672061264762426,5.14955243140882,5.6345331255582405,4.430321989588589,4.912826267045814,5.474442312246701
96,5,3.8220866286391653,4.216440766087345,4.675068217957017,3.584723296748324,4.051595378445532,4.5560298694996515
120,5,3.3366138704509933,3.6904278980893745,4.014520463448099,3.6774331192257064,4.277026223630772,5.016558636243034
144,5,2.9950091810558765,3.289477943026043,3.572025959160314,2.975137286642937,3.3752587957503644,3.7864994170037614
168,5,2.6987609506550405,2.967823650516137,3.2284478496211753,3.062043692486644,3.627841377145794,4.262478283228531
3,10,31.581595322716232,35.13083106753357,38.640423637044975,31.867830294852283,36.80125303494403,41.88504473687675
6,10,23.123408634117247,25.83098401561545,28.745693707082626,27.788575112251102,31.77788113451658,36.07028692617081
9,10,18.72964283073516,20.997864447755035,23.292343910023163,25.150578877871432,28.040810746361423,31.172422600884467
12,10,15.985244313017244,18.199838030439636,20.202624605730488,17.808037494366275,21.76451778186523,26.35813448612121
18,10,13.266118216898123,15.006019945945868,17.002732942760698,17.22130344033248,20.56724214744079,24.373783145892816
24,10,11.341909379313218,12.840963421470184,14.436326379048193,14.977300487736741,18.40000891328811,22.059660461025125
48,10,7.112046747729346,8.000911889410363,8.857496760303599,6.731084409882445,7.700460379085049,8.746612890313322
72,10,5.194745721932342,5.79675958682825,6.450241328299025,4.965570193970257,5.694253596613551,6.527166588176117
96,10,4.2647305969440055,4.768182654956142,5.348594667390406,4.227211725740526,4.877783890366877,5.551357758106878
120,10,3.7203054378791722,4.147356449912097,4.59236838981708,4.553514547965141,5.341054416452643,6.285605729746354
144,10,3.2921952584609664,3.673558453540765,4.02093432656977,3.346529751603197,4.039147045994126,4.672514009434157
168,10,3.002162734464952,3.342859495221118,3.6762653273918375,3.8395525023833965,4.680421996754534,5.593160863451498
3,25,34.23636604169649,39.54451556416629,45.024162008098074,37.68664539762702,46.28543373389499,54.803500429204306
6,25,25.79631837296926,29.331576285714547,34.04613397417697,35.091924630572706,42.13053024387184,49.67379305350535
9,25,20.67291842658896,24.01698755254227,27.73974689802573,33.44568011690459,38.180673202809615,43.296726166869405
12,25,17.62708298130127,20.95790033776859,24.557277344704836,20.64345153662562,28.495342945958285,37.361866279236374
18,25,14.848689571484446,17.457580381465473,20.703164199487897,22.987739099306708,29.24632304917887,36.244187758715995
24,25,12.618004282329588,14.765931598364094,17.292465994345164,19.050061551822523,25.913629245815976,31.927277350670103
48,25,7.766321704274095,9.041264501674897,10.407721783244577,7.543080020795745,8.996621371718168,10.792880473978741
72,25,5.718862036537326,6.534273302057049,7.5234606745319175,5.4751176945330045,6.692403489820516,7.979617148090167
96,25,4.6258900715386755,5.414283111221159,6.253451106431815,5.016336137724397,6.044362471700543,7.231109151629644
120,25,4.058993514835474,4.669287844998419,5.314774684017805,5.60265633783833,6.895350826545474,8.254446689180755
144,25,3.6133523146259963,4.108870020323634,4.676518837909017,3.704896918998321,4.953343325146363,6.023316480518616
168,25,3.2804321517877497,3.792140035794413,4.355405575060656,4.920521264240687,6.346094157738906,7.78759127665788
3,50,35.708767758049206,42.5904493608766,49.7955180758474,41.40629159421519,54.372312351299136,66.91840444999539
6,50,27.046938207924107,31.86693274826677,38.81906306145269,40.73130650441288,51.666136293909716,63.34897009173622
9,50,21.72945329953501,26.257258554388308,31.906007753751965,39.80517640569208,47.9147344038481,55.21075056667166
12,50,18.54128961085914,23.036115415535384,28.575670198904255,22.93412186745031,34.844507138374816,49.06799528064337
18,50,15.778265035707548,19.305206211973594,24.385863887940147,27.346156760127236,38.12270116107332,48.74366569560192
24,50,13.222086132111723,16.145297899124802,20.078956543673847,22.294184853108025,33.24283923342593,41.93280041424123
48,50,8.114029568629661,9.744398041687376,11.726882397243894,7.982893642257901,9.950235147359143,12.585767050296507
72,50,5.963858742663739,7.028909973303489,8.356635405275602,5.75790578503161,7.447670001399549,9.274044848377596
96,50,4.89032784353443,5.859340383299255,7.0401507065941225,5.552027295783034,7.014632395962636,8.802931131673326
120,50,4.237843194374338,5.020159446621538,5.936756924724627,6.2873530187531355,8.228017334212458,10.03866946645313
144,50,3.7755526335460527,4.39927994057996,5.155820658423457,3.89496954455766,5.700234781382464,7.325025839100304
168,50,3.4230555503663322,4.108582525172917,4.8768167475938125,5.764346514711843,7.886940892816584,9.874778190934972
3,100,36.83369078306296,45.43425230686347,55.26273138284603,44.869262940890614,63.456299789232524,82.37687666497406
6,100,28.208738493371435,34.332859379238485,44.5428047913263,46.74289756334102,63.0849284718804,80.96280574063493
9,100,22.62436022427976,28.48141999728642,37.14594466572131,47.71987168681808,59.98152253418836,71.71322827836312
12,100,19.38353622655536,25.126451521230813,33.00288682141397,25.23845544798099,42.65477228834761,65.66922416653571
18,100,16.71519476570897,21.16391712557752,28.432858017995716,32.6454791679139,49.756737179808816,66.41164337738451
24,100,13.669543315546562,17.474794788930144,23.121367094022965,25.555332935620193,42.46510555981502,55.88270856207542
48,100,8.354480923686857,10.389393973342145,13.123666229196711,8.365437873674527,10.896776190088687,14.543973816640197
72,100,6.153100247476454,7.479709320786851,9.267443048157626,6.043395699493912,8.215711239432196,10.853099460313103
96,100,5.108315892860958,6.274213792140905,7.795648962715223,6.044778602715622,8.082097639084077,10.612352415997766
120,100,4.380053402250441,5.340569019454485,6.5657547054167775,6.9380551695848816,9.729906069222066,12.410529242102886
144,100,3.9081560817335017,4.6627686459471835,5.6751499664149705,4.019582083601907,6.5131421363008055,9.031424765184392
168,100,3.5740211642209214,4.409168534916593,5.4860423113787595,6.653268367803349,9.739191426703751,12.651395938084974
